isim,Spotify_Isim,Spotify_ID,Takipci,EveryNoise_Tur,Spotify_Tur
Joker,Joker,2Fu5huGG8iXC85P9akyYrr,208895,turkish hip hop,turkish hip hop
Da Poet,Da Poet,7Ml6UQvSODdViugwulEjWk,87155,turkish hip hop,turkish hip hop
Grogi,Grogi,40PllTYqoDKRna2jm9Gf8D,127191,turkish hip hop,turkish hip hop
Dr. Fuchs,Dr. Fuchs,51o6QF11Nswx5jMlp6rAL8,142843,turkish hip hop,turkish hip hop
Tepki,Tepki,5DtQ3MpxpzAyDvgMNFWN1r,307378,turkish trap,turkish hip hop
Server Uraz,Server Uraz,14obHIpcXd2SsTyR9VBsLL,191775,turkish hip hop,turkish hip hop
Kezzo,Kezzo,6IFL211nZF4xuxG0u8G6HH,168208,turkish hip hop,turkish hip hop
Fuat,Fuat,6tRmpYzDIjWoRHzbJO7Cpx,175670,turkish hip hop,turkish hip hop
Saian,Saian,6ybd4tPF7McLj3BNhZavQi,259635,turkish hip hop,turkish hip hop
Sokrat St,Sokrat St,7ouCgJkxRBIJljUiQVJK65,311607,turkish hip hop,turkish hip hop
Rapozof,Rapozof,1vwkMumkwDzSEgNVft1unD,56907,turkish hip hop,turkish hip hop
Ados,Ados,4jtv7mIerRdHNQOkFtKyDW,212636,turkish hip hop,turkish hip hop
Anıl Piyancı,Anıl Piyancı,2u4xMsh0M2B7R8Wb3pEWae,1121951,turkish trap,turkish hip hop
Beta Berk Bayındır,Beta Berk Bayındır,63f9vjw52BL5c3f5TSlg72,136050,turkish hip hop,turkish hip hop
Tahribad-ı İsyan,Tahribad-ı İsyan,7KNe21hAKV93GU7joDCs7e,160176,turkish hip hop,turkish hip hop
Patron,Patron,2r8iLFeSTuOiZualHmSXxS,1255084,turkish trap,turkish hip hop
Istanbul Trip,Istanbul Trip,495LDNjDrYzj7Fk0LtuJcJ,344889,turkish trap,turkish hip hop
Tankurt Manas,Tankurt Manas,4ESPwgMOkNWv8mZIfe2mdO,443327,turkish hip hop,turkish hip hop
Xir,Xir,1eQzZsJAtBVhN9WP62oXM2,349754,turkish trap,turkish hip hop
Muşta,Muşta,7lJmtLRTNOIYB1vh1ZlwsX,184291,turkish trap,turkish hip hop
Ayben,Ayben,4B744cRUGT2IOu9Uuh7Ad7,238214,turkish hip hop,turkish hip hop
Sayedar,Sayedar,2W6fPatMdweub1APjva5KD,42186,turkish hip hop,turkish hip hop
Mode XL,Mode XL,2qpp3Yjdi0E0D0H1d0Phc1,139184,turkish hip hop,turkish hip hop
Contra,Contra,3tJELJoPZ4VTKmL0vppqLj,1209201,turkish trap,turkish hip hop
Cegıd,Cegıd,4ufSphAhkdRXTl17cBbqwi,229762,turkish hip hop,turkish hip hop
Ceg,Ceg,2QDHxmDObOuv9MCeBYiFtq,723561,turkish trap,turkish hip hop
Cash Flow,Cash Flow,7J7IAR4rkzo4FcZTDid3Jk,678253,turkish hip hop,turkish hip hop
Stabil,Stabil,3XjAYzwW3zGIi0OetnEIvU,558229,turkish hip hop,turkish hip hop
Sehabe,Sehabe,6P5Tw2kwv3BAa3iONsQe9x,256411,turkish hip hop,turkish hip hop
AGAB,AGAB,3QKeYTHlgDrec7FDej6XiN,122924,turkish hip hop,turkish hip hop
Yener Çevik,Yener Çevik,5rBUMBV7L6zPsEKnlgiOm9,1314898,turkish trap,"turkish hip hop, arabesk"
Keişan,Keişan,5Pd3tsRa9fj2Q3JPQ0tYEv,240761,turkish trap,turkish hip hop
Çağrı Sinci,Çağrı Sinci,32d21ZV2sLX2sGdjefVMJg,121854,turkish hip hop,turkish hip hop
Khontkar,Khontkar,1iJrQKRh5aJnp6cG5lpITr,824204,turkish trap,turkish hip hop
Artz,Artz,2QU0UNvQvEZ2fuRUhkUNq4,249868,turkish trap,turkish hip hop
Maestro,Maestro,6dn3wwfEYlRaQQUC8RLhTz,110118,turkish hip hop,turkish hip hop
Hidra,Hidra,3yzGegJHrOW1CndMVFoo3m,850660,turkish trap,turkish hip hop
Aspova,Aspova,2sjnyyL9NXijL3Fr2eLikf,412410,turkish hip hop,turkish hip hop
Emrah Karakuyu,Emrah Karakuyu,1Kb8Eb6SbHbzUYSqhhDtx5,39180,turkish hip hop,turkish hip hop
Şehinşah,Şehinşah,0FUsrstJwmg4WVHQMTYuUA,1536426,turkish trap,turkish hip hop
Killa Hakan,Killa Hakan,7HLErdUiPhh7mg5AxVEAX0,295972,turkish trap,turkish hip hop
İmpala,İmpala,2s26tvcj8lfuOFfrIl8APF,90393,turkish hip hop,turkish hip hop
Şanışer,Şanışer,5LUxu287CsPM7jy3yS3l86,1111242,turkish hip hop,turkish hip hop
Baneva,Baneva,19YsBPYDyAmKbcFoor4W4e,94244,turkish trap,turkish hip hop
Norm Ender,Norm Ender,3S6gaE89XewFAvZqsMuJDJ,2129967,turkish trap,turkish hip hop
Abluka Alarm,Abluka Alarm,4gaKOdUtfvpN8BlOKn8EIy,43188,turkish hip hop,turkish hip hop
Evren Besta,Evren Besta,3eszEJ43r9HY92CvMSepYZ,37311,turkish hip hop,turkish hip hop
Farazi,Farazi,44wLgA9gxORLwDGRvYpRBg,189483,turkish hip hop,turkish hip hop
Siirbaz,Siirbaz,7xURIiVo2JwZ1wIBLE2tYs,59263,turkish hip hop,"turkish hip hop, lo-fi beats"
Silahsız Kuvvet,Silahsız Kuvvet,0EJXWOcuXQ3jyhgYT750Mm,56235,turkish hip hop,turkish hip hop
Diyar Pala,Diyar Pala,23Q5T7JtqekFJMbC0XKxnh,881133,turkish hip hop,"turkish hip hop, turkish pop"
90 BPM,90 BPM,7JCJA9JUFT138Nuivyxp9n,63877,turkish reggae,turkish hip hop
Zen-G,Zen-G,4HSiNCPhdU2snKaVJytlUM,199305,turkish trap,turkish hip hop
Velet,Velet,7bchfd9ZihGesFniE7tM71,1427314,turkish trap,"turkish hip hop, turkish pop"
Massaka,Massaka,4Fn5clYETVpCxnIcFSZhr9,442713,turkish trap,turkish hip hop
Heja,Heja,3G0XxE8TxeByKXgwtmVE8n,89600,turkish hip hop,turkish hip hop
Şam,Şam,1GyfNm3xj64IZR4rKnzNti,534529,turkish trap,turkish hip hop
Ceza,Ceza,28Qbi9jTj2eej21P2mImZI,5290315,turkish hip hop,turkish hip hop
Rota,Rota,4m53kPdPFJpnF0qcJqfwNB,370013,turkish hip hop,turkish hip hop
Fuchs,Fuchs,1D3FmNSYE1xcv6FEEmyCQw,42349,turkish hip hop,
Yeis Sensura,Yeis Sensura,08zaslX1yBxta9zqc2yoWJ,74802,turkish hip hop,turkish hip hop
Radansa,Radansa,7m2QViLZEfJ01iO9GWQJLH,32275,turkish hip hop,turkish hip hop
Kayra,Kayra,5UqZ7BXoccyvTHyXLk1Pk3,430071,turkish hip hop,turkish hip hop
Farazi V Kayra,Farazi V Kayra,5ayy4bftuQvE2xTCbCEufB,69425,turkish hip hop,turkish hip hop
Canbay & Wolker,Canbay & Wolker,1hgaXjbAcED2p80Lj8dzXT,1704065,turkish trap,"turkish hip hop, turkish pop"
No.1,No.1,4fR3W8XFXsqHB8f8IqEr1y,3729067,turkish hip hop,turkish hip hop
Gazapizm,Gazapizm,2boacFGRX1WIo7NFS8B0F2,4233770,turkish hip hop,"turkish hip hop, turkish pop"
Azap HG,Azap HG,5e533hdLKXcsl4BhU7gjqv,203790,turkish hip hop,turkish hip hop
Vio,Vio,6jTpCdn1rLOY8OPiTlG7Yt,149005,turkish trap,turkish hip hop
Asil Slang,Asil Slang,3e9tJNBWrydJK3VKpkyWyT,40861,turkish trap,turkish hip hop
Deniz Gürzumar,Deniz Gürzumar,1nbkdlGLMmM7rVNAkfoDu0,33396,turkish hip hop,turkish hip hop
Kozmos,Kozmos,0qERHMCWkMoZvWZMngc1A6,98102,turkish hip hop,"turkish hip hop, turkish pop"
Sahtiyan,Sahtiyan,43PNN2cWdYyZi5cZdEf4hy,24944,turkish hip hop,turkish hip hop
Kodes,Kodes,2yRhS7HafDp8QUAjiIsofx,43798,turkish hip hop,turkish hip hop
Ahiyan,Ahiyan,0U8sdaBYsYld98xOIX1nYB,254880,turkish hip hop,turkish hip hop
Ağaçkakan,Ağaçkakan,7ssDDQAUFA9Z5k5VbbqYxg,31669,turkish hip hop,"turkish hip hop, experimental hip hop"
K''st,K''st,4x19qDNFXvWQnudUjs0XOE,21410,turkish hip hop,turkish hip hop
Sagopa Kajmer,Sagopa Kajmer,1KXTegXtnCPKXjRaX1llcD,5495200,turkish trap,"turkish hip hop, rap"
Kolera,Kolera,2WrrDGOjPL1QFuLB45DZ7Q,467811,turkce kadin rap,turkish hip hop
Ben Fero,Ben Fero,2kS0jWMkkFBL0mrl0VotD0,3013379,turkce drill,turkish hip hop
Ati242,Ati242,6bGOmNBU1AOgttgOjh0ldf,4176730,turkish hip hop,turkish hip hop
SAS,SAS,5dKK9A0yAqtRpqLoC7AkKm,22154,turkish hip hop,turkish hip hop
Ezhel,Ezhel,6LnJKrtFnTEGdbWQ2riWCL,7160811,turkish trap,"turkish hip hop, turkish pop"
Canfeza,Canfeza,0NkjVHxmDMo5QCHdou6jUt,297669,turkish hip hop,"turkish hip hop, arabesk"
İstanbul Attack,İstanbul Attack,1iA9wt3HSAoHZd2bKPX7ci,19750,turkish hip hop,turkish hip hop
Mirac,Mirac,7xoGvuN5XfZ3T4dZoJvMCr,18781,turkish hip hop,turkish hip hop
Taladro,Taladro,2ShoGcsu8kekluGvbggGKQ,1147231,turkish hip hop,"turkish hip hop, arabesk"
Ramiz,Ramiz,4CnBqHEyoxCZKYx6iSJmNn,47457,turkish hip hop,"turkish hip hop, turkish pop"
