isim,dogum_yeri,aktif_sehir,tip,arama_sehri
György Gábry,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Sibel Tunç,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Gül Arslan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Cengiz Güçlü,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Deniz Akbulut,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Project Youth,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Accusations,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Jo Capitalicide,,,solo,Bursa
Ultimate Blowup,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Rott-Fish,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Aras Bulut İynemli,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Muşta,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Siyah İnci,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Canan Perver,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Asil Gök,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ria,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Komadub,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Kaan Sezyum,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Yağızkan Dikmen,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Yağmur Ün,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Setrak,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Tilbe Saran,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Erhan Kesen,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ece Dizdar,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Birkan Sokullu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Anıl Tetik,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Elif Sevinç,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Aycan Koptur,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Güneş Cyrina Özek,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Elif Çakman,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Oğulcan Arman Uslu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Leyla Toprak,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Destrowar,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Αντώνης Καφετζόπουλος[Antonis Kafetzopoulos],"Istanbul, İstanbul, Turkey","Athens, Attica, Greece",solo,Attica
Erdener Koyutürk,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Melisa Yıldırım,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Cruentus Deus,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Bade İşçil,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mesut Yar,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mihriban Er,"İstanbul, İstanbul, Turkey",,solo,İstanbul
İbrahim Güler,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Özden Uçar,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Halis Bütünley,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Nevcivan Özel,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Rudolph Schildkraut,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Tülay German,"İstanbul, İstanbul, Turkey","Paris, Île-de-France, France",solo,Île-de-France
Sevda Aktolga,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ali Inzel,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ruhsar Gültekin,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Nuri Bilge Ceylan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Orhan Pamuk,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Tolga Karel,"İstanbul, İstanbul, Turkey","Chicago, IL, United States",solo,IL
Yavuz Seçkin,"İstanbul, İstanbul, Turkey",,solo,İstanbul
İmre Azem,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Barış Başar,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Sinan Kaynakçı,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Pinhâni,,,solo,Bursa
I Create Soundscapes,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Uğur Kaplan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Elif Refiğ,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Second,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Onur Dikmen,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Nesuhi Ertegün,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Rana Erkan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Murathan Mungan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Otantik Türk Müziği Topluluğu,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Emre Kınay,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Taner Ergör,"İstanbul, İstanbul, Turkey",,solo,İstanbul
M. Taner Gündöner,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Şöhret İnanç,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ayşegül Akdemir,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Meltem Yılmazkaya,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Spulrium,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Kamuran Süner,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Cemile Nihan Turhan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Pelin Akil,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Günay Günaydın,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Meshulam Riklis,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Emir Özyakışır,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Vod Kasat,"İstanbul, İstanbul, Turkey","Strasbourg, Grand Est, France",solo,Grand Est
Kerem Görsev & Allan Harris,,,solo,Bursa
Slave Training,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Jean Daskalidès,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Sencezium,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Özgür Eken,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Onur Özcan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Mithat Can Özer,"İstanbul, İstanbul, Turkey",,solo,İstanbul
MaroWhite,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Songs From a Breeze,,,solo,Bursa
Lost in Bazaar,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Lal Tuna,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Kenan Ece,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ezgi Mola,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Doğuş Algün,"İstanbul, İstanbul, Turkey",,solo,İstanbul
I-RO,"İstanbul, İstanbul, Turkey","Amsterdam, Noord-Holland, Netherlands",solo,Noord-Holland
Ecem Uzun,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Σταύρος Λογαρίδης[Stavros Logarides],"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ακρίτας[Akritas],,,solo,Bursa
Poll,,,solo,Bursa
Stew and Nick,,,solo,Bursa
Özlem Türkad,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Eternaphobia,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Sezgin Erdemir,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Cansu Demirci,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ilda Simonian,"İstanbul, İstanbul, Turkey","Amsterdam, Noord-Holland, Netherlands",solo,Noord-Holland
Murat Serezli,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Beaux Arts Trio,,,solo,Bursa
Chamber Music Northwest,,,solo,Bursa
The Chamber Music Society of Lincoln Center,,,solo,Bursa
Tashi,,,solo,Bursa
Emrah Cilasun,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Şeyla Halis,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Turan Haste,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Sevan Nişanyan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Hüseyin Özden,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Zeliha Berksoy,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Çiğdem Tunç,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Nilüfer Aydan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Cahit Gök,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Deniz Yılmaz,,,solo,Bursa
Holistic Tsunami,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Savaş Özdemir,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Eda Ece,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Salih Saka,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Burak Ozmucur,"Istanbul, İstanbul, Turkey",,solo,İstanbul
Sanem Öge,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Rüzgar Boyle,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Lemi Filozof,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Seda Bakan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Durul Bazan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Sedef Şahin,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Nazlı Bulum,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Yıldız Asyalı,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Atılgan Gümüş,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Alfred Travers,"Istanbul, Istanbul, Turkey",,solo,Istanbul
Tendertwin,"İstanbul, İstanbul, Turkey",United Kingdom,solo,United Kingdom
Dağhan Baydur,"İstanbul, İstanbul, Turkey",,solo,İstanbul
D.E.F Orkestra,,,solo,Bursa
Banu Kaptanoğulları,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Aslı Bankoğlu,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Dead Groan,"İstanbul, İstanbul, Turkey",,grup,İstanbul
Frank Ramond,"Istanbul, Istanbul, Turkey","Hamburg, Hamburg, Germany",solo,Hamburg
Seda Demir,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Ayça Erturan,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Salih Diriklik,"İstanbul, İstanbul, Turkey",,solo,İstanbul
Hakan Bulut,"İstanbul, İstanbul, Turkey",,solo,İstanbul
