isim,wikidata_id,dogum_yeri,cinsiyet,muzik_turu,Spotify_ID
Emel Sayın,Q4810947,Şarkışla,kadın,,7KVIZplHlqnvESsbuFQOnM
Emel Taşçıoğlu,Q19611109,Ankara,kadın,,
Emin Alper,Q19946609,Konya,erkek,,
Emin Fındıkoğlu,Q96356083,İstanbul,erkek,,
Emin Fırat Övür,Q27043335,,erkek,,
Emin Ongan,Q20470987,Edirne,erkek,,
Emin Yağcı,Q6083270,,erkek,halkiyat,
Emin İgüs,Q6045359,İstanbul,erkek,,4cJ92WPs0LBhF2hjw5mkFG
Emina Sandal,Q233932,Yenipazar,kadın,pop müzik,2NoBDjcTzbV1Om5Wyiz7sr
Emine Ata,Q6093926,,kadın,Türk halk müziği,
Emine Emel Balcı,Q31190958,Türkiye,kadın,,
Emine Pirhasan,Q99676777,,kadın,blues,
Emine Yıldırım,Q132188387,Ankara,kadın,,
Emir,Q5372519,İstanbul,erkek,pop müzik,052U3i0lM0CeCkJRrES8XK
Emir Can İğrek,Q92714319,Çerkezköy,erkek,,4XP7cGw4t8BqZ8Du5q3bHg
Emir Ersoy,Q6097040,,erkek,,
Emir Gamsızoğlu,Q5372529,İstanbul,erkek,klasik müzik,
Emir Işılay,Q5372530,,erkek,,
Emir Ziyalar,Q132678047,,erkek,,
Emirhan Akbaba,Q110946262,İstanbul,erkek,,
Emrah Erdoğru,Q110394024,Frankfurt,erkek,,
Emrah Eren,Q119167392,Balıkesir,erkek,,
Emrah Karaca,Q6022916,İstanbul,erkek,rock müziği,239hUCsDBFmNlQynSrk6Yl
Emrah Karaduman,Q25477082,Samsun,erkek,dans müziği,7FvMAbdiffitFmbuJN3Vsk
Emrah Kotan,Q99706422,,erkek,caz,
Emrah İpek,Q236920,Ergani,erkek,,
Emre Akay,Q117955601,,erkek,,
Emre Altuğ,Q841465,Levent,erkek,pop müzik,6CtMmrX12kYA3O4kINuWjZ
Emre Aracı,Q5374776,Ankara,erkek,,
Emre Aydın,Q558317,Isparta,erkek,rock müziği,66vIaZFb8okZH0npc4eQ5q
Emre Baransel,Q12809386,Kadıköy,erkek,rap,
Emre Dündar,Q6087800,İstanbul,erkek,,
Emre Elivar,Q1339559,Ankara,erkek,,
Emre Fel,Q131756533,Taşova,erkek,,
Emre Görgenç,Q134895614,İstanbul,erkek,,
Emre Kabakuşak,Q116587025,Kırklareli,erkek,,
Emre Kaya,Q20471070,İzmir,erkek,Türk pop müziği,6f7gOUZno2LjhNgyXWg0fE
Emre Kayış,Q84592986,,erkek,,
Emre Konuk,Q6087866,İstanbul,erkek,,
Emre Merç,Q90136060,,erkek,,
Emre Mimaroğlu,Q137761784,,erkek,,
Emre Pehlivanlar,Q126987224,Pazar,erkek,,
Emre Ramazanoğlu,Q121908338,,erkek,,
Emre Saltık,Q28929999,,erkek,geleneksel halk müziği,0tLZLCnUQN43Tdh7NAHJas
Emre Sevindik,Q88065076,,erkek,,
Emre Yalgın,Q117859401,,erkek,,
Emre Yeksan,Q56173834,İzmir,erkek,,
Emre Yücelen,Q50825978,Adapazarı,erkek,,19W7j3yh1E0ZpV3PZGPtYP
Emre Özdemir,Q25477394,İstanbul,erkek,pop müzik,
Emre İzat,Q26914515,,erkek,,
Emre Şahin,Q5374787,,erkek,,
En Derin,Q6100046,,erkek,,
Ender Akay,Q123784364,,erkek,,
Ender Akay,Q105078439,,erkek,,2KMqPawdfROlhVx0LeJgPR
Ender Balkır,Q131250843,Mazgirt,erkek,,
Ender Doğan,Q6044886,Malatya,erkek,,
Ender Sakpınar,Q6058314,Ankara,erkek,,
Ender Çabuker,Q6098109,Ankara,erkek,rap,
Engin Ayça,Q69888180,Edremit,erkek,,
Engin Bayrak,Q6095881,Almanya,erkek,,
Engin Erden,Q134932122,,erkek,,
Engin Erge,Q137268467,,erkek,,
Engin Gürkey,Q6042818,,erkek,,
Engin Kundag,Q95219944,Bielefeld,erkek,,
Engin Noyan,Q5377632,İstanbul,erkek,,
Engin Nurşani,Q12809406,Krefeld,erkek,,
Engin Orta,Q111359165,İstanbul,erkek,,
Engin Temizer,Q108859023,İstanbul,erkek,,
Engin Yörükoğlu,Q6102111,Kahramanmaraş,erkek,Anadolu rock,
Engin Yıldız,Q112666680,Hopa,erkek,,
Engin Öztürk,Q19664724,Bremerhaven,erkek,techno,
Enis Günay,Q2692267,,erkek,,
Enver Demirbağ,Q25473277,,erkek,Türk halk müziği,
Enver Kapelman,Q97237656,,erkek,,
Enver Yılmaz,Q6051848,Gaziantep,erkek,arabesk müzik,
Epamenondas Floros,Q109378711,İstanbul,erkek,,
Eray Akar,Q70203763,,erkek,,
Eray Demir,Q27051984,,erkek,,
Erbatur Çavuşoğlu,Q6080195,,erkek,rock müziği,
Ercan,Q99674496,,,Afrika müziği,
Ercan Akbay,Q5385180,,erkek,,
Ercan Bozdoğan,Q72214072,,erkek,,
Ercan Irmak,Q95892217,,erkek,,
Ercan Kesal,Q6040020,Avanos,erkek,,
Ercan Koşar,Q33437074,,erkek,,
Ercan Saatçi,Q6088200,Üsküdar,erkek,pop müzik,5tPQaMOyXCbkZ5DqQAhox5
Ercan Turgut,Q108859377,Malatya,erkek,,1NKhpzwXHKB9DUOQB3pbps
Ercan Şahin,Q5385184,,erkek,geleneksel halk müziği,
Erci E,Q1348612,Reinickendorf,erkek,"hip-hop müziği, dünya müziği",
Ercüment Batanay,Q6055352,,erkek,,
Ercüment Orkut,Q116586513,,erkek,,6vRiEPlpxXPMYI4oRVmSe0
Erdal Bayrakoğlu,Q108853006,Ardeşen,erkek,,
Erdal Ceylan,Q124282715,,erkek,,
Erdal Erzincan,Q169196,Erzurum,erkek,Türk halk müziği,
Erdal Kara,Q119167097,Hopa,erkek,,
Erdal Merdan,Q13377764,Kayseri,erkek,,
Erdal Murat Aktaş,Q114028149,,erkek,,
Erdal Tosun,Q6093188,İstanbul,erkek,,
Erdal Tuğcular,Q6102911,Kars,erkek,,
Erdem Helvacıoğlu,Q5385266,,erkek,,
Erdem Kınay,Q6077241,İstanbul,erkek,elektronik müzik,
Erdem Tepegöz,Q12809430,İzmir,erkek,,
Erdem Tunakan,Q61867189,Viyana,erkek,,
Erdem Yener,Q6094739,Hatay,erkek,rock müziği,
Erdem Yörük,Q111183556,İstanbul,erkek,,
Erdem Şimşek,Q121693605,Ankara,erkek,,
Erden Bilgen,Q116950215,Kars,erkek,,
Erden Kıral,Q1349104,Gölcük,erkek,,
Erdi Dikmen,Q117862836,,erkek,,
Erdi Mamikoğlu,Q6076500,Ankara,erkek,,
Erdinç Ecevit Yıldız,Q116188041,,erkek,,
Erdinç Erişmiş,Q6074082,Kayseri,erkek,pop müzik,
Erdinç Kutlu,Q137506638,,erkek,,
Erdinç Çelikkol,Q23920809,Bursa,erkek,Klasik Türk müziği,
Erdoğan Berker,Q127387877,Ankara,erkek,,
Erdoğan Demir,Q137506639,,erkek,,
Erdoğan Emir,Q31188800,Çığırlı,erkek,,
Erdoğan Engin,Q108861380,,erkek,,
Erdoğan Okyay,Q42302498,İzmir,erkek,,
Erdoğan Tokatlı,Q6074412,Denizli,erkek,,
Erdoğan Çaplı,Q124519559,Trabzon,erkek,,
Eren Bakıcı,Q6754866,,kadın,,
Eren Çeleboğlu,Q118126295,,erkek,,
Eren Önsoy,Q108920374,İstanbul,erkek,,
Eren Önsöz,Q1245943,Kayseri,kadın,,
Ergin Kızılay,Q95844256,,erkek,,
Ergin Orbey,Q6091345,Türkiye,erkek,,
Ergüder Yoldaş,Q22276151,İzmir,erkek,Türk pop müziği,
Ergün Dinç,Q137506376,,erkek,,
Erhan Baytimur,Q117863719,,erkek,,
Erhan Doğan,Q95782413,,erkek,,
Erhan Emre,Q106661,Berlin,erkek,,
Erhan Güleryüz,Q6093615,Büyükçekmece,erkek,rock müziği,
Erhan Gündere,Q135508417,Iğdır,erkek,"şiir, kısa roman",7x9eAzis3kFIsK1SPhFyXD
Erhan Kozan,Q19611132,Köln,erkek,,
Erhan Tuncer,Q117863803,,erkek,,
Erkan Esenboğa,Q17430658,İstanbul,erkek,,
Erkan Mutlu,Q6074438,İstanbul,erkek,,
Erkan Ocaklı,Q6091630,Trabzon,erkek,,
Erkan Oğur,Q3056675,Ankara,erkek,,
Erkin Koray,Q259405,İstanbul,erkek,"folk rock, psikedelik rock, Anadolu rock, psikedelik folk",4o3Nv2BAyoZkyGaRXv4rT3
Erkmen Sağlam,Q116616133,Kadıköy,erkek,,
Erktan Ersoylu,Q137268468,,erkek,,
Erkut Taçkın,Q6033564,İstanbul,erkek,,4GJuQAAePQH9qyr9Bj0Xv3
Erol Alkan,Q124621626,Şavşat,erkek,,
Erol Alkan,Q1361270,Londra,erkek,Elektro,3jQ8hpdQo3TCEnb5gmOtH5
Erol Budan,Q6079796,Fatih,erkek,,
Erol Büyükburç,Q6066830,Adana,erkek,,5Mi0CfVFTACW7wclXpIA6G
Erol Deneç,Q6010224,İstanbul,erkek,,
Erol Erdinç,Q6013352,İskenderun,erkek,,
Erol Evgin,Q4823236,İstanbul,erkek,pop müzik,6zzBsqAEDo53s2dSeZzWvo
Erol Köse,Q6097334,Elazığ,erkek,,
Erol Mintaş,Q43303385,Kars,erkek,,
Erol Mutlu,Q95867751,,erkek,,
Erol Parlak,Q6095663,Eleşkirt,erkek,,2abfTrwaMafX06RqZ060VY
Erol Pekcan,Q6042882,İstanbul,erkek,,
Erol Temizel,Q6014540,,erkek,,
Erol Özlevi,Q106188889,,erkek,,
Ersan Erdura,Q24282626,Gaziantep,erkek,"rock and roll, pop müzik",
Ersan Özer,Q6085713,İstanbul,erkek,,
Ersay Üner,Q55200193,Seydişehir,erkek,"pop müzik, dans müziği",6kf7koRM31Dgsj2WbByZpB
Ersen Dinleten,Q6068131,,erkek,,5Yax3FhwZSr1xiRlwnQ6bV
Ersin Pertan,Q60949435,,erkek,,
Ersin Çelik,Q95836143,,erkek,,
Ersoy Güler,Q31189612,Sivas,erkek,,
Ertan Anapa,Q6020250,İstanbul,erkek,,
Ertan Tekin,Q108698311,,erkek,,
Ertem Eğilmez,Q3057501,Trabzon,erkek,,
Ertem Göreç,Q6082314,Bursa,erkek,,
Ertuğ Ergin,Q5395920,Adapazarı,erkek,pop müzik,
Ertuğ Tüfekçioğlu,Q6061969,Ankara,erkek,,
Ertuğrul Bayraktar,Q6060817,Samsun,erkek,,
Ertuğrul Mavioğlu,Q24050263,,erkek,,
Ertuğrul Oğuz Fırat,Q1253952,Malatya,erkek,,
Ertuğrul Çoruk,Q95887195,,erkek,,
Ervand Saharuni,Q20511689,Trabzon,erkek,,
Esat Kabaklı,Q6093094,,erkek,,
Esat Özgül,Q108865250,,erkek,,
Esen Işık,Q23823802,İstanbul,kadın,,
Esengül,Q6087658,İstanbul,kadın,,
Eser Ebcin,Q136444560,,erkek,,
Eser Zorlu,Q108874654,İzmir,kadın,,
Esin Afşar,Q502274,Bari,kadın,,4ATXCu84e0P0q5QLzkMsaT
Esin Engin,Q5397960,Sivas,erkek,Klasik Türk müziği,
Esin İris,Q6060161,İstanbul,kadın,pop müzik,
Esma Engin,Q137549627,,kadın,,
Esma Ertel,Q123130474,Ankara,kadın,,
Esme Madra,Q109012030,,kadın,,
Esmeray,Q5398546,Emirgan,kadın,,5LbgJGRCmR9pgCxVkBDZw6
Esra Eron,Q2272299,İzmir,kadın,,
Esra Ruşan,Q115269902,,kadın,,
Esra Saydam,Q31190860,İstanbul,kadın,,
Esra İçöz,Q6075234,İstanbul,kadın,Klasik Türk müziği,
Etibar Mammadov,Q25547369,Gence,erkek,,
Etkin Arun,Q6014272,,erkek,,
Evin Salgut Şahin,Q65281111,Yörecik,kadın,,
Evrencan Gündüz,Q116586890,Kadıköy,erkek,,
Evrim Demirel,Q5418795,İzmir,erkek,çağdaş klasik müzik,
Evrim Kaya,Q27039246,,kadın,,
Eylem Kaftan,Q132064128,İstanbul,kadın,,
Eylem Kızıl,Q5422914,Londra,kadın,Rhythm and Blues,
Eylem Pelit,Q6073104,Ankara,erkek,pop müzik,
Eylem Şahin,Q130545609,Ankara,kadın,,3IZljnLSzLAgz2ruvF5C4e
Eylül Şahin,Q125475864,İstanbul,kadın,,0txpoqKhET4eXGueMZyzxe
Eypio,Q25477134,Konya,erkek,,6h5P3J0j1x2lhiDk9w4deZ
Ezel Akay,Q505264,Kastamonu,erkek,,
Ezhel,Q50388016,Çankaya,erkek,hip-hop müziği,6LnJKrtFnTEGdbWQ2riWCL
Eşref Ziya Terzi,Q6019230,İstanbul,erkek,dinsel müzik,
Fadik Sevin Atasoy,Q6096107,Ankara,kadın,,
Fahir Atakoğlu,Q5429556,İstanbul,erkek,,
Fahire Fersan,Q6017519,İstanbul,kadın,,
Fahrettin Güneş,Q16368008,Kıraç,erkek,dünya müziği,
Fahrettin Çimenli,Q17430677,,erkek,,
Fahri Kayahan,Q17430678,Malatya,erkek,,
Fahri Kopuz,Q6096455,İstanbul,erkek,,
Faik Canselen,Q6100094,Kırklareli,erkek,,
Faiz Kapancı,Q127864611,Selanik,erkek,,
Faize Ergin,Q6044857,İstanbul,kadın,Klasik Türk müziği,
Farah Zeynep Abdullah,Q1396157,İstanbul,kadın,,3xoFgT5OYcfaU8XlfmbylK
Farazi,Q108304979,,erkek,,
Faruk Aksoy,Q6074374,İstanbul,erkek,,
Faruk Demir,Q6076535,Hanak,erkek,,
Faruk Kenç,Q6098777,Bingazi,erkek,,
Faruk Turgut,Q17045642,Tunceli,erkek,,
Faruk Tınaz,Q25475915,Adana,erkek,,
Fatih Ahıskalı,Q5437782,,erkek,,
Fatih Bulut,Q79050131,Kayseri,erkek,,
Fatih Erdemci,Q17045644,İstanbul,erkek,,
Fatih Erkoç,Q5437787,Fatih,erkek,caz,
Fatih Gezer,Q116555461,İstanbul,erkek,,
Fatih Gürler,Q117863857,,erkek,,
Fatih Kısaparmak,Q3067210,Elazığ,erkek,,
Fatih Tekin,Q106563971,Amasya,erkek,,
Fatih Yaşar,Q112667923,Pazar,erkek,,
Fatih Ürek,Q6046358,Erzurum,erkek,"pop müzik, fantezi müzik",
Fatma Belgen,Q137549639,,kadın,,
Fatma Gevheri Sultan,Q60712258,İstanbul,kadın,,
Fatma Turgut,Q6072590,Aydın,kadın,rock müziği,
Fatma Türkan Yamacı,Q127867441,İstanbul,kadın,,
Fatma İsa,Q6948676,,kadın,,
Fatmir Doga,Q25849519,,erkek,,
Faysal Soysal,Q5439106,Batman,erkek,,
Fazıl Say,Q430941,Ankara,erkek,"klasik müzik, geleneksel halk müziği",15NSFL63oPhmpXLcZHny2N
Fecri Ebcioğlu,Q6105028,İstanbul,erkek,pop müzik,
Fedon,Q6737648,İstanbul,erkek,,0fBEgrLBNZC4LUvb2oO4I4
Fehmi Yaşar,Q108886459,Kahramanmaraş,erkek,,
Ferda Anıl Yarkın,Q6047307,Çanakkale,erkek,,
Ferdi Evtensel,Q95846223,,erkek,,
Ferdi Eğilmez,Q6025319,İstanbul,erkek,,
Ferdi Merter,Q6101766,İstanbul,erkek,,
Ferdi Tayfur,Q709859,Adana,erkek,"arabesk müzik, Klasik Türk müziği, fantezi müzik",6WLkcqDXHgfe80TNMH1C5z
Ferhang Hüseyinov,Q6100774,Bakü,erkek,,
Ferhat Göçer,Q3068783,Birecik,erkek,pop müzik,13jj3uGldU7cSQLaFkf2Zm
Ferhat Güneyli,Q57579021,Kırıkkale,erkek,,
Ferhat Tunç,Q78049,Ovacık,erkek,Protest müzik,6yoSn7S0JYv4R1gp3zObWd
Ferhat Uzundağ,Q109447350,,erkek,,
Feride Hilal Akın,Q72848683,İstanbul,kadın,,
Feride Çetin,Q1273825,İstanbul,kadın,,
Feridun Avar,Q112462468,,erkek,,
Feridun Düzağaç,Q3068798,Adana,erkek,rock müziği,7MZj0XxqxlCZPj6JsMQq0Z
Feridun Erol,Q11697928,Włodawa,erkek,,
Feridun Hürel,Q47009892,Trabzon,erkek,,33UcICiH0L4aybqHmFbik7
Feridun Kete,Q108903345,İzmir,erkek,,
Feriha Tunceli,Q137549626,,kadın,,
Feriha Tunceli,Q17430696,İstanbul,kadın,,
Ferit Ceylan,Q109002862,İstanbul,erkek,,
Ferit Karahan,Q17045657,Muş,erkek,,
Ferit Tunçer,Q116555646,İstanbul,erkek,,
Ferit Tüzün,Q82895,İstanbul,erkek,klasik müzik,
Ferman Akgül,Q1406388,Ankara,erkek,alternatif rock,
Feryal Başel,Q6071050,Ankara,kadın,pop müzik,
Feryal Öney,Q6045117,Akşehir,kadın,,
Ferzan Özpetek,Q55460,İstanbul,erkek,,
Fettah Can,Q6096608,Karacabey,erkek,pop müzik,17fJCykpa2EqIioh0zamN9
Feyturiye Esen,Q20472501,İstanbul,kadın,,
Feyyaz Yiğit,Q20472505,Düzce,erkek,,
Feyyaz Şerifoğlu,Q116586948,Rize,erkek,,
Feyzi Tuna,Q6088703,Balıkesir,erkek,,
Feza Gökçül Çolakoğlu,Q137549637,,kadın,,
Fide Köksal,Q16728979,,kadın,,
Fikret Alper,Q85851236,,erkek,,
Fikret Hakan,Q5448241,Balıkesir,erkek,,
Fikret Kuroğlu,Q6016765,Van,erkek,,
Fikret Kızılok,Q3063992,İstanbul,erkek,"rock müziği, Anadolu rock, Türk halk müziği",
Fikret Reyhan,Q56868060,,erkek,,
Fikret Tınaz,Q124478966,,erkek,,
Fikri Karayel,Q19520338,Yukarı Bostancı,erkek,rock müziği,
Fikri Rutkay,Q108906494,,erkek,,
Filiz Alpgezmen,Q31190581,Adana,kadın,,
Filiz İlkay Balta,Q118947763,Pazar,kadın,,
Freddy Şahin-Scholl,Q96602,Heilbronn,erkek,,
Fresh B.,Q6039021,,erkek,funk,
Fuat Ergin,Q1472438,Berlin,erkek,hip-hop müziği,6tRmpYzDIjWoRHzbJO7Cpx
Fuat Güner,Q1472441,İstanbul,erkek,pop müzik,
Fuat Saka,Q382287,Trabzon,erkek,çağdaş halk müziği,
Fuat Sunay,Q110940636,Balıkesir,erkek,,
Fuat Tuaç,Q123010691,,erkek,,
Fuat Uzkınay,Q375247,İstanbul,erkek,,
Funda Arar,Q434912,Ankara,kadın,pop müzik,6g7GF7BLC41JTHJwgB4wQW
Funda Kılıç,Q18396537,İzmir,kadın,,
Funda Özyurt Argun,Q113028922,İstanbul,kadın,,
Füruzan,Q545504,İstanbul,kadın,,
Füsun Köksal,Q5511768,Bursa,kadın,çağdaş klasik müzik,
Füsun Önal,Q5511775,İstanbul,kadın,"caz, pop müzik",
Fırat Başkale,Q6950094,,erkek,,
Fırat Doğu Parlak,Q20472649,Çorlu,erkek,,
Fırat Med,Q124159006,Silvan,erkek,,
Fırat Tanış,Q6097530,İstanbul,erkek,,1AMxbM8JPoryu2bTtRDHZJ
Fırat Yücel,Q27039247,,erkek,,
Fırat Yükselir,Q6085709,Ankara,erkek,,
G4,Q106691550,İstanbul,erkek,,0TqZUEnkdF33QfmENWx77l
Galip Sokullu,Q5518725,Üsküdar,erkek,,
Galip İyitanır,Q1492132,Ankara,erkek,,
Gani Müjde,Q6095940,İstanbul,erkek,,
Garo Mafyan,Q4810722,Kadıköy,erkek,pop müzik,
Gavsi Baykara,Q6028855,İstanbul,erkek,,
Gaye Aksu,Q6069749,Trabzon,kadın,Türk halk müziği,
Gaye Su Akyol,Q31190562,İstanbul,kadın,Anadolu rock,0VsS7WKuNEsKGNIWuiwSyZ
Gazapizm,Q50630319,Elazığ,erkek,,2boacFGRX1WIo7NFS8B0F2
Gencay Kıymaz,Q47008040,,erkek,,
Genco Gülan,Q315897,İstanbul,erkek,,
Genç Osman Yavaş,Q5533857,Brugg,erkek,,
Gizem Adal,Q95798749,,erkek,,
Gizem Berk,Q21526114,Ankara,kadın,alternatif rock,
Gizem Saatçi,Q43631224,İstanbul,kadın,,
Gonca Gül,Q137549633,,kadın,,
Graumann,Q110612007,Bolu,erkek,,
Gulbihar,Q6956470,,kadın,,
Gulistan Perwer,Q4972595,,kadın,,
Gulê,Q6956771,Erzurum,erkek,,
Gupse Özay,Q6080129,İzmir,kadın,,
Gurban Abbasli,Q124153313,Şeki,erkek,elektronik müzik,5bUbw0JqcEcsfRM0wnUcnz
Gökalp Baykal,Q6100270,Trabzon,erkek,rock müziği,
Gökalp Ergen,Q43303408,Kocaeli,erkek,heavy metal,
Gökalp Gönen,Q117862901,,,,
Gökalp Tekmanlı,Q97142236,Erzurum,erkek,,
Gökben,Q6100965,İstanbul,kadın,pop müzik,
Gökhan Abur,Q122588159,Afyonkarahisar,erkek,,
Gökhan Birben,Q5626478,Rize,erkek,geleneksel halk müziği,
Gökhan Bulut,Q23747436,,erkek,,
Gökhan Doğanay,Q121632007,,erkek,,
Gökhan Erün,Q121693592,,erkek,,
Gökhan Gencer,Q118385076,İstanbul,erkek,,1mT27EInZP3A1SjFxxE10f
Gökhan Güney,Q6081848,Reyhanlı,erkek,,
Gökhan Keser,Q4153306,İzmir,erkek,,
Gökhan Kırdar,Q713577,Aydın,erkek,"Eurodance, Europop",0iTcX6LMMIt0DeYJ3qBSQX
Gökhan Semiz,Q6083203,İstanbul,erkek,,
Gökhan Tepe,Q2685524,İstanbul,erkek,pop müzik,6C2dcLMiM7ReleaXaiHsw5
Gökhan Türkmen,Q6085117,İstanbul,erkek,pop müzik,4uGB0nZ5d1iCXS3sHR3pzm
Gökhan Yıkılkan,Q65219557,Ankara,erkek,,
Gökhan Özen,Q382316,Ankara,erkek,pop müzik,3QLMLmISoZnFxUdzSoT6JB
Gökhan Özoğuz,Q3780280,İstanbul,erkek,ska,
Göknur,Q6055451,Amasya,kadın,pop müzik,
Göknur Karadağ,Q20473672,,kadın,çağdaş halk müziği,
Göksel,Q182948,İstanbul,kadın,pop müzik,4i4ALRtQQmFxn3BCIB6iC0
Göksel Baktagir,Q6102188,Kırklareli,erkek,,
Gökçe,Q6104008,İstanbul,kadın,pop rock,6EkoCL5oWSht8mekRNBWAn
Gökçe Altay,Q102035966,İstanbul,kadın,,
Gökçe Kılınçer,Q56163202,Ankara,kadın,,
Gökçe Kırgız,Q107237935,İstanbul,kadın,,
Gökçen Kaynatan,Q129106525,İstanbul,kadın,,
Gönenç Uyanık,Q115378795,,erkek,,
Gönül Akkor,Q6093734,Kandıra,kadın,,
Gönül Dilan,Q126326992,,kadın,,5oRZdVu9JOP0Yndn4fzQ9w
Gönül Siyler,Q137549623,,kadın,,
Gönül Yazar,Q4810316,İzmir,kadın,Klasik Türk müziği,
Gönül Şen,Q116699176,Bursa,kadın,,
Görkem Karabudak,Q4213539,Ordu,erkek,alternatif rock,
Görkem Sala,Q28924984,Eskişehir,erkek,,
Görkem Yeltan,Q6099913,Nazilli,kadın,,
Gözde Kural,Q109058107,Ankara,kadın,,
Gözde Mukavelat,Q121499172,İzmir,kadın,,
Gözde Öney,Q67187783,,kadın,,3Qtdysa8Rhqmqbv8ikDjFz
Gülay Diri,Q134519374,İbradı,kadın,,
Gülay Olt-Şahiner,Q1347649,İstanbul,kadın,,
Gülay Sezer,Q6088400,İstanbul,kadın,,
Gülben Ergen,Q434903,Kadıköy,kadın,pop müzik,6hypPYDPSsgioRRfBXve38
Gülce Duru,Q55773143,,kadın,,4qnzPGHsE9STa7FIKhBhpT
Gülcihan Koç,Q1560077,,kadın,,
Gülden Karaböcek,Q1560079,Ankara,kadın,arabesk müzik,2wioAsnSZ6JmA6I7Y7PDkc
Gülden Kutluata,Q113622667,Fındıklı,kadın,,
Gülden Mutlu,Q21541512,Tekirdağ,kadın,Türk pop müziği,1aQhhnH3sUteqgE1EbmPec
Güler,Q6073815,İstanbul,kadın,alternatif rock,
Güler Duman,Q1492533,İstanbul,kadın,Türk halk müziği,
Güler Gürses,Q111365549,Giresun,kadın,,
Güler Gürsoy,Q137549636,,kadın,,
Güler Özince,Q50184246,,kadın,,4KonFbiSZXcrs9ZLe2A1mX
Gülhan,Q6065856,Hamburg,kadın,,
Gülistan Acet,Q31790687,Batman,kadın,,
Güliz Ayla,Q21526135,Samsun,kadın,pop müzik,7yiJcbeab3PFoFhxtNDujs
Güllü,Q25478794,Hamburg,kadın,"arabesk müzik, fantezi müzik",533wb2q2kU814aFEWaIlG2
Gülsel Özkan,Q1560140,Malatya,kadın,,
Gülsen Alanson,Q137268472,,kadın,,
Gülseren Güvenli,Q137549628,,kadın,,
Gülseren Yıldırım,Q452177,İstanbul,kadın,pop müzik,
Gülsün Karamustafa,Q6055998,Ankara,kadın,,
Gültekin Kaan,Q1560151,Backnang,erkek,"rock müziği, dünya müziği",
Gültekin Kaynak,Q95234062,Backnang,erkek,,
Gültekin Çeki,Q24040844,,erkek,,
Gülten Taranç,Q27537366,İzmir,kadın,,
Gülçin Ergül,Q438836,İstanbul,kadın,pop müzik,5nxcBdJcaohXiCIMuQd200
Gülçin Santırcıoğlu,Q6061260,İzmir,kadın,,
Gülçin Yahya Kaçar,Q106543313,Ankara,kadın,,
Gülşen,Q288019,Çapa,kadın,pop müzik,1F2v33FQTavJyaD7ZsyhdA
Gülşen Gülbeyaz,Q95895142,,erkek,,
Gülşen Kutlu,Q6021207,Ankara,kadın,,
Gülşen Tuncer,Q6103469,Adana,kadın,,
Günay Kosova,Q108914980,İstanbul,erkek,,
Günay İbrahimli,Q31296979,Füzuli,kadın,,
Günce Koral,Q6064247,Ankara,kadın,elektronik müzik,
Gündoğdu Duran,Q23920820,Karaman,erkek,Klasik Türk müziği,
Günel,Q3181352,Ağdam,kadın,pop müzik,
Güneri Tecer,Q17430743,Ankara,erkek,,
Güneş,Q112420124,İstanbul,kadın,"pop müzik, Çağdaş R&B",0L3wrFI3QcbXAvFL7IaPQX
Güneş Duru,Q940203,İzmit,erkek,rock müziği,
Güneş Yakartepe,Q25475775,Bakırköy,erkek,klasik müzik,
Günfer Çölgeçen,Q1560230,Denizli,kadın,,
Güngör Hoşses,Q17412738,İstanbul,erkek,,
Güngör Uygurer,Q137506640,,erkek,,
Güngör İleri,Q137506377,,erkek,,
Günseli Deniz,Q85971034,Mersin,kadın,,
Gür Akad,Q129105575,İstanbul,erkek,,
Gürcan Keltek,Q61671966,,erkek,,
Gürkan Balkan,Q1562055,İstanbul,erkek,,
Gürol Ağırbaş,Q6027414,İstanbul,erkek,,
Gürsoy Tanç,Q47460339,İzmir,erkek,,
Güzide Kasacı,Q123766139,İstanbul,kadın,,
Güzin Kar,Q1562353,Türkiye,kadın,,
Güç Başar Gülle,Q92588760,,erkek,,
Güçlü Soydemir,Q20474082,İstanbul,erkek,,
Güçlü Yaman,Q112492692,İstanbul,erkek,,
Hacer Kirişçi,Q6073230,Silifke,kadın,pop müzik,
Hacı Orman,Q109390864,Elbistan,erkek,,
Hadi Hün,Q6053926,İstanbul,erkek,,
Hadise,Q236047,Mol,kadın,"pop müzik, Rhythm and Blues, Çağdaş R&B",0wCKNMsqYasJBFVagjay49
Hafız Burhan,Q6067116,İstanbul,erkek,Klasik Türk müziği,3jYC2grTrQduj8vBOdE0KR
Haitham Hakki,Q12250316,Rakka,erkek,,
Hakan Aksu,Q117862267,,erkek,,
Hakan Algül,Q27949204,,erkek,,
Hakan Altun,Q12809828,İstanbul,erkek,,
Hakan Aytekin,Q6049046,,erkek,,
Hakan Erol,Q51885712,Erzurum,erkek,pop müzik,3LJCqftcyYHQBvdEYsXTox
Hakan Güngör,Q99675404,,erkek,caz,
Hakan Gürses,Q113747892,İstanbul,erkek,,
Hakan Haksun,Q108916700,Türkiye,erkek,,
Hakan Haslaman,Q1569826,Türkiye,erkek,,
Hakan Kurşun,Q116586574,Hanau,erkek,,
Hakan Peker,Q1397435,İstanbul,erkek,pop müzik,7x1sEYcPJvLBwweGlIcapC
Hakan Savaş Mican,Q1569837,Berlin,erkek,,
Hakan Sümer,Q112667905,Pazar,erkek,,
Hakan Taşıyan,Q6014924,Ankara,erkek,,
