isim,wikidata_id,dogum_yeri,cinsiyet,muzik_turu,Spotify_ID
Alper Tuzcu,Q50825612,,erkek,,
Alper Çağlar,Q6089787,Ankara,erkek,,
Alperen Yıldırım,Q90137977,İstanbul,erkek,,
Alpertunga Köksal,Q6069224,Batı Almanya,erkek,rap,
Alphan Eşeli,Q4735263,İstanbul,erkek,,
Altan Akışık,Q97210912,Ankara,erkek,,
Altan Dönmez,Q114794322,İstanbul,erkek,,
Altan Çetin,Q6081728,,erkek,,
Altay,Q6040784,,erkek,pop müzik,
Altuğ Gültan,Q120015969,İstanbul,erkek,,
Altuğ Savaşal,Q60196939,,erkek,,
Altuğ Ünlü,Q446285,İstanbul,erkek,,
Alvin Soprano,Q134584298,İstanbul,kadın,,
Amir Ateş,Q25475445,Kandıra,erkek,Klasik Türk müziği,
Ammar Acarlıoğlu,Q103646296,,erkek,,
Anastasia Zaharovna,Q25385070,,kadın,geleneksel halk müziği,743iE4ugOJK6u45x1UNdVq
Andon Kafecopulos,Q5896950,İstanbul,erkek,,
Andrea Paleologos,Q122957805,İstanbul,kadın,,
Anestis Athanasiou,Q16006297,Konstantinopolis,erkek,Rebetiko,
Anjelika Akbar,Q2901474,Karağandı,kadın,klasik müzik,
Ankaralı Namık,Q4765990,Yeşilöz,erkek,,
Ankaralı Turgut,Q4765991,Ankara,erkek,,
Ankaralı Yasemin,Q23921034,Ankara,kadın,,7LV6zJEDmlEDBdCWtY0NGn
Anıl Bilgen,Q69376520,Ankara,erkek,,
Anıl DURMUŞ,Q137718569,,erkek,,10aqquITh9xMvNFTMZicY9
Anıl Emre Daldal,Q137204580,,erkek,,5MHG3bmjGh0aqT8hS3nPzS
Anıl Piyancı,Q23920636,Karşıyaka,erkek,"rap, hip-hop müziği, Hip hop",2u4xMsh0M2B7R8Wb3pEWae
Apolas Lermi,Q20470434,Tonya,erkek,,
Aram Gülyüz,Q19610542,İstanbul,erkek,,
Aras Diler,Q79381595,İstanbul,erkek,"elektronik müzik, hip-hop müziği, Trap müzik",6qgGj0z1PpMTNGj8l1wfnL
Arda Ekşigil,Q132156122,İstanbul,erkek,,
Ardalan Bakr,Q65403489,,erkek,,
Ardem,Q97693944,,erkek,,4hOkbqVomIuO5VXYzkzo77
Ardıç,Q104176261,Berlin,erkek,fantasia,
Ari Barokas,Q6063591,İstanbul,erkek,rock müziği,2tk4lPBD4i3STz8VYPaF9P
Arif Kemal,Q19610553,Isparta,erkek,,
Arif Keskiner,Q60799987,Osmaniye,erkek,,
Arif Mardin,Q660545,İstanbul,erkek,caz,3EOX6d6CuTUiS1PGJfHEzU
Arif Sami Toker,Q6025719,Gelibolu,erkek,,
Arif Sami Toker,Q137505924,,erkek,,
Arif Sağ,Q660599,Erzurum,erkek,türkü,1Nq4oosKQ4TQScASZpgbz0
Arif Susam,Q4790556,Elazığ,erkek,synth-pop,
Arif Şentürk,Q3338861,Kumanova,erkek,,
Armağan Durdağ,Q12808558,İstanbul,erkek,,
Armağan Şenol,Q6054761,İstanbul,erkek,,
Arto Pehlivanyan,Q133260118,İstanbul,erkek,,
Arto Tunçboyacıyan,Q713757,İstanbul,erkek,"caz, öncü müzik",13TxYlQsBj3sUlIuyqMz6g
Artun Ertürk,Q4801581,,erkek,,
Artun Sürmeli,Q95830668,,erkek,,
Artun Yeres,Q20470627,,erkek,,
Arya Su Gülenç,Q98124886,Bursa,kadın,,
Arzu Ece,Q452224,İstanbul,kadın,pop müzik,
Arzu Görücü,Q6002290,,kadın,,5uiqjsC8hkQCvdVMrUuUyw
Arzu Şahin,Q719009,Erzincan,kadın,pop müzik,
Arın Aykut,Q125920516,Ankara,erkek,,
Arşam Kelleciyan,Q1419144,İstanbul,kadın,,
Arşavir Alyanak,Q6085243,Adapazarı,erkek,,
Asaf Tengiz,Q69875162,Antalya,erkek,,
Asligul Armagan,Q77633683,,kadın,,
Aslı Akdağ,Q105582625,Ankara,kadın,,
Aslı Demirer,Q51454388,,kadın,,3D9xlymkbZDrMXvWWn7AQI
Aslı Gökyokuş,Q4807378,İstanbul,kadın,rock müziği,4wWaqd4kaS4sjE1113r2H3
Aslı Güngör,Q4807376,İzmir,kadın,pop müzik,
Aslı Hünel,Q6059144,İstanbul,kadın,,
Aslı Kökçe,Q120752152,Dachau,kadın,,6DHjcE5AKEA77wUMKBy59n
Aslı Tanrıverdi,Q95827403,,erkek,,
Aslı Özarslan,Q30301500,Berlin,kadın,,
Aslı Özer,Q116555402,Ankara,kadın,,
Aslı Özge,Q23655553,İstanbul,kadın,,
Aslıhan Ünaldı,Q105582396,İstanbul,kadın,,
Asuman Bendaş,Q121200012,Ankara,kadın,,
Asuman Krause,Q99294,Berlin,kadın,pop müzik,3Iaqeh9frfFUhYme1hAgct
Asya,Q4812007,Eskişehir,kadın,pop müzik,
Asya Engin,Q117249252,,kadın,,1gldVdF4NiE33kwxZaScW8
Asım Can Gündüz,Q3627708,İstanbul,erkek,,
Asım Ekren,Q25475929,,erkek,,
Ata Demirer,Q932036,Bursa,erkek,,
Atakan Akbulut,Q95262655,Tettnang,erkek,,
Atakan Ilgazdağ,Q114309853,,,,
Atakan Çelik,Q17430489,Erciş,erkek,,
Atakan Ünüvar,Q20470787,,erkek,,
Atakan Şatıroğlu,Q115153565,,erkek,,
Ataman Hakman,Q137506371,,erkek,,
Ataç Sezer,Q753061,İstanbul,erkek,,
Atilla Alpsakarya,Q116203771,Konya,erkek,,
Atilla Atasoy,Q6053668,,erkek,,
Atilla Baybek,Q137506372,,erkek,,
Atilla Engin,Q472397,Kayseri,erkek,caz,
Atilla Kaya,Q6066864,İstanbul,erkek,,
Atilla Salih Yücer,Q28034976,,erkek,,
Atilla Taş,Q56680,Ceyhan,erkek,,
Atilla Tokatlı,Q6046807,Denizli,erkek,,
Atilla İçli,Q6018865,Ankara,erkek,,
Atilla Şereftuğ,Q674938,İstanbul,erkek,,
Atiye,Q77662,Bremen,kadın,pop müzik,56g1u3Bu0S5072aksxyBei
Attila Özdemiroğlu,Q4815813,Ankara,erkek,,
Atıf Yılmaz,Q758354,Mersin,erkek,,
Atıl İnaç,Q4815792,Türkiye,erkek,,
Atınç,Q137506373,,erkek,,
Avi Medina,Q132154296,İstanbul,erkek,,
Avni Anıl,Q6078629,İstanbul,erkek,,
Avni Dilligil,Q6096621,Hayfa,erkek,,
Avni Kütükoğlu,Q61014824,İstanbul,erkek,,
Avni Polat,Q25663912,Bingöl,erkek,,3LXyICa7NHpbCNv8QrZIXB
Ayben,Q545468,İstanbul,kadın,rap,4B744cRUGT2IOu9Uuh7Ad7
Ayberk Sak,Q115979024,Sivas,erkek,,
Ayberk Özsoy,Q123529303,İstanbul,erkek,,
Aybüke Poçan,Q50898641,İstanbul,kadın,,
Aycan Gül,Q116678308,Denizli,erkek,,6rESV3KNmPEV54VNrm0ML8
Ayda Alina,Q120766959,Kastamonu,kadın,,
Ayda Arbatlı,Q95743283,İstanbul,kadın,,
Ayda Kirci,Q131415215,Hannover,kadın,,
Aydemir Akbaş,Q6056101,İstanbul,erkek,,
Aydilge,Q616094,Kütahya,kadın,pop rock,
Aydın Arakon,Q6071038,Edirne,erkek,,
Aydın Bağardı,Q116940550,Eskişehir,erkek,,
Aydın Bulut,Q6058319,İstanbul,erkek,,
Aydın Daruga,Q47009928,İzmir,erkek,,
Aydın Esen,Q792888,İstanbul,erkek,"caz, Caz füzyonu",
Aydın Işık,Q47006578,Hattingen,erkek,,
Aydın Karlıbel,Q6095127,İstanbul,erkek,,
Aydın Kurtoğlu,Q20470961,Rize,erkek,pop müzik,7ymCV8co6nSwmYFEyGmVvJ
Aydın Sayman,Q6055923,,erkek,,
Aydın Tansel,Q23750771,Ankara,erkek,,
Aydın Çobanoğlu,Q12836264,Tovuz,erkek,,
Aydın İmrani,Q12836266,,erkek,,
Aydın Şencan,Q137506374,,erkek,,
Ayhan Evci,Q6912441,,erkek,,
Ayhan Salar,Q792950,İzmir,erkek,,
Ayhan Sicimoğlu,Q17430498,Niğde,erkek,,6hy0av4iyLkMHQZjoBFmLP
Ayhan Önal,Q6023408,Ankara,erkek,,
Ayhan Öztoplu,Q92756875,İzmir,erkek,,
Ayhan Ünlü,Q98223992,,erkek,,
Aykan Safoğlu,Q95241451,İstanbul,erkek,,
Aykan İlkan,Q6053069,İzmir,erkek,rock müziği,
Aykut Düz,Q61034999,İstanbul,erkek,,
Aykut Gürel,Q25478188,Şişli,erkek,,
Ayla Algan,Q3500793,İstanbul,kadın,,
Ayla Büyükataman,Q120378974,Ankara,kadın,,
Ayla Dikmen,Q4831341,Kütahya,kadın,pop müzik,74VZuXJwRTaBExjMhYBYi4
Ayla Gürses,Q18759186,İstanbul,kadın,,
Ayla Çelik,Q25477788,İstanbul,kadın,,3Z7GwK4hUEczTklLsVedcx
Aylin Aslım,Q470307,Lich,kadın,pop müzik,17Ax2Mq0nn4I5PtBp4ieFW
Aylin Aykan,Q69154627,,kadın,,
Aylin Coşkun,Q23920831,Hofheim am Taunus,kadın,pop müzik,
Aylin Livaneli,Q25477224,Ankara,kadın,pop müzik,
Aylin Urgal,Q3509343,İstanbul,kadın,pop müzik,
Aylin Vatankoş,Q793070,İzmir,kadın,pop müzik,
Aynur Aydın,Q4156426,Münih,kadın,Türk pop müziği,27TH57uXZezzxdlmbbyWQU
Aynur Doğan,Q464692,Çemişgezek,kadın,çağdaş halk müziği,6kZvCKj0MxeLEg35TXYZDd
Ayris Alptekin,Q95684365,İstanbul,kadın,,
Ayser Vançin,Q2875021,İstanbul,kadın,,
Aysun Bademsoy,Q793310,Mersin,kadın,,
Aysun Gültekin,Q6056390,Çamlıkaya,kadın,,
Aysun Kocatepe,Q6045973,İstanbul,kadın,,
Ayta Sözeri,Q6023712,Almanya,trans kadın,,
Aytaç Doğan,Q21524137,Bursa,erkek,,457nwUldk400eeh8gUsUDi
Aytekin Ataş,Q20471187,Tunceli,erkek,,
Aytekin Birkon,Q117862213,,erkek,,
Ayten Alpman,Q3631393,İstanbul,kadın,"caz, pop müzik",3ABivHBm6ULD624ig1lgOg
Ayten Kuyululu Ürkmez,Q6044866,,kadın,,
Aytuğ Gün,Q65588806,Radevormwald,erkek,"pop müzik, Schlager müziği",
Ayzer Danga,Q47009938,İstanbul,erkek,,
Ayça Damgacı,Q6094134,İstanbul,kadın,,
