isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Ümit Tokcan,"Ordu, Turkey",,solo,Ordu,2XhDm9940pqnOO6KJtP2iD,4311.0,12.0,"karadeniz folk, anatolian rock","karadeniz folk, anatolian rock",halk,turkish folk
Altay,"Rize, Turkey",,solo,Rize,0JbRebRnzCiwyNUMuIeN1P,22142.0,24.0,turkish pop,,,"turkish pop, deep turkish pop"
Aydın Kurtoğlu,"Rize, Rize, Turkey",,solo,Rize,7ymCV8co6nSwmYFEyGmVvJ,417064.0,53.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Davut Güloğlu,"Rize, Turkey",,solo,Rize,14NI6E1Msm1FSPtv7jFJW5,117621.0,50.0,"karadeniz folk, oyun havasi, turkish pop, arabesk","karadeniz folk, oyun havasi, turkish pop, arabesk",pop,arabesk
Selçuk Balcı,"Çayeli, Rize, Turkey",,solo,Rize,4Xm86XAvDYWh36Z98FvKjc,224526.0,45.0,"karadeniz folk, arabesk, oyun havasi","karadeniz folk, arabesk, oyun havasi",halk,turkish pop
Ertuğ,"Adapazarı, Sakarya, Turkey",,solo,Sakarya,15qObVbcXw0VEvicANQaaP,2253.0,18.0,arabesk,,"halk, sanat müziği, pop, alternatif, elektronik",deep turkish pop
Revios,,"Sakarya, Sakarya, Turkey",solo,Sakarya,2VxMcbctuoZkLaG2HbXVV7,16831.0,28.0,turkish hip hop,turkish hip hop,,turkish hip hop
Tuğkan,"Sakarya, Sakarya, Turkey",,solo,Sakarya,2h1EEQ0lD01lPKDRGisvL4,1424279.0,54.0,turkish pop,turkish pop,,
Abluka Alarm,"Samsun, Samsun, Turkey",,grup,Samsun,4gaKOdUtfvpN8BlOKn8EIy,43184.0,20.0,turkish hip hop,turkish hip hop,,turkish hip hop
Derin Darbe,"Samsun, Samsun, Turkey",,grup,Samsun,2X9t8GDOwymwZeGlW5epyG,12311.0,5.0,turkish hip hop,turkish hip hop,,
Emrah Karaduman,"Samsun, Samsun, Turkey",,solo,Samsun,7FvMAbdiffitFmbuJN3Vsk,496538.0,54.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Ercüment Vural,"Samsun, Samsun, Turkey",,solo,Samsun,7A13SHbyZy9zVYnOkn3qAt,2666.0,15.0,turkish pop,turkish pop,,
Güliz Ayla,"Samsun, Samsun, Turkey",,solo,Samsun,7yiJcbeab3PFoFhxtNDujs,438442.0,47.0,turkish pop,turkish pop,,turkish pop
KÖK$VL,"Samsun, Samsun, Turkey",,solo,Samsun,5fO16dsHVrojWL2mPzcdpq,72570.0,45.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
Objektif,"Samsun, Samsun, Turkey",,grup,Samsun,1dVqwqQyxTM9yID5wLPBuv,12326.0,23.0,anatolian rock,anatolian rock,,"turkish rock, turkish metal"
Sefo,,"Samsun, Samsun, Turkey",solo,Samsun,1ITjgqpqMDJlqZGAK3mlPQ,3021738.0,62.0,"turkish hip hop, turkish pop",,reggae,turkish trap
Senyor,,"Samsun, Samsun, Turkey",solo,Samsun,3YrZ8a1JMHWENyfSChlhRe,3655.0,11.0,turkish hip hop,,,turkish hip hop
Yavuz Çetin,"Samsun, Samsun, Turkey",,solo,Samsun,4inwzuD2iBZK8Ck3ft7Wlk,164660.0,39.0,"anatolian rock, karadeniz folk","anatolian rock, karadeniz folk",rock,turkish rock
Yıldıray Çınar,"Samsun, Turkey",,solo,Samsun,7bvwfksjrU3GvDo37cQus3,7015.0,15.0,arabesk,arabesk,halk,
Yıldız Kaplan,"Bafra, Turkey",,solo,Samsun,67JtU0vekOCv544IBmUBH9,3065.0,3.0,turkish pop,turkish pop,pop,deep turkish pop
Abdullah Papur,"Divriği, Sivas, Turkey",,solo,Sivas,6P3ttTA1PYoVVaZthgcgjI,32860.0,31.0,arabesk,arabesk,halk,turkish folk
Ali Kızıltuğ,"Divriği, Sivas, Turkey",,solo,Sivas,611fvPc4QIrREVzOq49Mob,19013.0,29.0,arabesk,arabesk,halk,turkish folk
Alihan,"Sivas, Sivas, Turkey",,solo,Sivas,4BQHFFKuxuekkQ5bzFfrl6,28388.0,27.0,arabesk,,,arabesk
Cengiz Özkan,"Divriği, Sivas, Turkey",,solo,Sivas,3gmRDeSq9EIPP6pFSLi3FT,448998.0,48.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",,turkish folk
Emel Sayın,"Şarkışla, Sivas, Turkey",,solo,Sivas,7KVIZplHlqnvESsbuFQOnM,230092.0,43.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish pop, arabesk, turkish folk"
Esin Engin,"Sivas, Sivas, Turkey",,solo,Sivas,4uIGU1mY4tCjIWAJ0jqFSC,32083.0,32.0,"tango, anatolian rock, turkish pop","tango, anatolian rock, turkish pop",,
Hasret Gültekin,"İmranlı, Sivas, Turkey",,solo,Sivas,1xDZ6M4vlRuleVgA9zQMkZ,101317.0,36.0,"karadeniz folk, arabesk","karadeniz folk, arabesk",halk,turkish folk
Hüseyin Karakuş,"Sivas, Sivas, Turkey",,solo,Sivas,5MZPzIl7i2AmPMFqMeIZ1J,13007.0,27.0,arabesk,arabesk,,turkish folk
Muhlis Akarsu,"Kangal, Sivas, Turkey",,solo,Sivas,4OGie4xcdkOilAqbvNf8me,41978.0,35.0,arabesk,arabesk,halk,turkish folk
Sabahat Akkiraz,"Kangal, Sivas, Turkey",,solo,Sivas,64ij9owifHXh2rvuCGIEV7,240166.0,43.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,turkish folk
Sibel Pamuk,"Sivas, Sivas, Turkey",,solo,Sivas,6fVB5kHu0kt9uLnbZVBJTL,26041.0,29.0,"arabesk, oyun havasi, karadeniz folk","arabesk, oyun havasi, karadeniz folk",halk,"arabesk, turkish folk"
Kıvırcık Ali,"Tokat, Turhal, Turkey",,solo,Tokat,5nObFnlOBawrX748LB4ioF,386416.0,58.0,arabesk,arabesk,halk,"arabesk, turkish folk"
Şahin Gültekin,"Zile, Tokat, Turkey",,solo,Tokat,0lp56bqi3yvh7s5pqilyGI,42.0,0.0,anatolian rock,"oyun havasi, arabesk",halk,
3 Hür-El,"Trabzon, Trabzon, Turkey",,grup,Trabzon,2EgONoO8gQPmF5bh4IxxPD,125774.0,36.0,anatolian rock,"happy hardcore, nightcore, hyperpop",,
Bilal Hancı,"Trabzon, Trabzon, Turkey",,solo,Trabzon,2wswrLV1o19frClh3pHxws,524743.0,41.0,"karadeniz folk, turkish pop","karadeniz folk, turkish pop",,turkish pop
Feridun Hürel,"Trabzon, Trabzon, Turkey",,solo,Trabzon,33UcICiH0L4aybqHmFbik7,301.0,1.0,anatolian rock,anatolian rock,,
Fikret Dedeoğlu,"Trabzon, Trabzon, Turkey",,solo,Trabzon,1ZMVpCbCRtKBoc65uWaBBN,88022.0,33.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Fuat Saka,"Trabzon, Turkey",,solo,Trabzon,2nV0oHTtgkrV8rjV82IXei,83995.0,45.0,"karadeniz folk, oyun havasi, anatolian rock","karadeniz folk, oyun havasi, anatolian rock","özgün, rock, folk",turkish folk
Hasip Aksu,"Trabzon, Trabzon, Turkey",,solo,Trabzon,0XdpZhadFQGOdhwUg4cOax,3378.0,22.0,turkish hip hop,turkish hip hop,,turkish hip hop
Ruhi Sarı,"Trabzon, Turkey",,solo,Trabzon,4cXuxehc0yuaErRTVvRZW9,51.0,23.0,"turkish pop, arabesk, karadeniz folk","turkish pop, arabesk, karadeniz folk",,
Umay Umay,"Trabzon, Trabzon, Turkey",,solo,Trabzon,2QAG5oQJ9zllCKOHXfQDe7,8967.0,27.0,"turkish pop, karadeniz folk","malay, indonesian indie","pop, rock",
Volkan Konak,"Maçka, Trabzon, Turkey",,solo,Trabzon,48CUA59SDed3IdCctKndud,680730.0,56.0,"karadeniz folk, arabesk, turkish pop","karadeniz folk, arabesk, turkish pop",halk,"turkish pop, arabesk, turkish folk"
Yusuf Güney,"Trabzon, Trabzon, Turkey","London, Greater London, United Kingdom",solo,Trabzon,7ictQXHIBmXODb4ykTI95n,690047.0,53.0,"turkish pop, karadeniz folk","turkish pop, karadeniz folk",pop,turkish pop
Ahmet Aslan,"Hozat, Tunceli, Turkey","Köln, Nordrhein-Westfalen, Germany",solo,Tunceli,7nx9ts8pRmbvMQvnPwqDSS,391831.0,50.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",,turkish folk
Ali Baran,"Hozat, Tunceli, Turkey","Karlsruhe, Baden-Württemberg, Germany",solo,Tunceli,1UBFojTTRV0Km6zFqBU6CN,43027.0,43.0,"karadeniz folk, arabesk","karadeniz folk, arabesk",,
Emre Saltık,,"Tunceli, Tunceli, Turkey",solo,Tunceli,0tLZLCnUQN43Tdh7NAHJas,51358.0,37.0,arabesk,arabesk,halk,turkish folk
Ferhat Tunç,"Tunceli, Tunceli, Turkey",,solo,Tunceli,6yoSn7S0JYv4R1gp3zObWd,146230.0,48.0,arabesk,arabesk,,turkish folk
Hakkı Bulut,"Mazgirt, Tunceli, Turkey",,solo,Tunceli,7uFzQqE63ZhYMgPAGxdNTM,180164.0,47.0,"arabesk, oyun havasi","arabesk, oyun havasi",arabesk,arabesk
Yusuf Hayaloğlu,"Ovacık, Tunceli, Turkey",,solo,Tunceli,1uT6HqbLNYwgG1HolDsbpK,14875.0,34.0,arabesk,arabesk,,
Ahmet Özhan,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Şanlıurfa,6Du3hAAxRtIdKp3zF66Z78,38600.0,26.0,"sufi, arabesk, traditional folk","sufi, arabesk, traditional folk","folk, klasik",
Halodayı,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Şanlıurfa,1oR56GSDAFgtdKmSl6qU1r,608300.0,52.0,"turkish hip hop, turkish pop, oyun havasi","turkish hip hop, turkish pop, oyun havasi",,turkish hip hop
Mahmut Tuncer,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Şanlıurfa,7vjYN7lUizAWlMRxH96VtK,54327.0,39.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,arabesk
Müslüm Gürses,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Şanlıurfa,4cMwyqmHCwJjRZ3frIVHTr,9734855.0,66.0,arabesk,arabesk,"halk, arabesk, pop, rock",arabesk
Nuri Sesigüzel,"Birecik, Sanliurfa, Turkey",,solo,Şanlıurfa,4GnCtHBOhSZt9XOYAlV54G,16136.0,23.0,"arabesk, oyun havasi","arabesk, oyun havasi",halk,arabesk
Urfalı Babi,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Şanlıurfa,5OJN6S9b3csQen4T4CU7pW,33.0,0.0,anatolian rock,anatolian rock,,turkish psych
Ruhi Su,"Van, Turkey",,solo,Van,5DmyXzZgwTmnHVsNtlb4bl,110626.0,29.0,"egg punk, karadeniz folk, anatolian rock","karadeniz folk, egg punk, anatolian rock",halk,"turkish folk, turkish jazz"
Nida Tüfekçi,"Akdağmadeni, Yozgat, Turkey",,solo,Yozgat,0F3ckYEtzgDQ9qQUlfT22G,15979.0,10.0,"oyun havasi, arabesk","oyun havasi, arabesk",halk,turkish folk
Suavi,"Kırıkkale, Kırıkkale, Turkey",,solo,Kırıkkale,4SRE7uXKuUQRwAcl69iIMo,262875.0,37.0,"anatolian rock, arabesk, karadeniz folk","anatolian rock, arabesk, karadeniz folk",,"turkish rock, turkish folk"
Barış Akarsu,"Amasra, Bartın, Turkey",,solo,Bartın,0rHmlPHC63IGBTrtQEdDw6,1004776.0,51.0,"anatolian rock, karadeniz folk, turkish pop","anatolian rock, karadeniz folk, turkish pop",rock,"turkish pop, turkish rock"
Nuray Hafiftaş,"Çıldır, Ardahan, Turkey",,solo,Ardahan,2UsvjTiDXyIyXso2kjxiGY,405.0,6.0,arabesk,"arabesk, oyun havasi",halk,
Melis Güven,"Yalova, Yalova, Turkey",,solo,Yalova,4GANIO37ckIybnzApXhPmQ,17910.0,22.0,turkish hip hop,turkish hip hop,,turkish alt-pop
Şebnem Ferah,"Yalova, Yalova, Turkey",,solo,Yalova,74xBVPWYoSf5pvo5IkePRO,2773492.0,68.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
Kayra,"Karabük, Karabük, Turkey",,solo,Karabük,5UqZ7BXoccyvTHyXLk1Pk3,422953.0,59.0,turkish hip hop,turkish hip hop,,turkish hip hop
Metin Türkcan,"Karabük, Karabük, Turkey",,solo,Karabük,2YiE7AouBuzFNpHDgre7ia,5333.0,25.0,anatolian rock,anatolian rock,,turkish metal
Ümit Besen,"Osmaniye, Turkey",,solo,Osmaniye,2Cusk8DpjH8r3BDvuN3ufo,750090.0,51.0,"arabesk, turkish pop","arabesk, turkish pop",,"arabesk, turkish folk"
Feyyaz Yiğit,"Düzce, Düzce, Turkey",,solo,Düzce,2VCSwI1w8ecmlf3CMUd5Wz,51234.0,34.0,anatolian rock,anatolian rock,,
