isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Serpil Barlas,"İstanbul, Turkey",,solo,İstanbul,4mlozanMsNbZkzbfYXOpXo,5263.0,4.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Sertab Erener,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4W31XN2JH8mC54NkHdh04s,2363098.0,66.0,turkish pop,turkish pop,,"turkish pop, turkish jazz, turkish singer-songwriter"
Sevcan Orhan,"İstanbul, İstanbul, Turkey",,solo,İstanbul,18HQhVaGq9v0wM4u4YDW9A,173317.0,43.0,"oyun havasi, arabesk, karadeniz folk","oyun havasi, arabesk, karadeniz folk",halk,"arabesk, turkish folk"
Sevda,"İstanbul, İstanbul, Turkey",,solo,İstanbul,6szaJxegliBLnTZanvd6sK,7950.0,30.0,"turkish pop, arabesk",,,deep turkish pop
Sevim Şengül,"İstanbul, Turkey",,solo,İstanbul,0qPcqbq6GWEmdtMF26NYV8,6009.0,15.0,arabesk,arabesk,,
Seyyal Taner,"Şanlıurfa, Şanlıurfa, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,4KsBdM2lmX37p3YR0odew0,19036.0,37.0,"turkish pop, anatolian rock","turkish pop, anatolian rock","pop, rock, dans",
Sezen Aksu,"Sarayköy, Denizli, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,64d1rUxfizSAOE9UbMnUZd,14371911.0,71.0,"arabesk, turkish pop","arabesk, turkish pop",pop,turkish pop
Sibel Can,"İstanbul, İstanbul, Turkey",,solo,İstanbul,2IiSMrjpXiteqhISWXkdUG,1762609.0,60.0,"arabesk, turkish pop","arabesk, turkish pop",dans,"turkish pop, arabesk, turkish folk"
Sibel Mirkelam,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0bWUS7i8POJGLCaEgoEB7k,1490.0,9.0,turkish pop,turkish pop,pop,deep turkish pop
Sibel Tüzün,"İstanbul, İstanbul, Turkey",,solo,İstanbul,0sh7lp6I1qIIfMYs0cCBbj,31588.0,29.0,turkish pop,turkish pop,"jazz, pop, rock",turkish pop
Silûetler,"İstanbul, İstanbul, Turkey",,grup,İstanbul,4SIqbgX2aG2c5idQg9GKJ5,1983.0,7.0,"anatolian rock, psychedelic rock","anatolian rock, psychedelic rock",,
Simge,"İstanbul, İstanbul, Turkey",,solo,İstanbul,4StjyzjcmZ7a9QncHVf0pu,2341037.0,64.0,"turkish pop, t-pop",,,"turkish pop, deep turkish pop"
Sinan Akçıl,"Leeuwarden, Friesland, Netherlands","İstanbul, İstanbul, Turkey",solo,İstanbul,31czVneIywpUwJTNOVviJx,535194.0,49.0,"turkish pop, t-pop","turkish pop, t-pop",,turkish pop
Sirhot,"Ankara, Ankara, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,6BLPuS2Tq1ePpZGyo8dXCW,13128.0,11.0,turkish hip hop,turkish hip hop,,turkish hip hop
Sokrat St,"Trabzon, Trabzon, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,7ouCgJkxRBIJljUiQVJK65,311353.0,46.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
Soner Sarıkabadayı,"Kahramanmaraş, Turkey","İstanbul, İstanbul, Turkey",solo,İstanbul,4T83el9VQDI0zOyU9zcYNq,1094490.0,56.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
Songül Karlı,"İstanbul, İstanbul, Turkey",,solo,İstanbul,1FiYcJ7qneilUV04LX8sY1,12555.0,35.0,"arabesk, oyun havasi","arabesk, oyun havasi",,"arabesk, turkish folk"
Sorgu,"İstanbul, İstanbul, Turkey",,solo,İstanbul,5rfJ3Ece18ZymeMvpMLUvB,10004.0,35.0,turkish hip hop,turkish hip hop,,turkish hip hop
Suat Sayın,"Fatih, İstanbul, Turkey",,solo,İstanbul,57TM29gPB8VYIycyeb8G1L,12248.0,23.0,arabesk,arabesk,,
