isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Kenan Olden,,"Ankara, Ankara, Turkey",solo,Ankara
Ali Kızıltuğ,"Divriği, Sivas, Turkey",,solo,Ankara
Erberk Eryılmaz,,"Ankara, Ankara, Turkey",solo,Ankara
kuzey,"Aydın, Aydın, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Victoria,"Cape Town, Western Cape, South Africa",,solo,Ankara
uclercagri,,"Ankara, Ankara, Turkey",solo,Ankara
Cin Seddi,"Ankara, Turkey, Turkey","Ankara, Turkey, Turkey",grup,Ankara
İsmail Demirci,"Ankara, Ankara, Turkey",,solo,Ankara
Büşra Ayaydın,"Ankara, Ankara, Turkey",,solo,Ankara
Cenk Torun,"Ankara, Ankara, Turkey",,solo,Ankara
Deniz Çakır,"Ankara, Ankara, Turkey",,solo,Ankara
Attila Özdemiroğlu,"Ankara, Ankara, Turkey",,solo,Ankara
Attila Özdemiroğlu,"Ankara, Ankara, Turkey",,solo,Ankara
Kemal Kuruçay,"Ankara, Ankara, Turkey",,solo,Ankara
Çiğdem Soyarslan,"Ankara, Ankara, Turkey",,solo,Ankara
Locomotive Speaker,"Ankara, Ankara, Turkey",,grup,Ankara
Atay İlgün,,,solo,Ankara
Alper Yıldırım,,,solo,Ankara
Yahya Dai,"Ankara, Ankara, Turkey",,solo,Ankara
Acid Trippin,,,solo,Ankara
Asiaminor,,,solo,Ankara
Atilla Saral,"Ankara, Ankara, Turkey",,solo,Ankara
Burak Babayiğit,"Ankara, Ankara, Turkey",,solo,Ankara
Serdar Gözelekli,"Ankara, Ankara, Turkey",,solo,Ankara
Zenith Maudlin,"Ankara, Ankara, Turkey",,grup,Ankara
Toros Can,"Ankara, Ankara, Turkey",,solo,Ankara
Başak Angigün,"Ankara, Ankara, Turkey",,solo,Ankara
Gözde Kural,"Ankara, Ankara, Turkey",,solo,Ankara
Hülya Aksular,"Ankara, Ankara, Turkey",,solo,Ankara
Hawk,"Ankara, Ankara, Turkey",,solo,Ankara
Yalçın Yelence,"Ankara, Ankara, Turkey",,solo,Ankara
Erdağ Yenel,"Ankara, Ankara, Turkey",,solo,Ankara
Ayşe Türk,"Ankara, Ankara, Turkey",,solo,Ankara
Berkay,"Ankara, Ankara, Turkey",,solo,Ankara
Çiğdem Selışık,"Ankara, Ankara, Turkey",,solo,Ankara
Cosmic Funeral,"Ankara, Ankara, Turkey",,grup,Ankara
Karanlık,,,solo,Ankara
Ohol Yeg,,,solo,Ankara
Işıl German,"Ankara, Ankara, Turkey",,solo,Ankara
Defne Deliormanlı,"Ankara, Ankara, Turkey",,solo,Ankara
Ulaş İnaç,"Ankara, Ankara, Turkey",,solo,Ankara
The Madcap,"Ankara, Ankara, Turkey",,grup,Ankara
Heavy Sky,"Ankara, Ankara, Turkey",,grup,Ankara
Batu Akdeniz,,,solo,Ankara
Ege Aydan,"Ankara, Ankara, Turkey",,solo,Ankara
Son Feci Bisiklet,"Ankara, Ankara, Turkey",,grup,Ankara
Dogu Blok,"Ankara, Ankara, Turkey",,solo,Ankara
Nalan Kuruçim,"Ankara, Ankara, Turkey",,solo,Ankara
Esin Harvey,"Ankara, Ankara, Turkey",,solo,Ankara
Haki Biçici,"Ankara, Ankara, Turkey",,solo,Ankara
Sapık İnek,"Ankara, Ankara, Turkey",,grup,Ankara
