isim,dogum_yeri,aktif_sehir,tip,arama_sehri,Spotify_ID,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
Teoman,,,solo,Adana,40KlwpvpKEQtZTJgbml8lT,2649791.0,61.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
Yaşar,"Adana, Adana, Turkey",,solo,Adana,50AOA3aPd6tc928KEYaljF,891921.0,59.0,turkish pop,"turkish pop, arabesk, oyun havasi",pop,turkish pop
Zafer Dilek,"Adana, Adana, Turkey",,solo,Adana,16haAKwdzQGlVMQJlQydLP,6867.0,23.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",,turkish psych
Zehra Sabah,"Adana, Adana, Turkey",,solo,Adana,0p1vxbabW8GGexJxBSg2uA,826.0,0.0,arabesk,arabesk,,
Ümit Besen,"Osmaniye, Turkey",,solo,Adana,2Cusk8DpjH8r3BDvuN3ufo,750090.0,51.0,"arabesk, turkish pop","arabesk, turkish pop",,"arabesk, turkish folk"
Şahin Kendirci,"Adana, Adana, Turkey",,solo,Adana,4y2dYEsfWCKxncn9nsUdcY,30963.0,29.0,"arabesk, oyun havasi","arabesk, oyun havasi",,arabesk
Ayhan Sicimoğlu,"Niğde, Niğde, Turkey","İstanbul, İstanbul, Turkey",solo,Adana,,,,,"electro swing, swing music",,turkish jazz
Aytekin Ataş,"Adana, Adana, Turkey","İstanbul, İstanbul, Turkey",solo,Adana,,,,,"karadeniz folk, oyun havasi",,
EGE!,"Mersin, Mersin, Turkey",,solo,Adana,,,,,"traditional gospel, gospel",,
Fate Fat,"Adana, Adana, Turkey",,solo,Adana,,,,,"sufi, qawwali, bollywood, hindi pop, desi, ghazal",rap,turkish hip hop
Hakan Ali Toker,"Adana, Adana, Turkey",,solo,Adana,,,,,,klasik,
Nesimi Çimen,"Saimbeyli, Adana, Turkey",,solo,Adana,,,,,oyun havasi,halk,turkish folk
Omar Faruk Tekbilek,"Adana, Turkey","New York, NY, United States",solo,Adana,,,,,sufi,,
Turbo Turabi,"Mersin, Mersin, Turkey",,solo,Adana,,,,,,dans,
Tını,"Adana, Adana, Turkey",,grup,Adana,,,,,latin pop,,
Yılmaz Güney,"Yenice, Adana, Turkey",,solo,Adana,,,,,arabesk,,
İpucu Beşlisi,,,solo,Adana,,,,,,funk,
İpucu Beşlisi,,,solo,Adana,,,,,,funk,
Ahmet Kaya,"Malatya, Malatya, Turkey",,solo,Adiyaman,1Y2FwScblyMxpLTrNdfwyU,7597217.0,68.0,"arabesk, anatolian rock","arabesk, anatolian rock",,
Ahmet Özhan,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Adiyaman,6Du3hAAxRtIdKp3zF66Z78,38600.0,26.0,"sufi, arabesk, traditional folk","sufi, arabesk, traditional folk","folk, klasik",
Ali Avaz,"Elazig, Turkey",,solo,Adiyaman,5ndNfClbKR9DBdkjvGZlLj,1097.0,8.0,"arabesk, turkish pop",,halk,
Ali Tekintüre,"Besni, Adıyaman, Turkey",,solo,Adiyaman,2IIMcq3R5ethW6WC9K44mJ,9571.0,17.0,arabesk,arabesk,,arabesk
Aşık Mahzuni Şerif,"Berçenek, Kahramanmaraş, Turkey",,solo,Adiyaman,4kNfut5xtwFz4AraRDFarT,96567.0,43.0,"arabesk, karadeniz folk, oyun havasi, anatolian rock","arabesk, karadeniz folk, oyun havasi, anatolian rock",halk,turkish folk
Dilber Ay,"Pazarcık, Kahramanmaraş, Turkey",,solo,Adiyaman,622nbL5e4PEwWgd9S3x2gA,143.0,0.0,arabesk,"arabesk, oyun havasi","halk, arabesk",
Edip Akbayram,,,solo,Adiyaman,0oFiWQjHNvksJlD0aWzBZM,823257.0,52.0,"anatolian rock, arabesk, turkish pop, karadeniz folk","anatolian rock, arabesk, turkish pop, karadeniz folk",rock,"arabesk, turkish folk"
Edip Akbayram,,,solo,Adiyaman,0oFiWQjHNvksJlD0aWzBZM,823257.0,52.0,"anatolian rock, arabesk, turkish pop, karadeniz folk","anatolian rock, arabesk, turkish pop, karadeniz folk",rock,"arabesk, turkish folk"
Edip Akbayram,,,solo,Adiyaman,0oFiWQjHNvksJlD0aWzBZM,823257.0,52.0,"anatolian rock, arabesk, turkish pop, karadeniz folk","anatolian rock, arabesk, turkish pop, karadeniz folk",rock,"arabesk, turkish folk"
Eftalya Yağcı,"Malatya, Malatya, Turkey","Istanbul, Istanbul, Turkey",solo,Adiyaman,27JkefjyyNpoRTWGDIt6Tc,23343.0,42.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop","indie, elektronik, rock",turkish pop
Ercan Turgut,"Malatya, Malatya, Turkey",,solo,Adiyaman,1NKhpzwXHKB9DUOQB3pbps,8134.0,18.0,"arabesk, anatolian rock","arabesk, anatolian rock",,
Erol Köker,"Arguvan, Malatya, Turkey","İstanbul, İstanbul, Turkey",solo,Adiyaman,37aZucOaDmxTcgp5XeeDbr,4639.0,31.0,"oyun havasi, arabesk, karadeniz folk","oyun havasi, arabesk, karadeniz folk",,turkish folk
Ersan Erdura,"Gaziantep, Gaziantep, Turkey",,solo,Adiyaman,1YGvsx5BBCcrUVPOxTwIR8,16190.0,27.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,
Fatih Kısaparmak,"Elazığ, Turkey",,solo,Adiyaman,5JiRFs54W65l4k97s66Eef,119585.0,39.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,"arabesk, turkish folk"
Ferhat Göçer,"Şanlıurfa, Şanlıurfa, Turkey","İstanbul, İstanbul, Turkey",solo,Adiyaman,13jj3uGldU7cSQLaFkf2Zm,936465.0,53.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
Gazapizm,"Elazığ, Elazığ, Turkey",,solo,Adiyaman,2boacFGRX1WIo7NFS8B0F2,4216388.0,62.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",rap,turkish hip hop
Halodayı,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Adiyaman,1oR56GSDAFgtdKmSl6qU1r,608300.0,52.0,"turkish hip hop, turkish pop, oyun havasi","turkish hip hop, turkish pop, oyun havasi",,turkish hip hop
Kurtalan Ekspres,,,solo,Adiyaman,2O7WjRnnODRpJAzKDtTb0C,27298.0,30.0,anatolian rock,anatolian rock,rock,turkish rock
Latif Doğan,"Adıyaman, Adıyaman, Turkey",,solo,Adiyaman,43kI5nP3x70CtCm0gTRdcf,87799.0,38.0,"arabesk, oyun havasi","arabesk, oyun havasi",,arabesk
Mahmut Tuncer,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Adiyaman,7vjYN7lUizAWlMRxH96VtK,54327.0,39.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,arabesk
Mehmet Ünal,"Adıyaman, Adıyaman, Turkey",,solo,Adiyaman,7D96D7AKlBWbsoqtDEUeaj,107.0,0.0,turkish pop,idm,,
Moğollar,,,solo,Adiyaman,5dMPhj9s9v91MpdGNpInLy,231952.0,36.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",halk,turkish rock
Muharrem Temiz,"Arguvan, Malatya, Turkey",,solo,Adiyaman,4a6cyIkxFsKephNfHu1UzV,32386.0,31.0,arabesk,arabesk,folk,turkish folk
Mustafa Özkent,"Gaziantep, Gaziantep, Turkey","İstanbul, İstanbul, Turkey",solo,Adiyaman,7AIG5iIr8bQomw1pGrwZZ4,10138.0,16.0,"anatolian rock, neo-psychedelic, psychedelic rock","anatolian rock, neo-psychedelic, psychedelic rock","caz, r&b, pop, rock",turkish psych
Mustafa Özkent,"Gaziantep, Gaziantep, Turkey","İstanbul, İstanbul, Turkey",solo,Adiyaman,7AIG5iIr8bQomw1pGrwZZ4,10138.0,16.0,"anatolian rock, neo-psychedelic, psychedelic rock","anatolian rock, neo-psychedelic, psychedelic rock","caz, r&b, pop, rock",turkish psych
Müslüm Gürses,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Adiyaman,4cMwyqmHCwJjRZ3frIVHTr,9734855.0,66.0,arabesk,arabesk,"halk, arabesk, pop, rock",arabesk
Narkoz,"Elazığ, Elazığ, Turkey",,solo,Adiyaman,12AdxoH53slHpDUYy1gn5H,125.0,5.0,arabesk,arabesk,,turkish hip hop
Nuri Sesigüzel,"Birecik, Sanliurfa, Turkey",,solo,Adiyaman,4GnCtHBOhSZt9XOYAlV54G,16136.0,23.0,"arabesk, oyun havasi","arabesk, oyun havasi",halk,arabesk
Ozan Ata Canani,"Kahramanmaraş, Kahramanmaraş, Turkey",,solo,Adiyaman,7wClclstu9zokPLIXl8woe,2066.0,7.0,anatolian rock,anatolian rock,,
Sena Şener,"Gaziantep, Gaziantep, Turkey",,solo,Adiyaman,7CW2eGwAuElNq09rVtZYsM,869000.0,57.0,turkish pop,turkish pop,elektronik,"turkish rock, turkish alt-pop"
Seyyal Taner,"Şanlıurfa, Şanlıurfa, Turkey","İstanbul, İstanbul, Turkey",solo,Adiyaman,4KsBdM2lmX37p3YR0odew0,19036.0,37.0,"turkish pop, anatolian rock","turkish pop, anatolian rock","pop, rock, dans",
Soner Sarıkabadayı,"Kahramanmaraş, Turkey","İstanbul, İstanbul, Turkey",solo,Adiyaman,4T83el9VQDI0zOyU9zcYNq,1094490.0,56.0,"turkish pop, t-pop","turkish pop, t-pop",pop,turkish pop
Urfalı Babi,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Adiyaman,5OJN6S9b3csQen4T4CU7pW,33.0,0.0,anatolian rock,anatolian rock,,turkish psych
Velet,"Kahramanmaraş, Elbistan, Turkey",,solo,Adiyaman,7bchfd9ZihGesFniE7tM71,1419093.0,57.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,
Yasemin Yalçın,"Malatya, Turkey",,solo,Adiyaman,6Nqzl5bly7iNNd4zRjxeo9,480.0,5.0,"arabesk, oyun havasi, turkish pop","arabesk, oyun havasi, turkish pop",,
Yurdaer Doğulu,"Gaziantep, Turkey",,solo,Adiyaman,4WAKs4LjsvSbjK1PMuXF2r,553.0,2.0,anatolian rock,anatolian rock,,
Yüksel Özkasap,"Malatya, Turkey",,solo,Adiyaman,3rCWRbWQOseQVNzO7WLUES,11455.0,19.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",pop,
Ahmet Yatman,"İstanbul, İstanbul, Turkey",,solo,Adiyaman,,,,,oyun havasi,,
Emekçi,"Kahramanmaraş, Kahramanmaraş, Turkey",,solo,Adiyaman,,,,,,,turkish folk
Emekçi,"Kahramanmaraş, Kahramanmaraş, Turkey",,solo,Adiyaman,,,,,,,turkish folk
Gani Pekşen,"Malatya, Malatya, Turkey",,solo,Adiyaman,,,,,,,turkish folk
Küçük İbo,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Adiyaman,,,,,arabesk,,arabesk
Mehmet Özbek,"Şanlıurfa, Şanlıurfa, Turkey",,solo,Adiyaman,,,,,,halk,
Necdet Yaşar,"Nizip, Gaziantep, Turkey",,solo,Adiyaman,,,,,sufi,klasik,
Ulaş Özdemir,"Kahramanmaraş, Kahramanmaraş, Turkey","İstanbul, İstanbul, Turkey",solo,Adiyaman,,,,,traditional music,,
Çetin Alp,"Malataya, Turkey",,solo,Adiyaman,,,,,"trance, progressive trance",,
