isim,dogum_yeri,aktif_sehir,tip,arama_sehri
Ankaralı Yasemin,"Çankaya, Ankara, Turkey",,solo,Ankara
Anorexia,"Ankara, Turkey",,grup,Ankara
Anıl Bilgen,"Ankara, Ankara, Turkey",,solo,Ankara
Apoplexy,"Ankara, Turkey",,grup,Ankara
Aradin Azun,"Ankara, Turkey",,grup,Ankara
Arcade Ghoul,,"Ankara, Ankara, Turkey",solo,Ankara
Arcey,"Samsun, Samsun, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Arda Esen,"Ankara, Ankara, Turkey",,solo,Ankara
Arda Kavaklıoğlu,"Ankara, Ankara, Turkey",,solo,Ankara
Arman Aydin,,"Ankara, Ankara, Turkey",solo,Ankara
Armağan Arslan,"Kırıkkale, Kırıkkale, Turkey","Ankara, Ankara, Turkey",solo,Ankara
Arsen Gürzap,"Ankara, Ankara, Turkey",,solo,Ankara
Arslanbek Sultanbekov,,"Ankara, Ankara, Turkey",solo,Ankara
Arzum Onan,"Ankara, Turkey",,solo,Ankara
Asiaminor,"Ankara, Ankara, Turkey",,grup,Ankara
Aslı Tandoğan,"Ankara, Turkey",,solo,Ankara
Aslıhan Karalar,"Ankara, Ankara, Turkey",,solo,Ankara
Aspova,"Ankara, Ankara, Turkey",,solo,Ankara
Assey,"Ankara, Ankara, Turkey",,solo,Ankara
Astral Division,"Ankara, Turkey",,grup,Ankara
Atak,,"Ankara, Ankara, Turkey",solo,Ankara
Atalay Demirci,"Ankara, Ankara, Turkey",,solo,Ankara
Atalay Uluışık,"Ankara, Ankara, Turkey",,solo,Ankara
Atilla Akarsu,"Ankara, Ankara, Turkey",,solo,Ankara
Atilla Saral,"Ankara, Ankara, Turkey",,solo,Ankara
Atilla Yelken,"İstanbul, İstanbul, Turkey","Ankara, Turkey",solo,Ankara
Atilla İçli,"Ankara, Ankara, Turkey",,solo,Ankara
Attila Özdemiroğlu,"Ankara, Ankara, Turkey",,solo,Ankara
Atıf Emir Benderlioğlu,"Ankara, Turkey",,solo,Ankara
Atıl İnaç,"Ankara, Ankara, Turkey",,solo,Ankara
Autumn,"Ankara, Ankara, Turkey",,grup,Ankara
Ave Sanguine,,"Ankara, Ankara, Turkey",grup,Ankara
Avni Tuna Dilligil,"Ankara, Ankara, Turkey",,solo,Ankara
Avni Özgürel,"Ankara, Ankara, Turkey",,solo,Ankara
Aybüke Pusat,"Ankara, Ankara, Turkey",,solo,Ankara
Aydın Tansel,"Ankara, Turkey",,solo,Ankara
Ayhan Baran,"Ankara, Ankara, Turkey",,solo,Ankara
Aykut Köselerli,,"Ankara, Ankara, Turkey",solo,Ankara
Aykut Sözeri,"Ankara, Ankara, Turkey",,solo,Ankara
Ayla Büyükataman,"Ankara, Ankara, Turkey",,solo,Ankara
Ayten Erten,"Ankara, Ankara, Turkey",,solo,Ankara
Ayten Gökçer,"Ankara, Ankara, Turkey",,solo,Ankara
Ayça Varlıer,"Ankara, Turkey",,solo,Ankara
Ayşe Türk,"Ankara, Ankara, Turkey",,solo,Ankara
Ayşegül Atik,"Ankara, Ankara, Turkey",,solo,Ankara
Ayşegül Uygurer,"Ankara, Ankara, Turkey",,solo,Ankara
Ayşin Atav,"Ankara, Ankara, Turkey",,solo,Ankara
BDG,,"Ankara, Ankara, Turkey",grup,Ankara
Bade,"Ankara, Ankara, Turkey",,solo,Ankara
