isim,Spotify_ID,Followers,Popularity,Spotify_Tur,EveryNoise_Tur
Kazancı Bedih,2uVpTbV5OnmZZXGK2lGMmD,25343,39,"arabesk, oyun havasi",turkish folk
Nazlı Öksüz,0WmQVyCYjOLMH06s3Y5B3k,25204,33,"arabesk, karadeniz folk, oyun havasi",turkish folk
Belkıs Akkale,3JDnwrAqfEfuIWCF5TvKNH,24170,33,"arabesk, oyun havasi",turkish folk
Gülşen Kutlu,5xuQlQor4mc2SoMoOuoRQI,23520,28,"arabesk, karadeniz folk, oyun havasi",turkish folk
Erol Parlak,2abfTrwaMafX06RqZ060VY,23463,26,"arabesk, karadeniz folk, oyun havasi",turkish folk
Yılmaz Çelik,2Xgezho0lE0uyfbJzRP7Xu,21523,36,arabesk,turkish folk
Yudum,4ULqAWicJ43wWH7rawCcwq,20389,35,"arabesk, karadeniz folk, oyun havasi",turkish folk
Caner Gülsüm,1SaE56yp1v7ayBnAWtmlvc,20325,33,"arabesk, oyun havasi",turkish folk
Nida Ateş,4pOsgdYnZoOde9cOUXkcbk,20085,28,arabesk,turkish folk
Ali Kızıltuğ,611fvPc4QIrREVzOq49Mob,19079,28,arabesk,turkish folk
Davut Sulari,4CUMbXiuy5eDQ0QIzkxad9,18785,10,traditional music,turkish folk
Emekçi,3KPVyK97Xv6LPDVy4wcKp8,18729,17,,turkish folk
Ahmet İhvani,436dqiiJ6QehPnIR0qeSYH,17350,28,,turkish folk
Aşık Gülabi,5oAjarshcRlAy9qdTm2pD7,17123,27,arabesk,turkish folk
Grup Yol,2B7A5bH5j5ty5DFl104Qdv,17071,16,,turkish folk
Sadık Gürbüz,0xjC2mnCxPqhpdMLCurUhU,16510,18,anatolian rock,turkish folk
Sevinç Eratalay,21SpLHv70G2N6WBGiTxGYB,16170,22,,turkish folk
Ali Nursani,7uVuCBxIAAgzZ3GdhDJxR8,16108,25,"arabesk, karadeniz folk",turkish folk
Nida Tüfekçi,0F3ckYEtzgDQ9qQUlfT22G,15981,10,"arabesk, oyun havasi",turkish folk
Tuncay Balcı,50VR4WQ07Xx5xIwrQitDEk,15894,20,,turkish folk
Uğur Önür,5l2L2v8CfdwVomOnIkQyQM,15775,26,oyun havasi,turkish folk
Yusuf Gül,1UAjdxc9cLmL8okKJm351N,14172,28,arabesk,turkish folk
Ali Rıza Albayrak,1TI4EQnso5rhH6xxANB6Lh,13820,33,,turkish folk
Aysun Gültekin,2MLjlRGWX0OfGgCa6Oshkg,13531,27,arabesk,turkish folk
Hüseyin Karakuş,5MZPzIl7i2AmPMFqMeIZ1J,13045,26,arabesk,turkish folk
Aşık Ali Nurşani,0Bh5y2ZUJpRka7h6lrc6Mp,12431,25,arabesk,turkish folk
Nilüfer Sarıtaş,4w9VlmbsG7pJMkQWthZxp4,12022,28,"arabesk, karadeniz folk",turkish folk
İlyas Salman,04PSsCIyHjFccVX78BAk8K,11750,23,arabesk,turkish folk
Hüseyin Uğurlu,1Ktwqr5ioFIXD1pqR8Pw9v,11463,,"arabesk, oyun havasi",turkish folk
Cansu Koç,3VR7QHJ8KocmcEQoFgRaoz,11007,30,"anatolian rock, arabesk, karadeniz folk, oyun havasi, turkish pop",turkish folk
Gülten Benli,31EqfOOGLqB7HvsDS9vHtB,10977,29,,turkish folk
Emrah Mahzuni,2RXymeMBrQXr9cIZafWvhU,10385,28,arabesk,turkish folk
Serpil Sarı,4kfuRLcuRj7hdby6Fm3aig,9540,21,"arabesk, oyun havasi",turkish folk
Burçin,6Et1iFZtNckFtFOLUlgqUX,9352,,"arabesk, oyun havasi",turkish folk
Grup Baran,4lMUqsYnXGwAxtTl8PeMSs,9251,,anatolian rock,turkish folk
Yavuz Top,6HdzcNlDKahhaCt6iZw89x,9137,15,"arabesk, traditional music",turkish folk
Mercan Erzincan,5JHWavFKQwFyPqaRtyvBzX,8739,22,,turkish folk
Metin Karataş,35ERCdIuZfKtBKGbdmF3RE,8573,29,arabesk,turkish folk
Kutsal Evcimen,0k8ww57wRG0ao6U741aTUv,8453,31,arabesk,turkish folk
Müslüm Eke,53gyenr79wHUp54UUUjMPD,8253,22,"arabesk, oyun havasi",turkish folk
Muzaffer Akgün,1x9uXXd7uHj2sjI7uI0yVX,7899,12,"arabesk, oyun havasi",turkish folk
Nesimi Çimen,0HxuFMBiNVoEGlZfaCHiVM,7366,10,oyun havasi,turkish folk
Telli Kılıç,7CcXrvn0GxCTxQJzFDlMq5,7292,26,"arabesk, karadeniz folk, oyun havasi",turkish folk
Deniz Türkan,2ChpMz6vlnXd4SwoEK6LH3,7192,14,arabesk,turkish folk
Rahmi Saltuk,6kx4oZvGXFwnKf7dtAdvXK,6946,17,,turkish folk
Hüseyin Albayrak,6qv9lxCo7ef9oIFLNnxiDl,6808,33,,turkish folk
Turgay Başyayla,20hC1hy1JuYCDRhUsqCGNB,6691,22,"karadeniz folk, oyun havasi",turkish folk
Hale Gür,2re8Qz4gH83wq6zDmndJRh,6481,25,oyun havasi,turkish folk
Feyzullah Çinar,3cDarmd6KMSkUCic7FSoyy,6442,9,traditional music,turkish folk
Aşık Daimi,5Af5aPKy9eiQtbfA1X81BM,5608,10,traditional music,turkish folk
Erensoy Akkaya,2Syt4kmVtfP0GjWc7Q1IMD,5161,20,arabesk,turkish folk
Gani Pekşen,2swDlzT0ml7URtS8yrft3o,5127,20,,turkish folk
Nurullah Akçayır,5jgr7SPAHDvVOn7yxKQKAf,4798,20,arabesk,turkish folk
Makbule Kaya,6PWst2ovpvuXdnx9K7dOMf,4558,15,oyun havasi,turkish folk
Ümit Tokcan,2XhDm9940pqnOO6KJtP2iD,4314,11,"anatolian rock, karadeniz folk",turkish folk
Mükerrem Kemertaş,344O9vvZrQHqDygV6kRwOB,3436,19,oyun havasi,turkish folk
Turan Engin,5dj8Wca4l1QNJOmC5XYO4Z,3395,12,traditional music,turkish folk
Tuncay Kemertaş,4T2s1koOYEcUSsiIRSaWbH,3085,19,oyun havasi,turkish folk
OZBEK,3oirDQR9QcyQvqjEZSMLFu,2976,,"melodic techno, minimal techno, techno",turkish folk
Gülcan Kaya,1OJugUzI1dmVJFvua2WB3p,611,2,traditional music,turkish folk
Melda Duygulu,4ggcY0xdnPwnF9LlJ3UNR3,122,1,oyun havasi,turkish folk
Emaskülatör,689cz5DGYDKCK0KuEUXNV0,3040,6,punk,turkish hardcore
Scenes We Have Missed,6F9PB4Rcyy1IgZO8O7qxnV,2884,10,melodic hardcore,turkish hardcore
Rektal Tuşe,2oeDJjqjuw7xH8lnqLvdYS,2864,6,grindcore,turkish hardcore
Getaman,5PngiwoJBCjjkn7mS1SsId,1464,3,punk,turkish hardcore
pembe,0iYhedWlqLBNv2Y0Dh4Jpk,1381,3,screamo,turkish hardcore
Rötbrains,7pPuSlVYGu6s6fplaiAVuM,1318,1,"grindcore, hardcore punk",turkish hardcore
ria,5lhCJq59jjElKSP0Tfbsbx,1264,5,screamo,turkish hardcore
The Raws,10yil6fNOvvo2F4CDcJMKP,1142,2,egg punk,turkish hardcore
Zurna Dürüm,2BMIIPToenKGBY2IjRYAyP,1076,2,,turkish hardcore
Ofisboyz,106u6U7sk3jlbr2cmBF6Wa,869,3,punk,turkish hardcore
Backover,5CS2Yxl3uFAEMPQQRsHnzs,843,2,melodic hardcore,turkish hardcore
Tocka,1Jjf0dHA8Z1EYt4VzLx0mb,728,2,,turkish hardcore
xRISALEx,3ndTnvWQuHGo4srov7oJno,693,0,"hardcore, metalcore",turkish hardcore
Emergency Broadcast,3pWsjFRb6mot6BNOfVQwkE,561,7,hardcore punk,turkish hardcore
Chopstick Suicide,7l8Modn1X9D3VND8QnqP68,556,0,mathcore,turkish hardcore
Rotting System,4wJBwdOPeTfmFGC2Ygm8xh,547,1,"hardcore punk, punk",turkish hardcore
No Relics,4ds06ExOgsncjFx3qWlPR0,544,0,,turkish hardcore
Something's Wrong!,6b8IIb10QAJ27rnfJVqLzl,527,0,hardcore punk,turkish hardcore
non-specific vaginitis,6ZrtwCGrqoNpbZcrtRdlWr,474,,grindcore,turkish hardcore
Self Torture,7oJiOxhFDfVIkfDoEIq4FI,396,0,,turkish hardcore
One Against All,7cM6NICsY76SBXPR1BzCF3,386,0,hardcore punk,turkish hardcore
El Topo,5w2gAF6EUYDWH0wwYMep3l,333,0,math rock,turkish hardcore
Potlatch,40X6PmEVSx4WPZ19GtsyKj,331,0,"grindcore, hardcore punk",turkish hardcore
Die In Vain,6R17YWfNnh0ILt8HyoE459,326,0,hardcore punk,turkish hardcore
Slave Training,5fsELj7nBrWohGOOZJQ8K7,293,,,turkish hardcore
330,00b6xdFmvWmoLpJAoNZ04s,287,0,,turkish hardcore
Noisy Sins Of The Insect,0w74cWSp07xa2CSOiSaosV,279,0,"mathcore, screamo",turkish hardcore
fragmentsofaprayer,3N5MfIXHIvoHqskk1EIZab,265,0,metalcore,turkish hardcore
Hatred Barricade,2pvFR2QIcgp7yZkOovK9O5,257,0,hardcore,turkish hardcore
The Ousted,3ccOBlNznh3ZjkDcGrbdRc,247,0,"hardcore punk, melodic hardcore",turkish hardcore
Standback,26xGsqLmbcBQAsQSTyoHqz,242,0,,turkish hardcore
Pourbon,58vJe0eAEb8zV3mP8vdP4g,168,0,"grindcore, hardcore punk, mathcore",turkish hardcore
Jornada del Muerto,5Ftuz4ktmsv2SasiH5bLSI,110,,,turkish hardcore
Mammoths On Giants,08ynJ7b7gQGvYKlCbSm7MU,110,0,mathcore,turkish hardcore
Urban Carnage,24A2a5abKEKb0v28FOOOXv,76,,grindcore,turkish hardcore
Crunch,2t36mu1RVNxygO3gmw86P2,70,0,"mathcore, screamo",turkish hardcore
Your Kingdom Is Doomed!,63E5Z2wNb2Hmb5OULlSBWQ,54,0,,turkish hardcore
Ceza,28Qbi9jTj2eej21P2mImZI,5261477,59,turkish hip hop,turkish hip hop
Gazapizm,2boacFGRX1WIo7NFS8B0F2,4223329,62,"turkish hip hop, turkish pop",turkish hip hop
Ati242,6bGOmNBU1AOgttgOjh0ldf,4083100,72,turkish hip hop,turkish hip hop
No.1,4fR3W8XFXsqHB8f8IqEr1y,3704744,63,turkish hip hop,turkish hip hop
Reynmen,1Fg19vpUJpAAPFjnKaVYVW,3208765,60,"turkish hip hop, turkish pop",turkish hip hop
Heijan,0KOSzgkMlkeowt1tgIg6ca,2102690,63,"turkish hip hop, turkish pop",turkish hip hop
Eypio,6h5P3J0j1x2lhiDk9w4deZ,1591380,65,"arabesk, turkish hip hop, turkish pop",turkish hip hop
ElMusto,1Tjaa3WWIVU00kfZ8Dvpcl,1203783,55,turkish hip hop,turkish hip hop
Taladro,2ShoGcsu8kekluGvbggGKQ,1145142,55,"arabesk, turkish hip hop",turkish hip hop
Şanışer,5LUxu287CsPM7jy3yS3l86,1110837,54,turkish hip hop,turkish hip hop
Sancak,3IiSjfHNSsynS08uC6w9u3,1039418,58,"arabesk, turkish hip hop, turkish pop",turkish hip hop
Diyar Pala,23Q5T7JtqekFJMbC0XKxnh,877661,54,"turkish hip hop, turkish pop",turkish hip hop
Burak King,18hpynG63scJYxOSDYHUVN,782562,54,"turkish hip hop, turkish pop",turkish hip hop
Cash Flow,7J7IAR4rkzo4FcZTDid3Jk,668847,61,turkish hip hop,turkish hip hop
Halodayı,1oR56GSDAFgtdKmSl6qU1r,609646,51,"oyun havasi, turkish hip hop, turkish pop",turkish hip hop
Sansar Salvo,6hxb4rGrYXtrAZbUK7uzt9,574501,58,turkish hip hop,turkish hip hop
Ozbi,4DG2pTwQBor7a6wtoEABau,568664,54,"turkish hip hop, turkish pop",turkish hip hop
Stabil,3XjAYzwW3zGIi0OetnEIvU,556068,53,turkish hip hop,turkish hip hop
Doğu Swag,0uHvlWnhRpaomF4e9IZHLy,483400,61,"arabesk, turkish hip hop, turkish pop",turkish hip hop
Allame,25FdziPY37yQIRXSk7ZUmS,460545,52,turkish hip hop,turkish hip hop
Tankurt Manas,4ESPwgMOkNWv8mZIfe2mdO,443502,36,turkish hip hop,turkish hip hop
Kayra,5UqZ7BXoccyvTHyXLk1Pk3,425082,58,turkish hip hop,turkish hip hop
Defkhan,5piE2MZ1wGpBjpDud8kTOS,414186,51,turkish hip hop,turkish hip hop
Aspova,2sjnyyL9NXijL3Fr2eLikf,412243,51,turkish hip hop,turkish hip hop
Bedo,7xD3PtnXEsJeqsPtJ3N3si,409367,55,"turkish hip hop, turkish pop",turkish hip hop
Rota,4m53kPdPFJpnF0qcJqfwNB,368520,51,turkish hip hop,turkish hip hop
Sokrat St,7ouCgJkxRBIJljUiQVJK65,311408,45,turkish hip hop,turkish hip hop
Canfeza,0NkjVHxmDMo5QCHdou6jUt,297051,44,"arabesk, turkish hip hop",turkish hip hop
Lia Shine,5G3OUmDl3R4rEn9zSWZTpw,267556,48,turkish hip hop,turkish hip hop
Hayki,6I65kFgfXDWx56jwnip3TU,258915,46,turkish hip hop,turkish hip hop
Saian,6ybd4tPF7McLj3BNhZavQi,258897,44,turkish hip hop,turkish hip hop
Sehabe,6P5Tw2kwv3BAa3iONsQe9x,256317,41,turkish hip hop,turkish hip hop
Ahiyan,0U8sdaBYsYld98xOIX1nYB,251401,57,turkish hip hop,turkish hip hop
Ayben,4B744cRUGT2IOu9Uuh7Ad7,238214,43,turkish hip hop,turkish hip hop
Cegıd,4ufSphAhkdRXTl17cBbqwi,230167,28,turkish hip hop,turkish hip hop
Ados,4jtv7mIerRdHNQOkFtKyDW,212626,40,turkish hip hop,turkish hip hop
Joker,2Fu5huGG8iXC85P9akyYrr,208180,45,turkish hip hop,turkish hip hop
Esat Bargun,2aUYhLpTuhYgill5Nxz0Ic,204356,43,turkish hip hop,turkish hip hop
Azap HG,5e533hdLKXcsl4BhU7gjqv,203766,31,turkish hip hop,turkish hip hop
Server Uraz,14obHIpcXd2SsTyR9VBsLL,191664,37,turkish hip hop,turkish hip hop
Farazi,44wLgA9gxORLwDGRvYpRBg,188920,51,turkish hip hop,turkish hip hop
Fuat,6tRmpYzDIjWoRHzbJO7Cpx,175518,39,turkish hip hop,turkish hip hop
Kezzo,6IFL211nZF4xuxG0u8G6HH,168237,34,turkish hip hop,turkish hip hop
Tefo,5bKfDewWHUg0VqXqRX1low,160437,55,"arabesk, oyun havasi, turkish hip hop, turkish pop",turkish hip hop
Tahribad-ı İsyan,7KNe21hAKV93GU7joDCs7e,160189,33,turkish hip hop,turkish hip hop
Kamufle,0JnDkp29FlLpGwsnub400t,152862,40,turkish hip hop,turkish hip hop
Dr. Fuchs,51o6QF11Nswx5jMlp6rAL8,141668,49,turkish hip hop,turkish hip hop
Mode XL,2qpp3Yjdi0E0D0H1d0Phc1,139035,36,turkish hip hop,turkish hip hop
Beta Berk Bayındır,63f9vjw52BL5c3f5TSlg72,135485,41,turkish hip hop,turkish hip hop
Grogi,40PllTYqoDKRna2jm9Gf8D,127033,41,turkish hip hop,turkish hip hop
AGAB,3QKeYTHlgDrec7FDej6XiN,122921,35,turkish hip hop,turkish hip hop
Çağrı Sinci,32d21ZV2sLX2sGdjefVMJg,121079,49,turkish hip hop,turkish hip hop
Can7,17AQsa7DW5ANQdRTV83cEJ,116832,29,turkish hip hop,turkish hip hop
Maestro,6dn3wwfEYlRaQQUC8RLhTz,109540,43,turkish hip hop,turkish hip hop
Alper Ayyıldız,2jaVCQfZPwNR2Z7Y7grFdA,105552,40,turkish hip hop,turkish hip hop
Pit10,7KNVmvcr2zkla9pKxJSrf3,104088,38,turkish hip hop,turkish hip hop
Kozmos,0qERHMCWkMoZvWZMngc1A6,97871,47,"turkish hip hop, turkish pop",turkish hip hop
Zeus Kabadayı,2gI1RWBJVIYrYO7QFRBsrm,93977,24,turkish hip hop,turkish hip hop
İmpala,2s26tvcj8lfuOFfrIl8APF,90224,39,turkish hip hop,turkish hip hop
Heja,3G0XxE8TxeByKXgwtmVE8n,89445,49,turkish hip hop,turkish hip hop
Karaçalı,6wYjLtVey6i2GIUDLZoeJg,88350,31,turkish hip hop,turkish hip hop
Da Poet,7Ml6UQvSODdViugwulEjWk,86828,50,turkish hip hop,turkish hip hop
ATE,1gta8KxWev006kmzUCM0a5,80108,44,"turkish hip hop, turkish pop",turkish hip hop
Decrat,5ouX1Qz844h25lu0aXUaw5,79342,49,turkish hip hop,turkish hip hop
Yeis Sensura,08zaslX1yBxta9zqc2yoWJ,74778,32,turkish hip hop,turkish hip hop
Elleran Elvis,5BUWb4u0cE1FV5e5ML1lW7,70797,27,turkish hip hop,turkish hip hop
Farazi V Kayra,5ayy4bftuQvE2xTCbCEufB,69522,22,turkish hip hop,turkish hip hop
Polemick,52OSZDXRviOuXikdQTmZ3t,67182,45,"arabesk, turkish hip hop",turkish hip hop
B4TU INC.,0JVl2O7TNYlEc6Lc2jHW3o,67089,34,turkish hip hop,turkish hip hop
Miğfemiral,4uMqXgzcSH2MUqHCP2E6A6,60151,5,turkish hip hop,turkish hip hop
Siirbaz,7xURIiVo2JwZ1wIBLE2tYs,59253,26,"lo-fi beats, turkish hip hop",turkish hip hop
Rapozof,1vwkMumkwDzSEgNVft1unD,56881,30,turkish hip hop,turkish hip hop
Silahsız Kuvvet,0EJXWOcuXQ3jyhgYT750Mm,56319,4,turkish hip hop,turkish hip hop
Diablo 63,1WxswOadzY89SJoKEUfUAb,50894,38,turkish hip hop,turkish hip hop
Mert Şenel,5YP7LI1ddSh4JFYe03h7ue,48595,36,turkish hip hop,turkish hip hop
Ramiz,4CnBqHEyoxCZKYx6iSJmNn,47386,41,"turkish hip hop, turkish pop",turkish hip hop
Kodes,2yRhS7HafDp8QUAjiIsofx,43776,30,turkish hip hop,turkish hip hop
Abluka Alarm,4gaKOdUtfvpN8BlOKn8EIy,43179,20,turkish hip hop,turkish hip hop
Fuchs,1D3FmNSYE1xcv6FEEmyCQw,42384,1,turkish hip hop,turkish hip hop
Sayedar,2W6fPatMdweub1APjva5KD,42048,35,turkish hip hop,turkish hip hop
Arda Gezer,1fCfko2pBGowIzqjakqxF8,39696,33,turkish hip hop,turkish hip hop
Emrah Karakuyu,1Kb8Eb6SbHbzUYSqhhDtx5,39095,34,turkish hip hop,turkish hip hop
Evren Besta,3eszEJ43r9HY92CvMSepYZ,37300,16,turkish hip hop,turkish hip hop
Yener,7FfBhlmKBRzPffRGMxexYy,33719,30,turkish hip hop,turkish hip hop
Deniz Gürzumar,1nbkdlGLMmM7rVNAkfoDu0,33372,23,turkish hip hop,turkish hip hop
Haylaz,0Wk8Ihu0ZdVIVqv3Vkg5TM,32471,35,"arabesk, turkish hip hop",turkish hip hop
Radansa,7m2QViLZEfJ01iO9GWQJLH,32112,34,turkish hip hop,turkish hip hop
Ağaçkakan,7ssDDQAUFA9Z5k5VbbqYxg,31610,31,"experimental hip hop, turkish hip hop",turkish hip hop
Ege Çubukçu,0XLP18nHemdh5CQhoM3RjZ,28955,31,"turkish hip hop, turkish pop",turkish hip hop
Ethnique Punch,4eSAzGCtD0jcxNuNK4OkDn,25495,19,turkish hip hop,turkish hip hop
Sahtiyan,43PNN2cWdYyZi5cZdEf4hy,24930,22,turkish hip hop,turkish hip hop
SAS,5dKK9A0yAqtRpqLoC7AkKm,22146,25,turkish hip hop,turkish hip hop
Aşıl,4qxQcRG5ghwRQ6dIJugiRd,22080,17,turkish hip hop,turkish hip hop
Narkoz,5gWfvJdFThp4lrD0o2QMju,22035,36,turkish hip hop,turkish hip hop
K''st,4x19qDNFXvWQnudUjs0XOE,21315,32,turkish hip hop,turkish hip hop
İstanbul Attack,1iA9wt3HSAoHZd2bKPX7ci,19657,18,turkish hip hop,turkish hip hop
Mirac,7xoGvuN5XfZ3T4dZoJvMCr,18765,31,turkish hip hop,turkish hip hop
Yunus Emre & Frekans,3uRXZnyn3kzB7CWKW3ntCu,18405,12,turkish hip hop,turkish hip hop
Diaz Dizzy,4lV5nhWNniQx5hzZDpSg6W,17453,23,turkish hip hop,turkish hip hop
Raziel,40LWX9h5ZinuoVzNKmML9Q,17139,0,"gabber, industrial, speedcore, turkish hip hop",turkish hip hop
Şiir!,3xAajp4pZmP2HKx0NcTsdf,16280,36,turkish hip hop,turkish hip hop
Spade427,7GREWMFJ4IGk3I9Sco4uDM,15904,21,turkish hip hop,turkish hip hop
İndigo,7dqi204C5WDEGKKQU9HMrP,13575,30,turkish hip hop,turkish hip hop
Sirhot,6BLPuS2Tq1ePpZGyo8dXCW,13137,11,turkish hip hop,turkish hip hop
Oldeaf,0FWH2ZX43fYJZYhf9FhvuH,12162,19,turkish hip hop,turkish hip hop
Dramelodi Project,2u4YcpfWIitOTVE8zWXnC0,10807,19,turkish hip hop,turkish hip hop
Kardiyak,0vadFxZjbNySQ0Bfl9eDps,10491,27,turkish hip hop,turkish hip hop
Sorgu,5rfJ3Ece18ZymeMvpMLUvB,10045,35,turkish hip hop,turkish hip hop
Kst,2SGh5HSU22GwoDux9KgcsU,9952,20,turkish hip hop,turkish hip hop
Emboli,256klKl5Pzn2qdHMXS4uBF,9917,23,turkish hip hop,turkish hip hop
Furkan Özsan,2IcI0EyzGYzrqOYdJCWge6,9440,34,"turkish hip hop, turkish pop",turkish hip hop
DJ Sivo,6hBbagFZrwC44AclzbxWvU,9144,37,turkish hip hop,turkish hip hop
Dilkeş Kardar,21p387LuwT1GtWVix2n3Dw,9130,20,turkish hip hop,turkish hip hop
Savai,3eIe9FXajf0llzCKuC4mOq,8742,,turkish hip hop,turkish hip hop
Selo,6Hw6zmpru6uNDiUWep8ENG,8642,18,turkish hip hop,turkish hip hop
Erci E,5Bd0FpVRSXZVGg1iLhYD3O,8577,,turkish hip hop,turkish hip hop
Harun Adil,04TnOCic5mv7NXaO6U8dUR,8419,15,turkish hip hop,turkish hip hop
Santi,0MhdeWkIfF9vxxRrefOt8V,8392,25,turkish hip hop,turkish hip hop
Taki,2WwfwuwXGIvZ0JSHflyNxL,7918,22,turkish hip hop,turkish hip hop
Emre Baransel,1fH1BT5iWXZnX4YEAzfO9K,7867,2,turkish hip hop,turkish hip hop
Canbay,7jCpE5xLeAC5PC4IkX1SDM,7654,40,turkish hip hop,turkish hip hop
Grejuva,0Ld8wmLqdAP0IPRXOK0XlD,6754,20,turkish hip hop,turkish hip hop
Raziel Nisroc,3mzvJJRG6GYE4qLd9RiDlR,6730,21,turkish hip hop,turkish hip hop
Dipnot,7HnPyLJYfVV5GLbKxngUUd,6688,24,turkish hip hop,turkish hip hop
Gına,57VA0bzhGOGoOeQ6EDKMxf,6632,25,turkish hip hop,turkish hip hop
Kodes Kahra,2iRPoDaBO985o9QkEezZ1g,6167,34,turkish hip hop,turkish hip hop
Redo,2lNeK9pFzAEaZ5lxRWA7Vn,6093,23,turkish hip hop,turkish hip hop
Kurşun,0Aoy4sSUqJcHCqnHFO3Aut,6011,21,turkish hip hop,turkish hip hop
Gxblin,4tGJWZ4OrCrOMIFTdfhLmv,5939,,turkish hip hop,turkish hip hop
Merdiven Crew,6XFLd1UMSFRk5mk9B3ECml,5938,18,turkish hip hop,turkish hip hop
Delaredo,19f1TTw2gnJd8Q9iJ0xgBZ,5533,13,turkish hip hop,turkish hip hop
Lider,4QlNBWjJ0rJdfXXTO9a82M,5239,18,turkish hip hop,turkish hip hop
Mahfuz,3qFclvmjuQQWEFYTawTSXy,5044,20,turkish hip hop,turkish hip hop
Önder Şahin,54B2T6NfUfcu68yWPpy0kn,4915,31,turkish hip hop,turkish hip hop
İçyüz,5fTYzUG1RRE28hzxfEIiYd,4404,11,turkish hip hop,turkish hip hop
9 Canlı,7yUbh3chDbtC5mvpkWSqy0,4010,33,"turkish hip hop, turkish pop",turkish hip hop
Fate Fat,4m08Ox8fE1ZD8zQzkhw6YL,4000,19,turkish hip hop,turkish hip hop
Senyor,3YrZ8a1JMHWENyfSChlhRe,3652,,turkish hip hop,turkish hip hop
Hasip Aksu,0XdpZhadFQGOdhwUg4cOax,3398,22,turkish hip hop,turkish hip hop
LEWO,3cFz9jRrqDuE0jwayfKypL,3353,9,turkish hip hop,turkish hip hop
Hawk,3LKpQKQIzEKY1WVFt5FZqy,3243,,turkish hip hop,turkish hip hop
Timuçin Ateş,1OBUhVkluyN9Rt9oZx43l1,2966,8,turkish hip hop,turkish hip hop
Kaplan,5NpMXRQGV9IpcGfuT8n5qt,2214,14,turkish hip hop,turkish hip hop
Cashflow,2Crbpgf26Q9ghKsXRaWrE6,2095,18,,turkish hip hop
Islamic Force,3SSvKdkdc4wcmhXlOgOdG4,1369,0,turkish hip hop,turkish hip hop
Ilgaz Erel,3olhJmfDORQghEMQ8vozqg,675,0,turkish hip hop,turkish hip hop
DJ Mahmut,7qB9RlRBbLO7Dx9h8L0TEo,564,8,turkish hip hop,turkish hip hop
Makale,3JEhcwuNxbGlZvrdOISPw3,474,1,turkish hip hop,turkish hip hop
Ulas,661iajxow0y7fZZu8rgj2r,343,3,synthwave,turkish hip hop
Evren,4Qm9BvKCOtjq3UIb5vlaHI,294,3,turkish hip hop,turkish hip hop
Serüven,2n6Yoala8vhy877ckrosRX,111,0,turkish hip hop,turkish hip hop
Evgeny Grinko,69RwhKw37lY73bMGaSts7C,396002,63,,turkish instrumental
Mark Eliyahu,7k6KVFItaU7pcBvL6poIi9,227845,52,,turkish instrumental
Farid Farjad,4OpgGR0sYIwrfYZgklLWnk,114627,41,,turkish instrumental
Taksim Trio,5rWGIr699je11ELP9xW5T2,49997,30,sufi,turkish instrumental
Göksel Baktagir,5AjOM8Kxmb2hNi9Gq2p9Zp,39059,32,sufi,turkish instrumental
Cihat Aşkın,70Pd24dGHmi567doblj8zN,38154,40,,turkish instrumental
Can Atilla,0TmpilCaLhx7jbBu9bxpJs,27808,40,,turkish instrumental
Cem Yıldız,3SASCp3Mzy7lT50cZn11yr,26633,49,arabesk,turkish instrumental
Cafer Nazlıbaş,0pQ5ZVoRj1JVsGBiIH3W7v,10216,25,arabesk,turkish instrumental
Ahmet Koç,5wVcjsv3JvwA0RyYay7HOS,9675,30,arabesk,turkish instrumental
Serkan Çağrı,2hON1GKfPWBK5CBoLzlsGQ,9327,27,,turkish instrumental
Melih Kibar,3L0Q2Hcpi6G3HtpRdiS4Nv,9167,22,"anatolian rock, turkish pop",turkish instrumental
Cafe Aman İstanbul,2AaCcoJ38jhYmHHKtC0DVK,7866,,laïko,turkish instrumental
Mustafa Kandıralı,50zJYuygq4Q4h0cdFOOQZZ,6325,13,oyun havasi,turkish instrumental
Tarlan Gazanferoğlu,0PjQ5oeDWICWyNP5LaTWhQ,5061,,,turkish instrumental
Taxim Trio,7IppvF2BlBoIrw6WPdaXq1,4822,,,turkish instrumental
Brian Keane,0YF3htY87UKOd5AOQwEuPh,4726,27,sufi,turkish instrumental
Orhan Osman,4fz6aWhJ47l2O7Efe2V050,4444,34,,turkish instrumental
Hüseyin Bitmez,1jvoYm8OTYBQUGBY8xmWkm,3163,31,,turkish instrumental
Istanbul Oriental Ensemble,2HhArb2oyijn61SeLuUGX4,3068,4,oyun havasi,turkish instrumental
Ceyhun Çelik,2NSJO7RvIqtrdldC87ARH8,2986,28,"oyun havasi, tango",turkish instrumental
Tolga Sunter,6ehPlz6OcfDMv4VM6vHhNE,2712,31,,turkish instrumental
Bülent Altınbaş,0SW035FTAyTd6g9VlSCcIP,2653,28,,turkish instrumental
Tarlan Gazenferoğlu,5463lfC5WsyRXvwsfaa7us,2435,,,turkish instrumental
Beysun Yildiz,5iLAfbpvqia4lIt8nzKhDA,2380,26,,turkish instrumental
Volkan Sönmez,7ENZlf88NQKu5rbinEfWtp,2152,17,karadeniz folk,turkish instrumental
Murat Sakaryalı,0YLkAyssa5ZqiIWeNJisrD,2084,12,,turkish instrumental
Basel Rajoub,68rxFd814z29ByrpJtXcNp,2072,7,experimental jazz,turkish instrumental
