isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir,MusicBrainz_ID,wikidata_id,muzik_turu (Wikidata),Popularity,foto_url
3rl,3rl,2pxqo7XxCWXWYu4ndsHpHk,2401.0,Turkish Hip Hop & Trap,new school turkce rap,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb9d4322f6508cfd4b33696e6f
Selahattin Pınar,Selahattin Pınar,0IF0UfRLhQ2q1KglJvvCDJ,2400.0,Turkish Sanat & Klasik,turkish classical,,solo,,İstanbul,,,,,https://i.scdn.co/image/ab67616d0000b2735d27e0322e753839a28b21ea
Beysun Yildiz,Beysun Yildiz,5iLAfbpvqia4lIt8nzKhDA,2399.0,Turkish Jazz & Instrumental,turkish instrumental,,,,,,,,,https://i.scdn.co/image/ab67616d0000b27355b7c71866afb5fc21b3751a
Kök,Kök,3tZOUNvbaeLa7u21SnEh3e,2396.0,Turkish Rock,turkish alternative rock,anatolian rock,,,,,,,,https://i.scdn.co/image/ab67616d0000b27347501f2fc6231660086d54aa
Orhan Atasoy,Orhan Atasoy,3I6zW11RhJosdaqEXjduvn,2393.0,Turkish Pop,,"turkish pop, anatolian rock",Person,erkek,İstanbul,90493c92-cf20-4f7a-a227-f02d8481c3b6,Q6082211,,14.0,https://i.scdn.co/image/ab67616d0000b27334e271b6e05e2e75f2b39716
Ahmet Baran,Ahmet Baran,3wGuPEiOqKGuFIH41wzGEH,2389.0,,qanun,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb1daaf29c70f10dffb45a290f
Devin Dereli,Devin Dereli,7kDV3gFUL8ur5ElHS2ZlbY,2386.0,Turkish Pop,turkish trap pop,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb0ac5914b5e60c491fcbd04b5
Nesrin Cavadzade,Nesrin Cavadzade,2j6Pkogkf0jggyy3RPEA6T,2375.0,Turkish Pop,,turkish pop,Person,,,488c5106-de0b-4866-a4a2-e4a95bcd87af,,,26.0,https://i.scdn.co/image/ab6761610000e5eb7d3814fe60b83584b286906b
Make Mama Proud,Make Mama Proud,5UwT6JUaVIB8ITvWWxwcjK,2369.0,Turkish Metal & Hardcore,turkish metal,"stoner rock, stoner metal",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb909d68c1aa473075dba77cec
Can Çakmur,Can Çakmur,2ScGWqzdQcdVI2OKeZRrSu,2368.0,Turkish Sanat & Klasik,turkish classical performance,,solo,,Ankara,,,,,https://i.scdn.co/image/ab67616d0000b2731e94d3ee262dcd6e3c607dd4
Ronnin,Ronnin,5D2qjvryAXxSgmvUnzDdgz,2360.0,Turkish Metal & Hardcore,turkish metal,,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb9332bfe92cbaa2b8adf90537
Niño De Murcia,Niño De Murcia,5wdVFLN5jec49nVgbDqJyX,2353.0,Turkish Pop,classic turkish pop,anatolian rock,,,,,,,,https://i.scdn.co/image/ab67616d0000b273bb862459457f3a629996efa2
Gülniyaz Musiki Topluluğu,Gülniyaz Musiki Topluluğu,5mepbCG3lXEU3nS3RG5KHr,2352.0,Turkish Sanat & Klasik,ilahiler,sufi,,,,,,,,https://i.scdn.co/image/ab67616d0000b27302668311c78eea9e2909540a
Mehtap Demir,Mehtap Demir,1KWV26medfYzMx0XkU6Wwl,2350.0,Tematik & Ozel,cocuk sarkilari,,,,,,,,,https://i.scdn.co/image/ab67616d0000b273e3aaefed0d43b2fa7f4adc2f
Eren Özütemiz,Eren Özütemiz,11b47Ovlw02wLBErkXfOYZ,2344.0,Turkish Folk,bozlak,arabesk,,,,,,,,https://i.scdn.co/image/ab67616d0000b2735c79c9ea0e357b42c5340fbf
Kaptan Anadol!,Kaptan Anadol!,4oLgU3mrqe9vIQtGiP40hD,2342.0,Turkish Rock,turkish punk,punk,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebde25f6c1fbf0706334d0155e
Ercan Irmak,Ercan Irmak,4o7UHcYTQUDVgGNXLHaccZ,2342.0,Turkish Sanat & Klasik,turkish classical,sufi,solo,,Eskişehir,,,,,https://i.scdn.co/image/ab67616d0000b27348260123404fb4162cf92682
HELLSODOMY,HELLSODOMY,5GeQhyHtuQo3qTq8gqNn8U,2340.0,Turkish Metal & Hardcore,turkish death metal,"black metal, death metal",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebb7a8713761a17719d5f66922
Kung Fu,Kung Fu,57h9mEWCixTsurEy3gDUgA,2339.0,Turkish Rock,,anatolian rock,Group,,,1647499e-c867-42c9-ad92-b5b2077d706c,,,14.0,https://i.scdn.co/image/ab67616d0000b2737e39285e3234f68e3a268941
Grup Sancaktar,Grup Sancaktar,1OV0If79JOVZ3B4y4yn9Ud,2338.0,Turkish Sanat & Klasik,ilahiler,,,,,,,,,https://i.scdn.co/image/ab67616d0000b273d541030cd440b837cf8a24ff
Bekir Sıdkı Sezgin,Bekir Sıdkı Sezgin,0Ij0g2U9jo3fZoe66B37Hn,2337.0,,,,Person,,,7ef61959-65f2-41ab-9ae2-ba890812b7b4,,,0.0,
Tunç Çakır,Tunç Çakır,67puDMQpfSbYt2ysNVi19a,2335.0,Turkish Electronic,turkish electronic,,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebbcbee5ebf4fa92fa2a44b450
Rap Angels,Rap Angels,4V1OEQRXseExVHh3QLrKcW,2331.0,Turkish Hip Hop & Trap,turkce kadin rap,"turkish hip hop, turkish pop",,,,,,,,https://i.scdn.co/image/ab67616d0000b27309c10f7cc02f02c0a13c736b
Alper Atakan,Alper Atakan,3uDzqJdKQwqnH0OQD00RXd,2330.0,Turkish Jazz & Instrumental,turkish soundtrack,turkish pop,solo,,Adana,,,,,https://i.scdn.co/image/ab6761610000e5eb6801b577b87a1ae2c03f05c9
Şirin Pancaroğlu,Şirin Pancaroğlu,4B9vxPxDQUxc9xxSclq8BQ,2329.0,Turkish Jazz & Instrumental,harp,"tango, musique concrète, electroacoustic, sufi",solo,,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb903dbeade580c0e7c1e1b354
Nevid Müsmir,Nevid Müsmir,6FwSDn33gIpgy9cl92H9Kn,2329.0,Turkish Folk,baglama,,,,,,,,,https://i.scdn.co/image/ab67616d0000b27309c90935fde404d9bd544cf3
Işıl German,Işıl German,6iGxUfGu1YgOpELRGw4mSr,2329.0,Turkish Rock,,anatolian rock,,kadın,Ankara,,Q6033477,pop müzik,22.0,https://i.scdn.co/image/ab67616d0000b273f888a01dd807cf2fba3a9931
Septik34,Septik34,4SSwyqvWF2wlfzOiTjt94K,2328.0,Turkish Hip Hop & Trap,turkce trap metal,trap metal,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebab41a8bce88a22add35619df
Ayhan Yener,Ayhan Yener,3q8LMDPRdKAi9V1zSZuBjq,2328.0,Turkish Rock,,anatolian rock,Person,,,a0461a38-dd59-4558-a8d9-7ba3d9ffb6bf,,,18.0,https://i.scdn.co/image/ab67616d0000b27356cb95dd3622e600d3f42fa9
Oculos,Oculos,3OQQwMP6C0xm7h3JQpWfUk,2319.0,Turkish Metal & Hardcore,turkish death metal,death metal,grup,grup,İzmir,,,,,https://i.scdn.co/image/ab6761610000e5eb562fec728f13fb0b223c791b
Gonca Vuslateri,Gonca Vuslateri,1Lqk5sH7UHfUOpA774zSDr,2318.0,Turkish Pop,,turkish pop,Person,,,0a5c8b46-bb8e-44a5-aefe-6d7b246bdf9a,,,25.0,https://i.scdn.co/image/ab67616d0000b273615a7f226e2b7c3a8a1cbddf
Mercan,Mercan,7d8hXHfW0jPI0IFgy7vxgV,2309.0,Turkish Pop,deep turkish pop,turkish pop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb65b60d73a9d7b8b812ce3b32
Feridun Emre Dursun,Feridun Emre Dursun,6s8nbwoB5bRVWLs1MFfYEc,2305.0,Tematik & Ozel,cocuk sarkilari,children’s music,,,,,,,,https://i.scdn.co/image/ab67616d0000b27313ae31b16da366000142ad7d
Belaxs,Belaxs,1GUxcjnzN8wM4MgAE0tE6s,2302.0,Turkish Hip Hop & Trap,new school turkce rap,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb396d1a393612c22bf6dacf00
Genco Erkal,Genco Erkal,77aA4wqcjIKDt4phHzTxzH,2301.0,,,,Person,,,db3e7c55-78df-4348-8823-ee977006f2d8,,,18.0,https://i.scdn.co/image/ab67616d0000b273059ee75d88bc8b42ebd25cfe
Cengiz Çelikel,Cengiz Çelikel,68vDWvP9350RDQfoylwgeX,2301.0,Turkish Sanat & Klasik,ilahiler,,,,,,,,,https://i.scdn.co/image/ab67616d0000b273ce9099239b2736d1656cad62
Graumann,Graumann,32wi0zvRMBhVnuecqYUSr1,2297.0,,,"melodic techno, melodic house",Person,erkek,Bolu,891d4086-306c-484a-8826-40c403d9d907,Q110612007,,19.0,https://i.scdn.co/image/ab6761610000e5eb829ac300e9b51a74b319d306
Selcan Asyalı,Selcan Asyalı,5iPYL1o4DRaHt1TxncOA1W,2296.0,Turkish Pop,turkce slow sarkilar,"turkish pop, arabesk",,,,,,,,https://i.scdn.co/image/ab6761610000e5ebae8c4b0236e3fc186970d5f8
Öztürk Serengil,Öztürk Serengil,1k4TNy8819y0QKjsqBcnNe,2293.0,Turkish Pop,classic turkish pop,anatolian rock,solo,,Artvin,,,,,https://i.scdn.co/image/ab67616d0000b273eadf5be2e92f51943240b6f3
Elif Avcı,Elif Avcı,2NbWFkO0QrYOCsz2orerKr,2287.0,,,,,kadın,,,Q60436852,,15.0,https://i.scdn.co/image/ab6761610000e5eb59c0d30c7fc8a75355cf5c66
Dervishane,Dervishane,0MDjctr33Ju1E3FGlp6gEE,2283.0,Turkish Sanat & Klasik,mevlevi sufi,sufi,,,,,,,,https://i.scdn.co/image/ab67616d0000b2736130397bbe05aeeab9acd105
Authentic Anatolian Project,Authentic Anatolian Project,07jKtiwRhbPEaUd10ZknFc,2281.0,Turkish Jazz & Instrumental,turkish modern jazz,,,,,,,,,https://i.scdn.co/image/ab67616d0000b273d2d2708e38cce19c0566fb6c
Sümeyra,Sümeyra,55IpHgbf4NO1dYRBHVCQvR,2280.0,,,,,kadın,Edirne,,Q2382131,Türk halk müziği,14.0,https://i.scdn.co/image/ab67616d0000b273f9cceecb9aee5c06e8103a23
Derya Çağlayan,Derya Çağlayan,2QHpzoEJwgQzQ2b0knMG9S,2279.0,Turkish Folk,baglama,space music,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebc98814aa0d33859869a3d7f0
Cotard Beatz,Cotard Beatz,7jmEQhBTQ9WVTdHmclo7GC,2277.0,,,"lo-fi, lo-fi beats",Person,,,715fa7e9-648b-46fb-b033-4ffa88e5e5e2,,,29.0,https://i.scdn.co/image/ab6761610000e5eb9f81c72784d5ed1eceda4397
Şevket Uğurluer,Şevket Uğurluer,7C5cT8zxEAVpHrZKivqoYA,2277.0,Turkish Rock,,anatolian rock,Person,,,77291244-0c0c-455c-8247-08e826fac49f,,,15.0,https://i.scdn.co/image/ab67616d0000b2733d0fd8ecaeb55380bd22465f
Bora Ebeoğlu,Bora Ebeoğlu,4rcPOlEOn1KxK6WpaluAKI,2267.0,,,,Person,erkek,Ankara,8f33834a-0c3d-4808-a381-429570d80a84,Q116963123,,36.0,https://i.scdn.co/image/ab67616d0000b273810ec3621e4512240b910c0a
Muhsin Kara,Muhsin Kara,5aWBtQlysLNKGfZabYreRU,2266.0,Turkish Sanat & Klasik,ilahiler,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb3f2b692a42063e1212251a4f
Nazlı,Nazlı,2zQ6NhAmFt0igjY5gNbAhP,2264.0,Turkish Pop,deep turkish pop,turkish pop,,,,,,,,https://i.scdn.co/image/ab67616d0000b2734b98ed095520851649efd7b6
Celal Güzelses,Celal Güzelses,4rmOpU5E3KSYz33fUDtADG,2261.0,Turkish Folk,,traditional music,Person,,,89724edb-93a0-4722-b338-07aa95503af2,,,5.0,https://i.scdn.co/image/ab67616d0000b2739475f2c686d993dc54f3ece2
Bravetone,Bravetone,6HLUmL9wto0WP9G8wIoZD7,2260.0,Turkish Electronic,turkish edm,"g-house, bass house, turkish pop, tech house",,,,,,,,https://i.scdn.co/image/ab6761610000e5eb90acc6a207b2d6f5a344c091
Çağlayan Topaloğlu,Çağlayan Topaloğlu,2g9CKCkrR65Dji8JbyQ6Mi,2255.0,Turkish Pop,deep turkish pop,turkish pop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab67616d0000b2731bee96ce6a6366dca9caa74d
İnfaz,İnfaz,6hxqKy3PjfooPztPRbblK8,2253.0,Turkish Hip Hop & Trap,,turkish hip hop,Bilinmiyor,,,71792327-931f-41d4-9967-496f8c376115,,,24.0,https://i.scdn.co/image/ab6761610000e5eb39c32a391170569c3740623a
Celâl İnce,Celal İnce,6iYEpOX1rs6ZhJQ7vstI4M,2251.0,Turkish Jazz & Instrumental,,tango,,erkek,,,Q137505922,,9.0,https://i.scdn.co/image/ab67616d0000b273b867c45491b005a134d633f8
Nesrin Ulusu,Nesrin Ulusu,7EnqctJSw8IXQnCSEexhMA,2244.0,Turkish Sanat & Klasik,,arabesk,,kadın,Hamburg,,Q1978254,,8.0,https://i.scdn.co/image/ab6761610000e5eb96617647f53d12cf16e49219
Hilmi Yerekaban,Hilmi Yerekaban,0lMrOCNpZvSn5kHzSOHSyV,2238.0,Turkish Pop,karadeniz pop,karadeniz folk,,,,,,,,https://i.scdn.co/image/ab67616d0000b273a31dcf36c3c0161b0647a297
Çoban Ali,,7C4m0nZnwf0Ab9ml4aRxPl,2237.0,Turkish Sanat & Klasik,,arabesk,,erkek,Hasankeyf,,Q118373681,,14.0,https://i.scdn.co/image/ab67616d0000b273e2c1bd014b8eda367d16a0de
Devrim Kaya,Devrim Kaya,41RfmZt8Y1owcVDuf7q1Xw,2222.0,Turkish Folk,bozlak,,solo,,Elazığ,,,,,https://i.scdn.co/image/ab67616d0000b2730bdff95f6adfd5b93a2b84cc
Kaplan,Kaplan,5NpMXRQGV9IpcGfuT8n5qt,2221.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb61ec42cce14369a050bdda88
Nickobella,Nickobella,4Bhe7FjSfLHTbUPIm5EnQt,2220.0,Turkish Electronic,turkish edm,"tropical house, turkish pop",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebad4618b12925d6ad07cd682d
Görkem Han,Görkem Han,1haerjQrXt1TOPo0hwTniU,2217.0,Turkish Electronic,turkish electronic,,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebb400acf36e48227a52204a86
Bağlama Takımı,Bağlama Takımı,50OzuvjbrG6IsoXY9YvhKg,2213.0,Turkish Folk,baglama,arabesk,,,,,,,,https://i.scdn.co/image/ab67616d0000b273ba51934564031f462be15080
Bulut Gülen,Bulut Gülen,5JyBBYYX9dTs6rC4cut6aC,2208.0,Turkish Jazz & Instrumental,turkish modern jazz,,solo,,Eskişehir,,,,,https://i.scdn.co/image/ab6761610000e5eb3493a572d057a4cb6daef5df
Semra Ersoylu,Semra Ersoylu,5y8G4N5P0QgXVyJaaBJuoO,2207.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,,,,,,,,https://i.scdn.co/image/ab67616d0000b2737a6ca91a36c6f12556431c4d
Dila,Dila,7o6V37GBcf9VnlvYW4scpL,2206.0,Turkish Pop,deep turkish pop,turkish pop,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebdc973625ade5039fa9085fc3
Netameli,Netameli,2kVslKjb2t7yV5NxNnI7yh,2201.0,Turkish Hip Hop & Trap,,turkish hip hop,Person,,,fdab7aca-4ab7-4a37-b323-98e3d349a65d,,,12.0,https://i.scdn.co/image/ab6761610000e5eb7ce1c8301b3dcc441e061ad6
Mali Green,Mali Green,3E7p63bZatO9VnLcaCKUvB,2201.0,Turkish Pop,turkish trap pop,turkish hip hop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb4f218314c5c3124d4ce872da
Mert İçgören,Mert Icgoren,6GbJBrAL2qJa8zKc8XFo6t,2197.0,Turkish Hip Hop & Trap,,turkish hip hop,,erkek,Mersin,,Q6075374,rap,5.0,https://i.scdn.co/image/ab6761610000e5ebbd4b0a25cb5fe100ee053f5a
Erdem Şimşek,Erdem Şimşek,28sCSkXTBAbT2TUHUPgXw4,2197.0,,,,,erkek,Ankara,,Q121693605,,9.0,https://i.scdn.co/image/ab6761610000e5ebf4f98554237fef44e62c727d
Cem Özel,Cem Özel,1gFJVW5JW89ULpPYOHOYI2,2196.0,Turkish Rock,,anatolian rock,Person,,,55bb1c34-1b71-4e71-9db4-2dd1b673430e,,,9.0,https://i.scdn.co/image/ab6761610000e5eb720f6a0fc43233932f405091
Meteor,Meteor,0FPE4CVRqciLRHr2LyMziq,2195.0,Turkish Rock,turkish psych,anatolian rock,,,,,,,,https://i.scdn.co/image/ab67616d0000b2732d0879c36f0fb20a67189e08
İsmail Biçer,İsmail Biçer,3U58ftO8Nn7XzDRNmBahV9,2191.0,Turkish Sanat & Klasik,ilahiler,arabesk,,,,,,,,https://i.scdn.co/image/ab67616d0000b273be11b3c32f7751e036a86e4d
merhababensokak,merhababensokak,3G9IfSbpM10wK68aNR9k4Y,2187.0,Turkish Rock,turkish alternative rock,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb6237a6105cf9c8a4158e9864
Ninni Bebek,Ninni Bebek,17yMeUfQrGYdG5zCBU3qG7,2182.0,Tematik & Ozel,cocuk sarkilari,,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebb886e254b894041a52ce9507
Volkan Sönmez,Volkan Sönmez,7ENZlf88NQKu5rbinEfWtp,2177.0,Turkish Jazz & Instrumental,turkish instrumental,karadeniz folk,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb099f80de33befa989572d6d4
Ceyhun Çelikten,Ceyhun Çelikten,00Cjagp6pAVNHfzbPYzzki,2173.0,Turkish Sanat & Klasik,,sufi,Person,,,1ed6c08e-9d5b-4e5c-a0a4-41acb3445000,,,26.0,https://i.scdn.co/image/ab67616d0000b27342e30b91a659b2921e986b4b
D-100,D-100,7FOlEYXpFFav9fVStqjPt1,2173.0,Turkish Rock,,anatolian rock,Group,,,8049e175-5237-4503-9a2d-9f146c4105a3,,,4.0,https://i.scdn.co/image/ab67616d0000b273f9a9ab6730bf387cb013e64a
Gulyabani,Gulyabani,4Dk2zVOvCz3hMxMLtdkwh7,2168.0,Turkish Hip Hop & Trap,turkce trap metal,"trap metal, drift phonk, phonk, turkish hip hop",solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb61ee4d8f0f37b625b4c4a758
Meshum,Meshum,0vIJQ3vmGKTHV6xF4CCoxV,2167.0,Turkish Metal & Hardcore,turkish death metal,"death metal, grindcore",solo,,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb6cc49fe1fcf82680e48be03c
İklim Tamkan,,6g06pRjiV1UyYEGwPYGQVK,2167.0,,,,,kadın,,,Q110717172,klasik müzik,20.0,https://i.scdn.co/image/ab6761610000e5eb40e49557bd5a5e027f45f5f6
Ünol Büyükgönenç,Ünol Büyükgönenç,422XRyh8cTAry2xsyCMlWA,2163.0,Turkish Rock,turkish psych,anatolian rock,solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab67616d0000b2738771c92457be773754e39c1b
Magilum,Magilum,2gHG5FYzQqEI2VCi18sqkX,2155.0,Turkish Metal & Hardcore,turkish metal,anatolian rock,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab67616d0000b273be975f89b896844fe6b329d7
Sarp Apak,Sarp Apak,6pyRonaUv19Q4SxGtLTMBC,2150.0,Turkish Rock,,anatolian rock,Person,,,1298c625-c321-4201-9136-97d6acab17f2,,,22.0,https://i.scdn.co/image/ab67616d0000b273a6d1058587d65918c8685f9a
Berkay Duman,Berkay Duman,797U4xKy4p5Vi8vpWzJRD6,2149.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,solo,,Muğla,,,,,https://i.scdn.co/image/ab6761610000e5eb5bd185683bc4726e4a605edf
Ferjo De Gery,Ferjo De Gery,2cpzqDC5Jb4OcwrzUgPvFb,2148.0,Turkish Electronic,turkish deep house,deep house,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb0321d46288f9a5cb45f31aba
Gurban Abbasli,,5bUbw0JqcEcsfRM0wnUcnz,2147.0,,,,,erkek,Şeki,,Q124153313,elektronik müzik,31.0,https://i.scdn.co/image/ab6761610000e5ebfc54e23d365d64b061b7090c
ECE,ECE,0nMCmScK8J68dhRiO9TgYv,2142.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb9c6d08953bec2da0546e40d1
Hülya Bozkaya,Hülya Bozkaya,3lGwKmATmqDbJmdXVKHO50,2142.0,Turkish Sanat & Klasik,,"arabesk, oyun havası",Person,,,b8527256-155c-4653-a072-774b92e88060,,,8.0,https://i.scdn.co/image/ab67616d0000b27364f95d6666af4ff30257e522
ali güleç,ali güleç,5E7E96Zq2vMVAqV2fingxL,2139.0,Turkish Rock,turkish punk,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb7689ecf48cc51e3b1dba6e32
İbrahim Gülpınar,İbrahim Gülpınar,2pICNcpHkqXsqIu6Jg8ZSH,2138.0,Turkish Folk,karadeniz turkuleri,karadeniz folk,,,,,,,,https://i.scdn.co/image/ab67616d0000b273d2ea2a6766173363828a0825
Ulku Aybala Sunat,Ulku Aybala Sunat,7qTxCkyp3XEVNkxPiTsM8H,2136.0,Turkish Rock,turkish singer-songwriter,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb8542fed36365b8e1eca3794f
Urfalı Babi,Urfalı Babi,2O5KqSe1rv8Ekl7qHKcCUz,2134.0,Turkish Rock,turkish psych,anatolian rock,,,,,,,,https://i.scdn.co/image/ab67616d0000b27306aa1e5f93aed806f4821b58
Murat Gözgü,Murat Gözgü,3uTLQ9WkTu8atnKfYsmjHd,2132.0,,,,Person,,,a736f1f5-9c20-4979-8dd5-f18ee96502a8,,,8.0,https://i.scdn.co/image/ab6761610000e5ebffb74e83d67c8563568f7e8c
Kool Jane,Kool Jane,2yZne9YF6l3lsnyU3tmj8V,2127.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb907f0fcdbd3ad44bd98dc46b
Alaca,Alaca,67MoCLjdlVakijtIPLmkfB,2123.0,Turkish Rock,turkish alt pop,turkish pop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebf304b3e52faf792cac1c474f
Selçuk Yöntem,Selçuk Yöntem,0QMIQRnOxbm29ZxUoTVBA6,2120.0,,,,Person,,,791c8695-a7df-48d9-9316-660f33e23a7d,,,10.0,https://i.scdn.co/image/ab67616d0000b2735209153156f31f9972d22fd1
Mert Duran,Mert Duran,6X43GJxHtPLmgVUBFZb3af,2119.0,Turkish Electronic,turkish edm,"g-house, slap house",solo,,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb4cc18cb164bafb3d95f8a26c
Nezih Ünen,Nezih Ünen,6tlwCFmdgKmVWdd3APJ7vI,2117.0,Turkish Pop,,turkish pop,Person,,,0e1135ed-0598-4fcb-beb9-80c5c20664ff,,,24.0,https://i.scdn.co/image/ab6761610000e5ebe3fbdec1e2383d7893711ce7
Beyazıt Öztürk,Beyazıt Öztürk,5ibU0A1KS0tf0EMiiJY3h3,2116.0,Turkish Pop,,"turkish pop, oyun havası",Person,,,47cf1bd8-8498-4c88-9abf-2f72ebbb6a3f,,,27.0,https://i.scdn.co/image/ab67616d0000b2737b7f43be650f93b8f56e06ba
Elif Doğan,Elif Doğan,2U1KJtw2jxZM1glDvDgGcl,2116.0,Turkish Pop,,turkish pop,Person,kadın,İstanbul,7bb2807a-2291-4aec-804e-9c04be6f7cdc,Q85970016,,38.0,https://i.scdn.co/image/ab6761610000e5eb6d079355cac44ebce736f2d4
Khepra,Khepra,4SngpfMMnWWIk85Rn9v2aL,2113.0,,oriental metal,"folk metal, symphonic metal, melodic death metal",grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb2440f1603e10f3908b3e81c0
Bilal Göregen,Bilal Göregen,0RjK65yp0FuCiHL2gJoAit,2111.0,,,,Person,,,74772503-a5af-4b91-a885-57b4a13acc13,,,20.0,https://i.scdn.co/image/ab6761610000e5eb2fb16456ed1f23d865e3e080
OLMAZ,OLMAZ,7whhsztvQv2VHwwsnth1y8,2109.0,Turkish Pop,huzunlu sarkilar,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb28130a2d5fcef03c26953af3
Hasan Yükselir,Hasan Yükselir,5xQm9iCaxCMhrC6GXbrG58,2107.0,,,,,erkek,Ördekdede,,Q18559666,,21.0,https://i.scdn.co/image/ab67616d0000b273c3f86798d42277af0fd46ea6
Cashflow,Cashflow,2Crbpgf26Q9ghKsXRaWrE6,2107.0,Turkish Hip Hop & Trap,turkish hip hop,,,,,,,,,https://i.scdn.co/image/ab67616d0000b2739d0a8b497b09ee7e9ef1df7f
Ondaon,Ondaon,4lnMLmWc3NLXO8RGd5Mx1v,2106.0,Turkish Hip Hop & Trap,,turkish hip hop,Group,,,20ecf6d4-10bc-4c05-a420-18d3741ea9d6,,,0.0,https://i.scdn.co/image/ab67616d0000b27357ff8be28224e311a40675b5
Şebnem Keskin,Şebnem Keskin,2Zg3ajodd9KwWsqBRdUU5G,2099.0,Turkish Pop,,turkish pop,Person,,,ae363c5e-df07-4817-a145-8f8ba8750a0e,,,17.0,https://i.scdn.co/image/ab6761610000e5eb5ec159ba443b496d460b9f4f
Gaddar,Gaddar,2DSqEm0lW4M7kO9koL7NMq,2096.0,Turkish Metal & Hardcore,turkish metal,,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb0bacdd543678b93617e098ca
Mustafa Kemal Atatürk,Mustafa Kemal Atatürk,6WPok7kngIIQDDcvYhTrnI,2094.0,,,,Person,,,86eae395-572b-4d81-84b7-4aaa957b206e,,,8.0,https://i.scdn.co/image/ab67616d0000b2732bc755e9b6ff878c00637613
Murat Sakaryalı,Murat Sakaryalı,0YLkAyssa5ZqiIWeNJisrD,2093.0,Turkish Jazz & Instrumental,turkish instrumental,,,,,,,,,https://i.scdn.co/image/ab67616d0000b273c155f3cbbc9a5e51adb24412
Zai,Zai,5URawBcnmJ9FkTqN44r5Hs,2090.0,Turkish Pop,turkish trap pop,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb4b403182708dca31a2f11c75
Berk Gürman,,4en0Ayb2PyA0yOzoSyQLJR,2081.0,Turkish Pop,,"turkish pop, oyun havası, flamenco",Person,erkek,İstanbul,7a84d0f5-6608-41c6-b05a-c47e193e4e15,Q97236879,,32.0,https://i.scdn.co/image/ab6761610000e5eb1a42ebfdb8fc13507af971d5
Gülcan Opel,Gülcan Opel,73FZxWgGK4cWAxHE0A0imJ,2081.0,Turkish Rock,turkish psych,"anatolian rock, arabesk",,,,,,,,https://i.scdn.co/image/ab67616d0000b27357398e83e1d31a466e873232
Basel Rajoub,Basel Rajoub,68rxFd814z29ByrpJtXcNp,2079.0,Turkish Jazz & Instrumental,turkish instrumental,experimental jazz,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb6de8214e45dfd3489855cbaf
Salih Bilgin,Salih Bilgin,7CMATW5ajHZY1jixAMb4VW,2073.0,Turkish Sanat & Klasik,ney,sufi,,,,,,,,https://i.scdn.co/image/ab67616d0000b2739b4558541aa51e5304803035
