isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir,MusicBrainz_ID,wikidata_id,muzik_turu (Wikidata),Popularity,foto_url
Sibel Egemen,Sibel Egemen,004o28Efomj1XPNvbAcwIX,21289.0,Turkish Pop,classic turkish pop,"anatolian rock, turkish pop",solo,,Ankara,,,,,https://i.scdn.co/image/ab67616d0000b2739f03784131a5e02f3931aab9
Ceren Cennet,Ceren Cennet,7prhTIqvERcX205ndXUTxx,21270.0,Turkish Pop,turkce remix,turkish pop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb7a46fe258b354dca2fdc91f2
Dest,Dest,1LHPVpHC47y3smBcWT925y,21203.0,Turkish Pop,turkish trap pop,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb9af3210f1a757722facebdc9
Hünkar Göksu,Hünkar Göksu,6cCJrO94gspaPncQR8DXwe,21193.0,Turkish Pop,turkish trap pop,turkish pop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb83c2d4c5285905207acf1163
Ugur Arslan,Ugur Arslan,6hYwnbYkyDgxo5dDL3nKxr,21180.0,Turkish Sanat & Klasik,arabesk,arabesk,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebc051551a9a912d76f6bc526e
Dengesiz Herifler,Dengesiz Herifler,5wR7ZD67JNA7TYsiycE32o,21111.0,Turkish Rock,turkish alternative rock,punk,grup,grup,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5ebdfc8f1d410a16b9f3a5bd4fd
Nefes,Nefes,18TsQGcHrZIBiFbhhxmPUH,21073.0,,,,Group,,,3a7ddd29-a571-45fe-b966-0e730b5d8cc3,,,21.0,https://i.scdn.co/image/ab6761610000e5ebf8ed7283e3f9141cbf76e778
Erkut Taçkın,Erkut Taçkın,4GJuQAAePQH9qyr9Bj0Xv3,21030.0,Turkish Rock,turkish psych,anatolian rock,solo,erkek,İstanbul,,,,,https://i.scdn.co/image/ab67616d0000b2736a1e088bf05f348008b9e306
Erkan Ocaklı,Erkan Ocaklı,7wy20ALddJtb2LU8POiARI,21027.0,Turkish Pop,karadeniz pop,"oyun havasi, karadeniz folk",solo,,Trabzon,,,,,https://i.scdn.co/image/ab67616d0000b273f7c974fb3b5c9e009e619475
Dogus Cabakcor,Dogus Cabakcor,2Y7fKAw6qx4hES4vuaPijc,21010.0,Turkish Electronic,turkish edm,turkish pop,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5ebf071fd9c2d485ef531d34ebf
Bilge Nihan,Bilge Nihan,6zNQTrKQrzfHgPGVvtasBp,20991.0,Turkish Pop,turkish pop,turkish pop,,,,,,,,https://i.scdn.co/image/ab6761610000e5ebdd9fa7bf869673222b2e7287
Dr. Skull,Dr. Skull,5Q3rwfTFs77PxIEXOJVMIt,20967.0,Turkish Metal & Hardcore,turkish metal,anatolian rock,grup,grup,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5ebd93257f6cc6ad8775225d66d
Birol Namoğlu,,3IzmGNYeQnx285Npwt1Zvh,20950.0,Turkish Pop,,turkish pop,,erkek,,,Q6054004,,45.0,https://i.scdn.co/image/ab6761610000e5eb67b614f0ca96b7db128a843d
Alba,Alba,3gT9Z8pVuqk2Rvl52J5W71,20903.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb0345a085395e19e25e202089
Ankaralı Yasemin,Ankaralı Yasemin,7LV6zJEDmlEDBdCWtY0NGn,20829.0,Turkish Sanat & Klasik,arabesk,"oyun havasi, arabesk",solo,kadın,Çankaya,,,,,https://i.scdn.co/image/ab67616d0000b273adc24917fb984e745afe38e0
Fahir Atakoğlu,Fahir Atakoğlu,6Mj20Zm7PRpGzoNN453mSq,20808.0,Turkish Jazz & Instrumental,turkish soundtrack,,solo,,İstanbul,,,,,https://i.scdn.co/image/ab6761610000e5eb0863ca815f26b7a8b73f533d
Rotînda,,4FhMuQehl0ydCb8fNQUlgT,20762.0,,,,,erkek,Varto,,Q7041243,,36.0,https://i.scdn.co/image/ab67616d0000b273d2d1fe6ba33881b9b25195c6
Süper Çocuk Şarkıları,Süper Çocuk Şarkıları,0qD6xMmvr735DtRIaQkmBD,20719.0,Tematik & Ozel,cocuk sarkilari,children’s music,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb158ae6ad96032cc42aee536c
Bizim Gönül,Bizim Gönül,0KSreug7UdtTWnRNjtc6DC,20680.0,Turkish Pop,karadeniz pop,"karadeniz folk, arabesk",,,,,,,,https://i.scdn.co/image/ab6761610000e5eb8191b0259718e02e1c92f92e
Dilber Ay,Dilber Ay,04n4ggzUiefCzIvWO1wXmc,20668.0,Turkish Sanat & Klasik,,"arabesk, oyun havası",Person,kadın,Kahramanmaraş,33389df6-f822-4165-8fbb-873d4e869e04,Q12809219,arabesk müzik,31.0,https://i.scdn.co/image/ab67616d0000b273c29dc38e3248f4fb3ea1eda0
Melih Aydogan,Melih Aydogan,5697sWl951kKEnsCXGZarM,20659.0,Turkish Electronic,turkish deep house,deep house,,,,,,,,https://i.scdn.co/image/ab6761610000e5eb38a34bbd9a2742cc0bd25875
Serdar Somuncu,,56fPDCRvaFX13NdUDmYKX1,20650.0,,,comedy,,erkek,İstanbul,,Q1349501,,39.0,https://i.scdn.co/image/53163b66afb1ef0d24956fc19c76309fac793672
Baha,Baha,2vB0YxchGzK7GpfMp4JX3w,20612.0,Turkish Sanat & Klasik,,"arabesk, turkish pop",Person,erkek,,68e016d5-8fbb-4a59-8c22-39e19315754e,Q6089905,pop müzik,31.0,https://i.scdn.co/image/ab6761610000e5ebbd3957b0efb05b3a052eafa1
Ara Dinkjian,Ara Dinkjian,1yu2nsRarrGq79v5gNCX6X,20598.0,Turkish Sanat & Klasik,oud,"sufi, traditional music",,,,,,,,https://i.scdn.co/image/ab67616d0000b273014268b14974e04d611347a9
Yudum,Yudum,4ULqAWicJ43wWH7rawCcwq,20519.0,Turkish Folk,turkish folk,"karadeniz folk, arabesk, oyun havasi",,,,,,,,https://i.scdn.co/image/ab67616d0000b273f68eb5b8c5fb76d91fbafbde
Caner Gülsüm,Caner Gülsüm,1SaE56yp1v7ayBnAWtmlvc,20440.0,Turkish Folk,turkish folk,"arabesk, oyun havasi",solo,,Ankara,,,,,https://i.scdn.co/image/ab6761610000e5eb26f4d88518050e3c758fa65e
Whisky,Whisky,0MsIW3TOudzdnzlxQSp5kW,20350.0,Turkish Rock,turkish alternative,anatolian rock,grup,grup,İstanbul,,,,,https://i.scdn.co/image/ab67616d0000b27343ca4f144f816b07b52ee68d
Neşet Abalıoğlu,Neşet Abalıoğlu,1T7kNb1ZEIy55ZfXSkAL1T,20302.0,Turkish Folk,bozlak,"oyun havasi, arabesk",solo,,Kırklareli,,,,,https://i.scdn.co/image/ab67616d0000b27317670a8cf6e3bcb84f908bfc
