isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir
Ressira,Ressira,6KfWfG7GXzrfOw6twW1zy4,4591.0,Turkish Hip Hop & Trap,turkce kadin rap,turkish hip hop,,,
Makbule Kaya,Makbule Kaya,6PWst2ovpvuXdnx9K7dOMf,4588.0,Turkish Folk,turkish folk,oyun havasi,,,
Murat Aydemir,Murat Aydemir,47nQG3rv5MxcP21Ndvo4Qv,4575.0,Turkish Sanat & Klasik,turkish classical,"sufi, traditional music",solo,,Amsterdam
Çiğdem Aslan,Çiğdem Aslan,2ep0fjJI73ZrRbJ5x5eaNV,4572.0,Turkish Jazz & Instrumental,turkish jazz,,solo,,London
Turgay Merih,Turgay Merih,19oR1jV3U9Gq949It7i6j9,4532.0,Turkish Pop,classic turkish pop,"anatolian rock, turkish pop",,,
Banu,Banu,24HnNEPKJ1hoTVYQ74toHl,4522.0,,cocuk masallari,turkish pop,,,
Emirhan Kartal,Emirhan Kartal,3UXMa767n2l41aKQ5MTCpx,4509.0,Turkish Folk,bozlak,arabesk,solo,,İstanbul
Neval,Neval,3xsWhJ3BXOnSewlzawH8RU,4508.0,Turkish Electronic,turkish deep house,organic house,,,
Süleyman Erguner,Süleyman Erguner,0HpFsCxk1wv6CuW1Buql19,4504.0,,mevlevi sufi,"sufi, traditional folk, traditional music",solo,,İstanbul
Ali Meydanioğlu,Ali Meydanioğlu,4fBIAPckfneje8qmOasnVf,4503.0,Turkish Rock,turkish singer-songwriter,,,,
Frozen Clouds,Frozen Clouds,0M3LK8CPC8luVRntRVHwAp,4499.0,Turkish Rock,turkish punk,,grup,grup,Ankara
Mehmet Tak,Mehmet Tak,6NxPAdNjkxynEAFiJD1wKn,4494.0,Turkish Folk,karadeniz turkuleri,"karadeniz folk, oyun havasi",,,
Fatih Erdemci,Fatih Erdemci,1OhpnvMZLbqa46ZCNdMmwr,4492.0,Turkish Rock,turkish rock,turkish pop,solo,,İstanbul
Al'york,Al'york,6ccuxnLDexwjjnCZbrdGtD,4485.0,,instrumental stoner rock,,grup,grup,Ankara
Orhan Osman,Orhan Osman,4fz6aWhJ47l2O7Efe2V050,4476.0,Turkish Jazz & Instrumental,turkish instrumental,,solo,,İstanbul
Hilal Cebeci,Hilal Cebeci,7f3FQWkSs30NIllJtHWvut,4476.0,Turkish Pop,deep turkish pop,turkish pop,solo,,İstanbul
Melisa Karakurt,Melisa Karakurt,73DiISVOqWg54BVFHLiCPH,4447.0,Turkish Rock,turkish alt pop,,solo,,
Taha,Taha,4s9Zcg1TUbrX8NcKIzhi5I,4430.0,Turkish Sanat & Klasik,ilahiler,,,,
Murat Karaytu,Murat Karaytu,46opCJVbShTBnMwconyFXp,4423.0,Turkish Pop,turkce remix,turkish pop,,,
Derdiyoklar İkilisi,Derdiyoklar İkilisi,4Z7tFrFLO28HYlLFHqgOcb,4423.0,Turkish Rock,turkish psych,anatolian rock,,,
Can Bora Tanzer,Can Bora Tanzer,3uooGVPWlExjfkwZrevGy7,4420.0,Turkish Rock,turkish post-punk,,,,
İçyüz,İçyüz,5fTYzUG1RRE28hzxfEIiYd,4411.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Şeref Kara,Şeref Kara,2ys5qeWIPHjFnJKhWoKweE,4404.0,Turkish Folk,karadeniz turkuleri,karadeniz folk,,,
Mavi Huydur Bende,Mavi Huydur Bende,6YKosyBfvwFSuNMXlG0I7G,4404.0,Turkish Pop,turkce slow sarkilar,,,,
Alaturka Records,Alaturka Records,0n46ivjDXqm6dyf6IXFNpW,4402.0,Turkish Sanat & Klasik,turkish classical,traditional music,,,
Serhan Ilbeyi,Serhan Ilbeyi,0AM5px4Qd7UeFIV1aRv1Il,4385.0,Turkish Folk,bozlak,oyun havasi,,,
Mesut Cemil,Mesut Cemil,659kzv9N9HbBURud5YWQ6p,4380.0,Turkish Sanat & Klasik,turkish classical,,solo,,İstanbul
Kürşat Başar,Kürşat Başar,1bVq1mOYwoYLcw7xfAQvmM,4369.0,Turkish Jazz & Instrumental,turkish modern jazz,turkish pop,,,
Volkan Öktem,Volkan Öktem,2CKKVhnXg0a9sw0DOXmwLK,4366.0,Turkish Jazz & Instrumental,turkish modern jazz,jazz fusion,solo,,İzmir
Mey ile Pom,Mey ile Pom,2yNzWbi3r2Bxl5ElmLV2SP,4363.0,Tematik & Ozel,cocuk sarkilari,children’s music,,,
Aysun Kocatepe,Aysun Kocatepe,0Cb3uqOFDYFbVVtnEF1fKF,4356.0,Turkish Pop,classic turkish pop,turkish pop,,,
REMAX,REMAX,6b0xVLZ1CnMq8rycJkjZ12,4356.0,Turkish Pop,turkce remix,,,,
Hakan Acoglu,Hakan Acoglu,2LSJh4cAGzSCdjVhIFziGz,4351.0,Turkish Hip Hop & Trap,turkce drill,,,,
DENİZ YILMAZ,DENİZ YILMAZ,3Jb9zJjgAhpOYrqdHmP08n,4340.0,Turkish Rock,turkish alternative,anatolian rock,,,
Olası,Olası,5Y5nsOXhMaTdm9VYTmuyth,4339.0,Turkish Rock,turkish alternative rock,,,,
Ümit Tokcan,Ümit Tokcan,2XhDm9940pqnOO6KJtP2iD,4329.0,Turkish Folk,turkish folk,"karadeniz folk, anatolian rock",solo,,Ordu
Katip Şadi,Katip Şadi,5YzBRtuFiHaGmr6kW4WUiv,4326.0,Turkish Folk,karadeniz turkuleri,karadeniz folk,,,
Piyanist Memiş,Piyanist Memiş,4CjHUyfeAI2htieqGtMyJ4,4308.0,Turkish Folk,oyun havasi,oyun havasi,,,
Saints 'N' Sinners,Saints 'N' Sinners,70m9IOASAnva8AF14pDIF9,4303.0,Turkish Metal & Hardcore,turkish metal,power metal,grup,grup,Istanbul
Ben Büdü,Ben Büdü,5uWSTChLUg0pNhLuAA13H3,4298.0,Diger,turkish reggae,turkish hip hop,solo,,Alexandroupoli
Abidin,Abidin,1LO6YpVD6NvxRxLfQvX0Oy,4294.0,Turkish Pop,deep turkish pop,turkish pop,solo,,Mardin
Arda Bal,Arda Bal,6MKQtUun7b7cA40crs3if6,4282.0,Turkish Pop,turkce slow sarkilar,,,,
Hüseyin Aydın,Hüseyin Aydın,22i4ZSnTcrwG33Vd1x8s3b,4281.0,Turkish Folk,karadeniz turkuleri,"karadeniz folk, arabesk",,,
Efe Demiral,Efe Demiral,5QfvebVFyYmxrPhgzodhaZ,4279.0,Turkish Jazz & Instrumental,turkish modern jazz,,,,
In Hoodies,In Hoodies,59De6nw0BEkq2VlJheVHmv,4279.0,Turkish Rock,turkish alternative rock,turkish hip hop,solo,,Bursa
Ayshe,Ayshe,6881xqdqrg0cmIk32nbil3,4277.0,Turkish Pop,deep turkish pop,turkish pop,solo,,
Soner Akalın,Soner Akalın,2hAAbtwTIck3hAg28d4jMJ,4275.0,Turkish Jazz & Instrumental,turkish soundtrack,,,,
Eyüp Hamiş,Eyüp Hamiş,1uN3uIFGNDXBWdJQ9aslzZ,4270.0,,ney,sufi,,,
Kemani Tatyos Efendi,Kemani Tatyos Efendi,5zC5D5MnFku3ZxgVKFLTsA,4263.0,Turkish Sanat & Klasik,turkish classical,sufi,solo,,Ortaköy
Helyos,Helyos,25E8L3eAol3eXAQJ5oYmI8,4261.0,Turkish Hip Hop & Trap,new school turkce rap,,,,
Zaman,Zaman,4NzRUpsWOXv82mj7jKtBwE,4245.0,Turkish Rock,turkish punk,punk,solo,,İstanbul
