isim,Spotify_Isim,Spotify_ID,Takipci,Genre,EveryNoise_Tur,Spotify_Tur,tip,cinsiyet,sehir
Arem Ozguc,Arem Ozguc,5JJc8is4VzgOz8ZanDj18J,85141.0,Turkish Electronic,turkish edm,"turkish pop, turkish hip hop",,,
Gökçe Kılınçer,Gökçe Kılınçer,1XDrTgMm3OOlIPOfyxm4xM,84863.0,Turkish Rock,turkish alternative,"turkish pop, anatolian rock",solo,,London
Ferda Anıl Yarkın,Ferda Anıl Yarkın,6JW5Xd0t6NrsAGHoX2dgep,84790.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,,Çanakkale
Fuat Saka,Fuat Saka,2nV0oHTtgkrV8rjV82IXei,84667.0,Turkish Pop,karadeniz pop,"karadeniz folk, oyun havasi, anatolian rock",solo,,Trabzon
Grup Çığ,Grup Çığ,44a0mX4rsBktvNqCCeXB0T,84093.0,Turkish Folk,turkish folk,"oyun havasi, karadeniz folk, arabesk",,,
SWIRF,SWIRF,1PDcVWGthnDkYv57hoQSpG,84036.0,Turkish Hip Hop & Trap,new school turkce rap,"turkish hip hop, trap metal",,,
Hasibe,Hasibe,1xyNnZuKZlrJqxFRg43JyV,83140.0,Turkish Pop,turkish trap pop,turkish pop,,,
mavisakal,mavisakal,7jdDY1STf0v9hTldYOqGJV,83073.0,Turkish Rock,turkish alternative,anatolian rock,grup,grup,Tarsus
DJ Kantik,DJ Kantik,3ojxLRDFTdWKXQDBewrCr4,83048.0,Turkish Electronic,turkish edm,,,,
Multitap,Multitap,1lewMbg4IoeBW024BuTviN,82408.0,Turkish Rock,turkish rock,,grup,grup,İstanbul
Grup Munzur,Grup Munzur,7AiK7GBXYxTimmt545v3Zi,81914.0,,kurdish folk,arabesk,grup,grup,İzmir
Güçlü Soydemir,Güçlü Soydemir,4oC3eR1wciwpIcxHXwcKJl,81839.0,Turkish Sanat & Klasik,arabesk,arabesk,,,
Tüdanya,Tüdanya,6qs7wpBhVfTFqFgfuikOEj,81460.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,,Bergama
Eskitilmiş Yaz,Eskitilmiş Yaz,5jqUKWt4bZ92tx05YkDyou,81264.0,Turkish Rock,turkish alternative rock,,,,
Burry Soprano,Burry Soprano,5SpHQasdZkIx2RFJzvBBsD,80823.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, turkish pop",solo,,İstanbul
ATE,ATE,1gta8KxWev006kmzUCM0a5,80434.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",,,
Decrat,Decrat,5ouX1Qz844h25lu0aXUaw5,80403.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Vera,Vera,6FuP3iXROMCITNRbUJIRC3,80227.0,Turkish Rock,turkish rock,,,,
İsmail Türüt,İsmail Türüt,33mgPnVArm0A5xFZjbWF1h,80032.0,Turkish Pop,karadeniz pop,"karadeniz folk, oyun havasi",solo,,Ambarlık
Seden Gürel,Seden Gürel,5vylnY1bnqGSWu1QPL4SRM,79973.0,Turkish Pop,turkish pop,turkish pop,solo,kadın,Ankara
Abdurrahman Önül,Abdurrahman Önül,4wfR2P1uLr5g3hgvcwkcjt,79966.0,Turkish Sanat & Klasik,ilahiler,,solo,,Bayburt
Özcan Türe,Özcan Türe,4sjE5EHWoYQsYKVxtBAVsE,79230.0,Turkish Folk,turkish folk,arabesk,solo,,İstanbul
Kaç Canım Kalmış,Kaç Canım Kalmış,4XEcREbtD8It6OcaRpsFJJ,78953.0,Turkish Rock,turkish rock,,grup,grup,İstanbul
Yüksel Baltacı,Yüksel Baltacı,5tlE5dBPT5muL6dpPSExWw,78831.0,Turkish Folk,karadeniz turkuleri,karadeniz folk,,,
Efkan Şeşen,Efkan Şeşen,5hG2Ykzwihrr7NA0qiGOOB,78409.0,Turkish Folk,turkish folk,karadeniz folk,,,
Jakuzi,Jakuzi,0xeyL5pfnTtx7LGpqLo4PG,78315.0,Turkish Rock,turkish alternative rock,darkwave,grup,grup,İstanbul
Arzu,Arzu,3Au4jDJrVlVBwBD4Ls4v7z,77922.0,Turkish Folk,turkish folk,"arabesk, oyun havasi, karadeniz folk",solo,,İstanbul
Çağatay Ulusoy,Çağatay Ulusoy,4bzEbwcMO2mGvLJT3Pm8hP,77774.0,Turkish Pop,turkish pop,turkish pop,solo,,İstanbul
Eylem,Eylem,6EggFGuKypIVsW5JRDpeSe,77203.0,Turkish Pop,turkish pop,turkish pop,solo,,İstanbul
Ozan Çolakoğlu,Ozan Çolakoğlu,1ekNbG3tiwZasW1bfHYpSO,76550.0,Turkish Pop,turkish pop,"turkish pop, t-pop",solo,erkek,İstanbul
Can Koç,Can Koç,3O6mcOK5C1hkMfwrSkNPMM,76185.0,Turkish Pop,turkce slow sarkilar,turkish pop,,erkek,İstanbul İstatistiki Bölgesi (TR100)
Ali Ekber Çiçek,Ali Ekber Çiçek,3ow4WG9vAXw8FpFsPUq6bp,75291.0,Turkish Folk,turkish folk,"traditional music, arabesk, karadeniz folk",solo,,Erzincan
Füsun Önal,Füsun Önal,2eyRlGrwDq4JBGGdZ9vjDn,75255.0,Turkish Rock,turkish psych,"anatolian rock, turkish pop",solo,,Kadıköy
Yeis Sensura,Yeis Sensura,08zaslX1yBxta9zqc2yoWJ,74802.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,Antalya
Karamel Makiyato,Karamel Makiyato,60LggfNKSUKvlnZLLKSFSu,74656.0,Turkish Rock,turkish alt pop,,,,
Sukriye Tutkun,Sukriye Tutkun,3yDRVuxUjUO7l4tJirgCJ3,74270.0,Turkish Folk,turkish folk,"arabesk, karadeniz folk",,,
Sibel Alaş,Sibel Alaş,3vwijSZN14SWUqFxg74aYU,74203.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,kadın,İzmit
Ömer Danış,Ömer Danış,0I8ZWFDaNw6PHaBFK8gpau,73515.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi",,,
Tufan Altaş,Tufan Altaş,0UxSX5g1BLYgUV7uwM6GfT,73009.0,Turkish Folk,bozlak,"oyun havasi, arabesk",,,
KÖK$VL,KÖK$VL,5fO16dsHVrojWL2mPzcdpq,73001.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,Samsun
Nejat Alp,Nejat Alp,7zuVdwGGbHPzxuqWs4LKUc,72181.0,Turkish Sanat & Klasik,arabesk,arabesk,,,
Uğur Karakuş,Uğur Karakuş,3ZSy5XETvBGpaP5eU96X09,71927.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi",,,
İlhan Şeşen,İlhan Şeşen,75KT1xL5AnkFyiKGPS67PI,71781.0,Turkish Rock,turkish rock,"turkish pop, arabesk",solo,,Manisa
Hakan Yesilyurt,Hakan Yesilyurt,1ITbYPkgfua4VpVw5K1Zzm,71575.0,Turkish Folk,turkish folk,"arabesk, karadeniz folk",,,
Gönül Yazar,Gönül Yazar,0W9Yg3XLyYxcesMVrAixZo,71450.0,Turkish Sanat & Klasik,turk sanat muzigi,"arabesk, turkish pop",solo,,İzmir
Alper Eğri,Alper Eğri,6Vm1tmhfZEa9INOt0sr4WX,71044.0,Turkish Electronic,turkish edm,turkish pop,,,
Eli Türkoğlu,Eli Türkoğlu,6CpTYTBIwVYGeYdxr8Irgu,70934.0,Turkish Pop,turkish pop,turkish pop,,,
Elleran Elvis,Elleran Elvis,5BUWb4u0cE1FV5e5ML1lW7,70799.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Keremcem,Keremcem,3GfMoNg8qvtTuarY4ILTzm,70720.0,Turkish Pop,turkish pop,turkish pop,solo,erkek,İstanbul
Kaya Giray,Kaya Giray,35REohk9jOvZS11OhYJ6aD,70530.0,Turkish Pop,turkish trap pop,"turkish pop, turkish hip hop",,erkek,Hatay
Mustafa Taş,Mustafa Taş,3NTPcAWlpWNQoAtSIdIzVi,69958.0,Turkish Pop,turkce remix,"oyun havasi, arabesk",,,
Farazi V Kayra,Farazi V Kayra,5ayy4bftuQvE2xTCbCEufB,69425.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,grup,grup,İstanbul
Serkan Nişancı,Serkan Nişancı,5fEL815uzQRkyzW9wOfUTd,68989.0,Turkish Folk,oyun havasi,"oyun havasi, arabesk",,,
Güler Özince,Güler Özince,4KonFbiSZXcrs9ZLe2A1mX,68805.0,Turkish Rock,turkish singer-songwriter,,,kadın,
Osman Öztunç,Osman Öztunç,1lnJ1vcvRsaOe0I1SJ4qoo,68660.0,Tematik & Ozel,ulkucu sarkilar,arabesk,solo,,Tokat
Polemick,Polemick,52OSZDXRviOuXikdQTmZ3t,68140.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, arabesk",,,
Alpay,Alpay,54dXUQ28NmpBHImIXjRsUg,68079.0,Turkish Pop,classic turkish pop,"anatolian rock, turkish pop",solo,erkek,Ankara
Boramess,Boramess,5lFLt7LoBpqQAmwxfGZ6ui,67993.0,Turkish Pop,huzunlu sarkilar,turkish hip hop,,,
Dört X Dört,Dört X Dört,1hw1VLiutfMgbxficYxq65,67499.0,Turkish Rock,turkish alternative,anatolian rock,grup,grup,İstanbul
B4TU INC.,B4TU INC.,0JVl2O7TNYlEc6Lc2jHW3o,67115.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Atilla Kaya,Atilla Kaya,55dxJQtMgnMst1oFt98djw,67052.0,Turkish Sanat & Klasik,arabesk,arabesk,solo,,İstanbul
Tahir Uçar,Tahir Uçar,0s78FQHfWvPlHpqqqNK6Cx,66747.0,Turkish Folk,bozlak,"oyun havasi, arabesk",solo,,Ankara
Metth,Metth,6T5EThaaQrfKqzdQ4eRuHf,66741.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,İzmir
Umut Capone,Umut Capone,6b6UpfFRLIzgID4z8uVh4R,66563.0,Turkish Pop,turkish trap pop,turkish pop,,,
Ahmet Hatipoğlu,Ahmet Hatipoğlu,2sOq4hJZRAybcz8AvKjDK4,66505.0,Turkish Rock,turkish singer-songwriter,turkish pop,,,
Ömer Balık,Ömer Balık,4aZ0gNozHDwTmpGQvjM1Hc,66264.0,Turkish Electronic,turkish deep house,,,,
Zeynep Baksi Karatağ,Zeynep Baksi Karatağ,0JQnINHQ01rwdmLEyE2d3z,66210.0,Turkish Rock,turkish singer-songwriter,"arabesk, turkish pop",,,
Batu Akdeniz,Batu Akdeniz,7lwjjMPB0a7AfbkwcDipfO,66126.0,Turkish Rock,turkish alternative,,solo,,Ankara
Emre Nalbantoğlu,Emre Nalbantoğlu,14TogIxl5TVMe7aa7IaLv1,66117.0,Turkish Rock,turkish alternative,anatolian rock,solo,,Ankara
Yeşim Salkım,Yeşim Salkım,1EazdGiXrpHKzZTsuWK8zw,65350.0,Turkish Pop,turkish pop,"turkish pop, oyun havasi",solo,kadın,Marmaris
Onay Şahin,Onay Şahin,3T4j5fdpdhQhST5dzQjQV7,65108.0,Turkish Pop,karadeniz pop,"karadeniz folk, oyun havasi",,,
Mercan Dede,Mercan Dede,1rwDpyhfCIGcutXf9kmLkY,64849.0,Turkish Electronic,turkish electronic,sufi,solo,erkek,Bursa
Gönül Akkor,Gönül Akkor,5UNzYWTYkESx4sHCbVJRvG,64784.0,Turkish Sanat & Klasik,turk sanat muzigi,"arabesk, anatolian rock, turkish pop",solo,,İstanbul
DEMET ELLOO,DEMET ELLOO,4KscXPzH57nCckPGRKLY6F,64565.0,Turkish Pop,turkish trap pop,"turkish pop, arabesk",,,
Hopex,Hopex,0dE2azLipjakJifWO2xrOO,64480.0,,traprun,edm trap,,,
Tolga Sağ,Tolga Sağ,7DJrgkDtWhnyRndG5YEJB5,64390.0,Turkish Folk,turkish folk,arabesk,,,
Ufuk Çalışkan,Ufuk Çalışkan,71WtMHUVNtv2QWV712cDGF,63983.0,Turkish Pop,turkish pop,turkish pop,,,
90 BPM,90 BPM,7JCJA9JUFT138Nuivyxp9n,63877.0,Diger,turkish reggae,turkish hip hop,grup,grup,İstanbul
emir taha,emir taha,1zofEGCCvRwAdhetK573gb,63787.0,Turkish Pop,turkish trap pop,"turkish hip hop, turkish pop",,,
Agoni,Agoni,2fsEUE3fdeUB0LKuZW40Ju,63619.0,Turkish Pop,huzunlu sarkilar,"turkish hip hop, arabesk",,,
Yiğit Mahzuni,Yiğit Mahzuni,1uu0kdfguMxU8HqSz7LxIK,62950.0,Turkish Pop,turkish trap pop,"arabesk, turkish pop",,,
Lalalar,Lalalar,6CWQ7KWveleaeFagKCz26T,62678.0,Turkish Rock,turkish psych,anatolian rock,grup,grup,İstanbul
Salih Yılmaz,Salih Yılmaz,768UlWHe6yXv4UFAqX56IM,62627.0,Turkish Folk,karadeniz turkuleri,karadeniz folk,,,
Murat Kursun,Murat Kursun,3G3LOZGduYLHzWrnvXZ5Hg,62474.0,Turkish Sanat & Klasik,arabesk,"oyun havasi, arabesk",,,
Aylin Aslım,Aylin Aslım,17Ax2Mq0nn4I5PtBp4ieFW,62459.0,Turkish Rock,turkish alternative,"turkish pop, anatolian rock",,kadın,Lich
Fasıl-ı Jazz,Fasıl-ı Jazz,1ItbHlpwroC3poTOv3p76M,62126.0,Turkish Jazz & Instrumental,turkish jazz,"anatolian rock, oyun havasi, turkish pop",,,
Aycan Öner,Aycan Öner,5iPNumB31JoSUYsQHWdXS0,61839.0,Turkish Folk,bozlak,"arabesk, oyun havasi",,,
Ayşe Özyılmazel,Ayşe Özyılmazel,5JVOrEOHz2JLB9WzFw5BfW,61824.0,Turkish Pop,turkish pop,turkish pop,solo,kadın,İstanbul
Kukuli,Kukuli,34RXQHy3IsY8PYPEx6xAUk,61643.0,Tematik & Ozel,cocuk sarkilari,children’s music,,,
Ömer Faruk Bostan,Ömer Faruk Bostan,0197pmztGFKQv25xxYvsdC,61641.0,Turkish Folk,oyun havasi,"oyun havasi, arabesk",,,
110,110,0Gc0Qkk85HMLh8oskS7dv8,61540.0,Turkish Rock,turkish alternative,anatolian rock,grup,grup,Istanbul
Adnan Senses,Adnan Senses,3cVYOxG4nq0Grh5er8ZKkk,61135.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi",,erkek,Gaziantep
Can Güngör,Can Güngör,1G2uUovCzQzQTxT5YM7zPN,61090.0,Turkish Rock,turkish alternative rock,,solo,erkek,İstanbul
Burhan Çaçan,Burhan Çaçan,0uc6hSyVbXHjRvEqeIpxMn,60374.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi",solo,erkek,Eleşkirt
Melihat Gülses,Melihat Gülses,19eA842Jf7AcYf6myCZ7wh,60332.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,solo,,İstanbul
Petek Dinçöz,Petek Dinçöz,3v23sHokmHxpTMLEzCWwYn,60305.0,Turkish Pop,deep turkish pop,turkish pop,solo,kadın,İzmir
Miğfemiral,Miğfemiral,4uMqXgzcSH2MUqHCP2E6A6,60118.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Hulya Avsar,Hulya Avsar,5ZQ2xzMSMon0UUnulwsPiO,60078.0,Turkish Pop,turkish pop,"turkish pop, arabesk",solo,kadın,Edremit
Modd,Modd,3nJwTniwCxDrgoVKeqIWoT,59932.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,solo,,İstanbul
Ravend,Ravend,0HYSrLdpldAsePdvuhxSLx,59874.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,solo,,İstanbul
Uğur Işılak,Uğur Işılak,65Yc24XPBKMWz6oOWOX7Xx,59871.0,Turkish Sanat & Klasik,ilahiler,"arabesk, oyun havasi",,,
Ansızın Bi' İnfilak,Ansızın Bi' İnfilak,1pVBijnEtdQcntEOXgPv3S,59705.0,Turkish Rock,turkish psych,,,,
Enver Yılmaz,Enver Yılmaz,0mft5ucnpcLV3DVvdxPrP4,59601.0,Turkish Sanat & Klasik,arabesk,arabesk,,,
Siirbaz,Siirbaz,7xURIiVo2JwZ1wIBLE2tYs,59263.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, lo-fi beats",solo,,Ankara
Melis Danişmend,Melis Danişmend,6pnX2Vk3LZgL8MA4TCpoXF,58876.0,Turkish Rock,turkish alternative,,solo,,İstanbul
Fery,Fery,4x2E9oO3JL0LUIDTX1F8pq,58661.0,Turkish Hip Hop & Trap,turkce drill,turkish hip hop,,,
Dj Mehmet Tekin,Dj Mehmet Tekin,2GglhrCoEtYgpItZzk6Y72,58647.0,Turkish Pop,turkce remix,,,,
Neyse,Neyse,1tXAvPcwDlkP31LkClzuIS,58501.0,Turkish Rock,turkish alternative,,grup,grup,İstanbul
Dario Moreno,Dario Moreno,39rtUmVAGX9W1e2aXE9YkF,58329.0,Turkish Pop,classic turkish pop,anatolian rock,solo,,Germencik
Cioman,Cioman,6voHRQpLHMYqgQ9EhGP6xm,58225.0,Turkish Pop,turkish trap pop,"turkish pop, turkish hip hop",,,
D-azy,D-azy,5xP5qr6ClCfcCk0kkp8OMJ,57683.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,,,
Niyazi Koyuncu,Niyazi Koyuncu,3OIxJ9nRlqutC29ZtRCLLh,57183.0,Turkish Folk,karadeniz turkuleri,karadeniz folk,,,
Yaren Doğan,Yaren Doğan,1LhOJJU5ytqcP8LRSK9xSg,57176.0,Turkish Pop,turkish trap pop,"turkish pop, arabesk",,,
Rapozof,Rapozof,1vwkMumkwDzSEgNVft1unD,56907.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,solo,,İstanbul
Erol Budan,Erol Budan,4r9t7rBLK2rjouMVJz4hdx,56791.0,Turkish Sanat & Klasik,arabesk,arabesk,,,
Silahsız Kuvvet,Silahsız Kuvvet,0EJXWOcuXQ3jyhgYT750Mm,56235.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Dj Janti,Dj Janti,3CGMndmfMmocLpaevv2Vna,55934.0,Turkish Pop,turkce remix,,,,
Deniz Arcak,Deniz Arcak,1EYG9EGkb762d5qKVbxZJB,55393.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,,Ankara
Safiye Ayla,Safiye Ayla,0xsueYxjFxn3v5VAR9YkT9,55381.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,solo,kadın,İstanbul
Kuty,Kuty,1spo5AJ302sAMnRXUPlSy1,55207.0,Turkish Hip Hop & Trap,turkce drill,"turkish hip hop, drill",,,
Armağan Oruç,Armağan Oruç,51q7Es8Chlm17m1HgcEoaZ,54965.0,Turkish Electronic,turkish edm,,,,
Mahmut Tuncer,Mahmut Tuncer,7vjYN7lUizAWlMRxH96VtK,54826.0,Turkish Sanat & Klasik,arabesk,"oyun havasi, arabesk, turkish pop",solo,,Şanlıurfa
Kres,Kres,6w6nFaSJSU9MKa45ykadFT,54416.0,Turkish Rock,turkish alternative,anatolian rock,grup,grup,Çanakkale
Bixi Blake,Bixi Blake,2NPl6xmez0ma3ssIrMz1DM,54251.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,İzmir
Güney Marlen,Güney Marlen,2xi3gDddycZcEFXSdqsd1r,54077.0,Turkish Rock,turkish alt pop,,solo,,İstanbul
Yeliz,Yeliz,3Oebtq87rysNEKW2bKMHoH,53340.0,Turkish Pop,classic turkish pop,"anatolian rock, turkish pop, arabesk",,,
Ankaralı Turgut,Ankaralı Turgut,6FwhwuxGyBiySLyTPit632,53273.0,Turkish Sanat & Klasik,arabesk,"oyun havasi, arabesk",solo,,Ankara
Tülay Özer,Tülay Özer,11SuwTwXyJ3eXo35l5AQcc,53072.0,Turkish Pop,classic turkish pop,"arabesk, anatolian rock",,,
Suat Suna,Suat Suna,5BzgxbY1BseIx5cgJ791QF,52966.0,Turkish Pop,turkish pop,turkish pop,solo,,Istanbul
Yusuf Harputlu,Yusuf Harputlu,3Ffr0HQVxNP9vJME5lvmzN,52444.0,Turkish Sanat & Klasik,arabesk,"arabesk, oyun havasi",,,
Emre Saltık,Emre Saltık,0tLZLCnUQN43Tdh7NAHJas,51936.0,Turkish Folk,turkish folk,arabesk,solo,erkek,Tunceli
Ayla Çelik,Ayla Çelik,3Z7GwK4hUEczTklLsVedcx,51679.0,Turkish Rock,turkish singer-songwriter,turkish pop,solo,kadın,İstanbul
Gevende,Gevende,2yN5eYpsyyo2FYNCUS0ndf,51633.0,Turkish Jazz & Instrumental,turkish jazz,,grup,grup,İstanbul
Diablo 63,Diablo 63,1WxswOadzY89SJoKEUfUAb,51501.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Feyyaz Yigit,Feyyaz Yigit,2VCSwI1w8ecmlf3CMUd5Wz,51413.0,Turkish Rock,turkish alternative rock,anatolian rock,solo,,Düzce
Sattas,Sattas,0VWRXoE547qHGpUemsl1ge,51299.0,Diger,turkish reggae,,grup,grup,İstanbul
Murat Başaran,Murat Başaran,4yN3WGIwkWg6kw7rF6Yh2M,51084.0,Turkish Pop,deep turkish pop,"turkish pop, arabesk",solo,,Ankara
Ohash,Ohash,1dGA9uX28qcaFQOvXZno42,50815.0,Turkish Hip Hop & Trap,turkish trap,turkish hip hop,solo,,Ankara
Dursun Ali Erzincanlı,Dursun Ali Erzincanlı,06gxKbVlHD2gLb02OSmrqp,50597.0,Turkish Sanat & Klasik,ilahiler,sufi,,,
Suzan Hacigarip,Suzan Hacigarip,70sxCmeoRmcpTdH4atqPDV,50526.0,Turkish Pop,turkce slow sarkilar,,,,
Lara Di Lara,Lara Di Lara,1PucedvNGJCNh6d3k9xXf5,50379.0,Turkish Rock,turkish alternative rock,turkish hip hop,solo,,İstanbul
Piiz,Piiz,3K2LeXoWGM9YnbtrRj4WS3,50270.0,Turkish Rock,turkish rock,anatolian rock,grup,grup,Eskişehir
Muhabbet,Muhabbet,4h1K0vbLjJmcYor2eKJIuJ,50250.0,Turkish Pop,turkish trap pop,turkish pop,,,
Zafer Peker,Zafer Peker,6LuM9ifVe7Aj0SVWW8z2YX,50178.0,Turkish Pop,deep turkish pop,"arabesk, turkish pop",,,
Ozan Manas,Ozan Manas,5jffpxTXj4RE2FI42yAgqB,50177.0,Tematik & Ozel,ulkucu sarkilar,arabesk,,,
Aynur Haşhaş,Aynur Haşhaş,7pdGxjLz9fq7aHUbQmOYHM,50155.0,Turkish Folk,turkish folk,arabesk,,,
Taksim Trio,Taksim Trio,5rWGIr699je11ELP9xW5T2,50087.0,Turkish Jazz & Instrumental,turkish instrumental,sufi,,,
Erdal Güney,Erdal Güney,77PSs92ix6empuwnNuiwot,50040.0,Tematik & Ozel,ulkucu sarkilar,arabesk,solo,,İstanbul
Hüsnü Senlendirici,Hüsnü Senlendirici,3rb0KaOJL3sOZ2MChHR6xF,49985.0,Turkish Jazz & Instrumental,turkish jazz,"oyun havasi, arabesk",solo,,Bergama
Hemsaye,Hemsaye,5xrMezXoydBbQjsndjpN0Q,49651.0,Turkish Pop,turkce slow sarkilar,,,,
Aytac Dogan,Aytac Dogan,457nwUldk400eeh8gUsUDi,49132.0,,qanun,arabesk,solo,erkek,Bursa
Yasin Keleş,Yasin Keleş,4vDFE2kUqchV4lOsCVfsc7,48941.0,Turkish Pop,deep turkish pop,turkish pop,,,
Mert Şenel,Mert Şenel,5YP7LI1ddSh4JFYe03h7ue,48707.0,Turkish Hip Hop & Trap,turkish hip hop,turkish hip hop,,,
Mine Koşan,Mine Koşan,2ditOd9fNYAscQhUmYhfXh,48532.0,Turkish Sanat & Klasik,arabesk,arabesk,,kadın,Kahire
Enbe Orkestrası,Enbe Orkestrası,2Uxd5x92nW0Q06DoHcpSBJ,48026.0,Turkish Pop,deep turkish pop,"turkish pop, arabesk",,,
Hedonutopia,Hedonutopia,1NyTJce3BbQslEhW8uWPc5,47908.0,Turkish Electronic,turkish electronic,,grup,grup,İstanbul
Revart,Revart,0ZzNn3WVteLb8XGqqkAKs9,47898.0,Turkish Pop,turkish trap pop,"turkish hip hop, turkish pop",,,
Sedat Uçan,Sedat Uçan,48nmWOZBlbATZYhGKtqEJb,47599.0,Turkish Sanat & Klasik,ilahiler,,solo,,İzmir
Ramiz,Ramiz,4CnBqHEyoxCZKYx6iSJmNn,47457.0,Turkish Hip Hop & Trap,turkish hip hop,"turkish hip hop, turkish pop",,,
Farah Zeynep Abdullah,Farah Zeynep Abdullah,3xoFgT5OYcfaU8XlfmbylK,47346.0,Turkish Pop,turkish pop,turkish pop,solo,kadın,İstanbul
Hüner Coşkuner,Hüner Coşkuner,7JoF9SSKW8zMgUoRi5c9QE,47318.0,Turkish Sanat & Klasik,turk sanat muzigi,arabesk,solo,,İstanbul
Onur Atmaca,Onur Atmaca,2wlyVkL3KJmboFNEsUP5dB,47314.0,Turkish Pop,karadeniz pop,karadeniz folk,solo,,Bakırköy
Hasan Yılmaz,Hasan Yılmaz,4RpYd8LEZ1NFPknS0GfEdf,47160.0,Turkish Sanat & Klasik,arabesk,"oyun havasi, arabesk",,,
Ufomuo,Ufomuo,0YNw7iPljvVTqcwNfEz6W6,46961.0,Turkish Rock,turkish alternative rock,,,,
Koray Candemir,Koray Candemir,1ADiE0HDex6LvYpEAuUIzi,46865.0,Turkish Rock,turkish rock,anatolian rock,solo,erkek,Istanbul
Şenceylik,Şenceylik,571gGI6PcQbBN0SZ5QEI5i,46847.0,Turkish Rock,turkish alt pop,,,kadın,
Tülay German,Tülay German,0ieiygH07boIlZyMtupW4Q,46795.0,Turkish Jazz & Instrumental,turkish jazz,anatolian rock,solo,kadın,Paris
Ozorginal,Ozorginal,7la3pQXtvcjDozTW5OjDWM,46548.0,Turkish Hip Hop & Trap,new school turkce rap,"turkish hip hop, drill",,,
Cem Çınar,Cem Çınar,4xMEr0HNewsjUoLzUhfou5,46482.0,Turkish Rock,turkish alt pop,,,,
Tuğba Ekinci,Tuğba Ekinci,1ikwdzJjCjQk79RQlvkTt1,46187.0,Turkish Pop,deep turkish pop,"turkish pop, oyun havasi",solo,kadın,Kars
Kesmeşeker,Kesmeşeker,7mDOnlEzBihYZmst7w6mf7,45788.0,Turkish Rock,turkish alternative,anatolian rock,grup,grup,İstanbul
D3,D3,3pePTtlR2VKfTkALz8Wvs3,45649.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,,,
Simge Pınar,Simge Pınar,3LaMLuHw30v7Smtt3mcrjE,45177.0,Turkish Rock,turkish singer-songwriter,,solo,kadın,İstanbul
Derya Yıldırım & Grup Şimşek,Derya Yıldırım & Grup Şimşek,2Y0SH69uxHrHrjiZCuTSaT,45066.0,Turkish Rock,turkish psych,"anatolian rock, neo-psychedelic",,,
Turan Şahin,Turan Şahin,3pbb5BpQX91qeAZt5GLcn8,44906.0,Turkish Pop,karadeniz pop,"karadeniz folk, oyun havasi, turkish pop",,,
Omar Faruk Tekbilek,Omar Faruk Tekbilek,0PLhi5tAE8QcXnuEMui2Oe,44711.0,,arab folk,sufi,solo,,New York
Chef Bi,Chef Bi,6Cf83I8yeJUd9uIPEUV6IM,44442.0,Turkish Hip Hop & Trap,new school turkce rap,turkish hip hop,solo,,Ankara
No Blues,No Blues,6j4ufFak1GgjYxzRDivcjS,44426.0,,arab folk,,,,
Hülya Polat,Hülya Polat,1C11mfsQmFYaI9VbZFyMyC,44349.0,Turkish Pop,karadeniz pop,"karadeniz folk, oyun havasi, arabesk",,,
Gülnaz,Gülnaz,6MOslpXqNim9FB9roqWrlg,44340.0,Turkish Sanat & Klasik,arabesk,arabesk,,,
Bora Öztoprak,Bora Öztoprak,6YsJXJZKI0ERDqb3IHBnpy,44176.0,Turkish Pop,turkish pop,turkish pop,solo,,İstanbul
