Spotify_ID,Sanatçı,Followers,Popularity,Genres,Spotify,Wikipedia,Every Noise at Once
4zvfUbCpoR8fWGg0kysc4u,veysel mutlu,367148.0,30.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,turkish pop
1tgfi3YYoeXKehnjKaMsOo,nilipek.,364979.0,40.0,turkish pop,turkish pop,,"turkish rock, turkish singer-songwriter"
2TUYtKan3NuDy9JexzL4db,murat göğebakan,363112.0,54.0,"arabesk, anatolian rock","arabesk, anatolian rock",,"arabesk, turkish folk"
17fJCykpa2EqIioh0zamN9,fettah can,362782.0,54.0,turkish pop,turkish pop,,turkish pop
396gqBt8a2NN7gXtDWF7AJ,ceylan,361636.0,49.0,"oyun havasi, arabesk, turkish pop","oyun havasi, arabesk, turkish pop",,"arabesk, turkish folk"
4VU1nemTk5QFsrclcN8VFl,özcan deniz,357948.0,52.0,"arabesk, turkish pop","arabesk, turkish pop",,turkish pop
27sJOP3QjNbw349IrcROwj,badem,351800.0,44.0,"anatolian rock, turkish pop","koplo, dangdut, sholawat",,turkish rock
10BA29Asr9YbvkcBFJixDb,mehmet elmas,346295.0,52.0,"turkish pop, arabesk, turkish hip hop","turkish pop, arabesk, turkish hip hop",,turkish pop
4i6eVyyyPdSryQCzO7GK0K,cansever,345771.0,44.0,"arabesk, oyun havasi","arabesk, oyun havasi","arabesk, pop",arabesk
6WDnC2nx6hEPdtcU2LLGtE,ezginin günlügü,344769.0,47.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,"turkish folk, turkish jazz"
495LDNjDrYzj7Fk0LtuJcJ,istanbul trip,344282.0,39.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
1Xwze1G0zfRnxqBDfmWVVf,özlem tekin,341045.0,49.0,"anatolian rock, turkish pop, karadeniz folk","turkish pop, anatolian rock, karadeniz folk",rock,"turkish pop, turkish rock"
0ZRQKFaYGEtbLc8NbyICoe,deeperise,334875.0,53.0,turkish pop,turkish pop,,turkish pop
31TJIzpuFOgX8owcV3nTrE,linet,331022.0,58.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish pop, arabesk"
1x59izw7Q1MpfZyzJpTfb4,bulutsuzluk özlemi,329599.0,38.0,"anatolian rock, turkish pop","anatolian rock, turkish pop","alternatif, rock",turkish rock
2SqjgMx7edUilMzPosMR1P,tekir,328201.0,57.0,"turkish pop, oyun havasi, arabesk, turkish hip hop","turkish pop, oyun havasi, arabesk, turkish hip hop",,
1OLLBdj6zsFJ2GUMpk8trl,çelik,320781.0,49.0,turkish pop,arabesk,,turkish pop
0iKWCp8QXDXAD3wzFrExYr,işın karaca,320216.0,35.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
4Y5rVLkZSUboJaSdiEn4bs,hirai zerdüş,319844.0,54.0,arabesk,arabesk,,
1aP2MaewItELfTZkp9t8mF,yonca lodi,318654.0,37.0,turkish pop,turkish pop,pop,turkish pop
7o8wIiSHxNMlXrtR1OWPH0,mirkelam,315752.0,46.0,turkish pop,turkish pop,,turkish pop
6pLClLDuEeB6KdfvPblHSq,ogün sanlısoy,315691.0,45.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish rock, turkish metal"
2Y2hYlVGlZpTHAQ9UMaBCA,ayaz erdoğan,313632.0,53.0,"turkish hip hop, turkish pop","turkish hip hop, turkish pop",,
1XZNZT3xecy9Wt5LtMOJVk,zeynep dizdar,313404.0,50.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
1pHd2SEhBRbA7RmMlaxT6v,ayşegül aldinç,311852.0,49.0,turkish pop,turkish pop,,turkish pop
7ouCgJkxRBIJljUiQVJK65,sokrat st,311353.0,46.0,turkish hip hop,turkish hip hop,rap,turkish hip hop
5DtQ3MpxpzAyDvgMNFWN1r,tepki,307294.0,44.0,turkish hip hop,turkish hip hop,,"turkish trap, turkish hip hop"
6zzBsqAEDo53s2dSeZzWvo,erol evgin,304300.0,53.0,"turkish pop, anatolian rock, arabesk","turkish pop, anatolian rock, arabesk",pop,turkish pop
4Y8MfXiMkqE7xnMWqCAn7E,leman sam,301870.0,45.0,"turkish pop, arabesk","turkish pop, arabesk",,"turkish pop, turkish rock, turkish folk"
7GaMopkesD4KK9dNbgyO5D,eko fresh,300703.0,49.0,"german hip hop, turkish hip hop","german hip hop, turkish hip hop",rap,turkish hip hop
2LyOwgMY8RSQU5iK9rHj0B,neşe karaböcek,300674.0,42.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",,"arabesk, turkish folk, turkish psych"
2bZXmEbQuj9XcGwgyIGuit,ferdi özbeğen,297835.0,59.0,"arabesk, anatolian rock, turkish pop","arabesk, anatolian rock, turkish pop",pop,
0NkjVHxmDMo5QCHdou6jUt,canfeza,296908.0,44.0,"turkish hip hop, arabesk","turkish hip hop, arabesk","caz, klasik",turkish hip hop
7HLErdUiPhh7mg5AxVEAX0,killa hakan,294283.0,45.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
6C2dcLMiM7ReleaXaiHsw5,gökhan tepe,289728.0,49.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
6PNzOVat5l7NQQC4lqY2Fo,jehan barbur,287806.0,39.0,"turkish pop, karadeniz folk","turkish pop, karadeniz folk","caz, rap, pop","turkish rock, turkish jazz, turkish singer-songwriter"
7qMU11EGOWoOFrHlrHpbLd,müzeyyen senar,287649.0,44.0,"arabesk, anatolian rock","arabesk, anatolian rock",sanat müziği,turkish folk
7tEE59VhmyLsNINjKCA8ug,sinan özen,284228.0,42.0,"arabesk, oyun havasi, turkish pop, karadeniz folk","arabesk, oyun havasi, turkish pop, karadeniz folk",,"turkish pop, arabesk"
59P035Jvn8eSY86obDOHZ8,melis fis,284062.0,45.0,turkish pop,turkish pop,,
6aMuEI7xrBQvb2z0lXWwCR,betül demir,282927.0,38.0,turkish pop,turkish pop,,turkish pop
0sG2HOcaA6eqnGTeLMJpRm,eda baba,280431.0,38.0,turkish pop,turkish pop,,"turkish pop, turkish rock, turkish alt-pop"
4ZXSO4o28gKUfDbnrwtPmd,bülent ersoy,278922.0,51.0,"arabesk, turkish pop","arabesk, turkish pop","arabesk, sanat müziği","arabesk, turkish folk"
7esfmVT7dmJnsm1byX2m8e,ankaralı namık,276683.0,49.0,"oyun havasi, arabesk","oyun havasi, arabesk",,arabesk
2QsEbhCFyEzogaOtMYeXO4,düş sokağı sakinleri,276432.0,34.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish pop, turkish rock"
0UAiHanBWs5vRM1tSPf2RJ,no. 1,275834.0,54.0,"thai pop, t-pop",,r&b,turkish hip hop
1vnJ4IgK3BOqkGQ38RqAvs,yirmi7,275032.0,50.0,"turkish pop, anatolian rock","turkish pop, anatolian rock",,"turkish pop, turkish rock"
0J7kxhnyiFpd0NArVYvexR,ali kınık,272341.0,50.0,arabesk,arabesk,,arabesk
4hdeFgoe7zQEJWXVIAm2yj,melis kar,271351.0,48.0,turkish pop,turkish pop,,turkish pop
0K1A8j2BAJOGSQ39DZQeoR,erdal erzincan,269056.0,43.0,arabesk,arabesk,"halk, folk",turkish folk
5G3OUmDl3R4rEn9zSWZTpw,lia shine,267672.0,48.0,turkish hip hop,turkish hip hop,,turkish hip hop
4itYEciRGKzdy6XwBQeaYl,sezer sarıgöz,266367.0,56.0,"turkish pop, arabesk","turkish pop, arabesk",,turkish pop
1kOoLMi8Z7nDeIa0bSfM3N,hepsi,264749.0,52.0,"turkish pop, t-pop","turkish pop, t-pop","r&b, pop",turkish pop
3aYxHPDvu8SETLVJBEUqld,rober hatemo,264735.0,50.0,"turkish pop, arabesk, oyun havasi","turkish pop, arabesk, oyun havasi, t-pop",,turkish pop
39b2aS3568sYAC6CG5hsJw,bendeniz,263641.0,40.0,"turkish pop, arabesk","turkish pop, arabesk",pop,turkish pop
4SRE7uXKuUQRwAcl69iIMo,suavi,262875.0,37.0,"anatolian rock, arabesk, karadeniz folk","anatolian rock, arabesk, karadeniz folk",,"turkish rock, turkish folk"
4CQctd09SRWjRoo3G7QBZf,onur akın,262214.0,44.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",özgün,turkish folk
3vGz6dcagQ2geGkGYY185H,can yüce,259604.0,35.0,turkish pop,turkish pop,,turkish pop
6I65kFgfXDWx56jwnip3TU,hayki,258834.0,46.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
6P5Tw2kwv3BAa3iONsQe9x,sehabe,256316.0,42.0,turkish hip hop,turkish hip hop,,turkish hip hop
691svprNZf0oJTi1L0eYy6,özdemir erdoğan,250816.0,50.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",,
0U8sdaBYsYld98xOIX1nYB,ahiyan,249543.0,57.0,turkish hip hop,turkish hip hop,,turkish hip hop
2QU0UNvQvEZ2fuRUhkUNq4,artz,249133.0,47.0,turkish hip hop,mizrahi,,"turkish trap, turkish hip hop"
7CLojerj7StFcAX03tA8Pc,m lisa,246610.0,59.0,"turkish hip hop, turkish pop","cumbia, tropical music, cumbia sonidera, electrocumbia",,
650blPhpj24aloFTk941L3,umut timur,246369.0,45.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,
1eY7YyYjc9jGnsHdJka906,bülent ortaçgil,245084.0,40.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,"turkish rock, turkish jazz, turkish singer-songwriter"
6BPzJMh8hXyURWbYwE2p1h,ismail yk,244000.0,52.0,"turkish pop, arabesk, oyun havasi, t-pop","turkish pop, arabesk, oyun havasi, t-pop",,
38uZn1mtkujAvteNv4SkU0,banu parlak,242849.0,39.0,turkish pop,turkish pop,,turkish pop
7HIccJjwPhWkLVKu0gGJgB,erkan oğur,241020.0,41.0,"arabesk, karadeniz folk","arabesk, karadeniz folk","caz, halk, blues","turkish folk, turkish jazz"
5Pd3tsRa9fj2Q3JPQ0tYEv,keişan,240836.0,38.0,turkish hip hop,turkish hip hop,rap,"turkish trap, turkish hip hop"
5U2qYuO4KclXaQTqiGzqUV,okan & volkan,240240.0,49.0,turkish pop,turkish pop,"caz, pop",turkish pop
64ij9owifHXh2rvuCGIEV7,sabahat akkiraz,240166.0,43.0,"arabesk, karadeniz folk","arabesk, karadeniz folk",halk,turkish folk
59Rfk6ZH0SsZm7GrUc43N1,ikikardesh,238705.0,32.0,"turkish pop, turkish hip hop","turkish pop, turkish hip hop",,turkish pop
4B744cRUGT2IOu9Uuh7Ad7,ayben,238265.0,44.0,turkish hip hop,,rap,"turkish trap, turkish hip hop"
2aNkBNOpoEwJlRpDLzJ6hZ,seda tripkolic,233077.0,55.0,"turkish pop, arabesk, turkish hip hop","turkish pop, arabesk, turkish hip hop",,turkish pop
1av8oluskzg2mOBajdzRI9,murat kekilli,232909.0,44.0,"anatolian rock, arabesk, turkish pop","anatolian rock, arabesk, turkish pop",rock,"turkish pop, turkish rock, turkish folk"
5dMPhj9s9v91MpdGNpInLy,moğollar,231952.0,36.0,"anatolian rock, oyun havasi","anatolian rock, oyun havasi",halk,turkish rock
0ONcicRZwAgDDZyeWrLia3,demir demirkan,230934.0,37.0,"anatolian rock, turkish pop","anatolian rock, turkish pop",,turkish rock
4ufSphAhkdRXTl17cBbqwi,cegıd,230384.0,30.0,turkish hip hop,turkish hip hop,,turkish hip hop
7KVIZplHlqnvESsbuFQOnM,emel sayın,230092.0,43.0,"arabesk, turkish pop","arabesk, turkish pop",,"turkish pop, arabesk, turkish folk"
2XhoHXwVMX0BKE0tBjtzI0,sözer sepetçi,228900.0,41.0,turkish pop,turkish pop,,
0A5AyLcMXZRmLE7i2maS0R,nova norda,228163.0,49.0,turkish pop,turkish pop,,"turkish rock, turkish alt-pop"
2xNgzwX6A9orF0QEJph5Eb,kerim araz,225181.0,51.0,"turkish pop, arabesk","turkish pop, arabesk",,
