isim,dogum_yeri,aktif_sehir,arama_sehri,tip,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres,Spotify_Tur,Wikipedia_Tur,EveryNoise_Tur
Asafated,"İstanbul, İstanbul, Turkey",,İstanbul,grup,3ANbiZawTN4svRc8EWwGUV,Asafated,3060.0,5.0,,,metal,turkish metal
sefa emre i̇likli,,,,,47Wy9ZL6R0YZ2aa4TkIfhe,Sefa Emre İlikli,3056.0,20.0,,,,
Udi Hrant,"Adapazarı, Sakarya, Turkey",,Sakarya,solo,1bKtEhrQTkDy75yXJmNbFu,Udi Hrant,3055.0,7.0,,,,
ayşe önder,,,,,3nhx0IXivjaTWqTwQhNqKD,Ayşe Önder,3055.0,31.0,"karadeniz folk, arabesk","karadeniz folk, arabesk",,
altan çetin,,,,,50ls0TQ4fablkSbvTBOxuP,Altan Çetin,3052.0,21.0,turkish pop,turkish pop,,deep turkish pop
zeynep alasya,,,,,3VwogMIQN8Ce4WlrCFZsL2,Zeynep Alasya,3043.0,22.0,,,,
nomad,,,,,1vXd8VYVBdIxMO4zjBb4pl,Nomad,3042.0,26.0,turkish hip hop,,house,
Emaskülatör,"Ankara, Ankara, Turkey",,Ankara,grup,689cz5DGYDKCK0KuEUXNV0,Emaskülatör,3037.0,6.0,punk,,,
Kozmonotosman,,"Samsun, Samsun, Turkey",Samsun,solo,47iztcJxcxdvYL1yPZ3oDI,Kozmonotosman,3036.0,5.0,,,,
Cemil Koçgün,"Tunceli, Tunceli, Turkey",,Tunceli,solo,0hiiUSSwMgE91qv3H1BfFr,Cemil Koçgün,3026.0,6.0,,,,
sinan öktem,,,,,55e2OO6vymJkgUHIrp3xfv,Sinan Öktem,3015.0,17.0,"lo-fi beats, turkish hip hop","lo-fi beats, turkish hip hop",,
murat yeter,,,,,0iLfrHLxdwM5Rtd9iyk9xu,Murat Yeter,3013.0,39.0,"arabesk, turkish pop","arabesk, turkish pop",,
nathan davis,,,,,3iF9mUqkeDgHbydOvDYqjO,Nathan Davis,3003.0,11.0,"hard bop, anatolian rock, jazz, bebop","christian r&b, christian hip hop, christian pop",,turkish psych
VONN,,"İzmir, İzmir, Turkey",İzmir,solo,4pjd7yxYQD79BfEiph7RH2,VONN,2992.0,29.0,turkish hip hop,,,
rinxlaya,,,,,5uc5qmVVzOLECcqTywPNXV,rinxlaya,2990.0,4.0,turkish hip hop,turkish hip hop,,
melis yelman,,,,,5293MFbMbXTTvCZP8hezDv,Melis Yelman,2990.0,22.0,turkish pop,turkish pop,,
cambrian explosion,,,,,3P9GBL7eR4FOpg7lsN0eRc,Cambrian Explosion,2976.0,5.0,"space rock, stoner rock, psychedelic rock, stoner metal, neo-psychedelic, acid rock","space rock, stoner rock, psychedelic rock, stoner metal, neo-psychedelic, acid rock",,
özgür kurum,,,,,6aOFMtS3mflgGKUUcY3a4n,Özgür Kurum,2974.0,30.0,,,,
nosta,,,,,3XokumF2rkfpeBOORzl9Nc,Nosta,2972.0,17.0,turkish hip hop,,,turkish trap
Lukhan,,"İstanbul, İstanbul, Turkey",İstanbul,solo,4JGOZ9yEpxvFTSd7eyVgjJ,Lukhan,2968.0,11.0,turkish hip hop,,,
Vesim Ipek,"İstanbul, İstanbul, Turkey",,İstanbul,solo,1AioEvzrjzbLMH8i5p4iMG,Vesim Ipek,2967.0,22.0,turkish pop,,,
timuçin ateş,,,,,1OBUhVkluyN9Rt9oZx43l1,Timuçin Ateş,2967.0,8.0,turkish hip hop,turkish hip hop,,turkish hip hop
metin milli,,,,,1slECA3lb4ZFSAOoPXRldN,Metin Milli,2965.0,9.0,arabesk,arabesk,pop,
Gadi Mitrani,,"İstanbul, İstanbul, Turkey",İstanbul,solo,3B96XmV6h0PhuFCfaNnqgL,Gadi Mitrani,2957.0,17.0,"organic house, progressive house",,,
Ertan Tekin,"İstanbul, İstanbul, Turkey",,İstanbul,solo,5nTswH6KXoL7iQjZXjQEj4,Ertan Tekin,2954.0,19.0,,,,
Art Diktatör,"İstanbul, İstanbul, Turkey",,İstanbul,grup,18YIpH14GBgVnitn9CEVyl,Art Diktator,2947.0,6.0,"darkwave, post-punk, cold wave, synthpop, gothic rock","darkwave, post-punk, cold wave, synthpop, gothic rock, ebm",,
Arcey,"Samsun, Samsun, Turkey","Ankara, Ankara, Turkey",Ankara,solo,1BuFHkAVu3ggtHK4UCc2Xz,Arcey,2942.0,31.0,"turkish hip hop, budots",,,
hüdai aksu,,,,,2QxMml6OsaVZUogA1se5ys,Hüdai Aksu,2939.0,11.0,"arabesk, tropical music, ghazal","arabesk, tropical music, ghazal",,
