isim,Spotify_ID,Spotify_Isim,Followers,Popularity,Genres
Adalet Ağaoğlu,,,,,
Afazi,,,,,
Against Decay,4V9Y7RRJjDVxi6JMMuvAmF,Against Decay,300.0,1.0,
Ahmet Fuat Onan,,,,,
Ahmet Haluk Ünal,,,,,
Ahmet Melih Yılmaz,,,,,
Ahmet Mümtaz Taylan,,,,,
Ahmet Saraçoğlu,3qDXZUBLJUj0MbiHSva68C,Ahmet Saraçoğlu,217.0,0.0,
Ahmet Sönmez,5hiMxM4swvD5wyF1Bk8TXF,Ahmet Sönmez,81.0,0.0,
Ahmet Tansu Taşanlar,,,,,
Airfax,,,,,
Al'York,6ccuxnLDexwjjnCZbrdGtD,Al'york,4484.0,5.0,
Aleem Bilal,1cCkoczPcHzIotDgE7M3XP,Aleem Bilal,0.0,0.0,
Ali Barkın,,,,,
Ali İpin,,,,,
Almila Bagriacik,4Pzg99ejlQ5oDqKeilOfvK,Almila,194.0,9.0,
Alp Aslan,3bV5wCQTZbfwsd3SMh9qdA,Alp Aslan,548.0,0.0,
Alp Korkmaz,,,,,
Alper Babayağmur,,,,,
Alper Yıldırım,0MwVxArZdp27rk5djm69zK,Alper Yıldırım,126.0,0.0,experimental jazz
Alper Çağlar,,,,,
Alperen Duymaz,7jeeCQcdSqIX9NfmkBTtsU,Alperen,8088.0,22.0,
Alphan Dikmen,,,,,
Alphan Eşeli,,,,,
Altan Akışık,,,,,
Andaç Haznedaroğlu,,,,,
Ankara Yaylı Çalgılar Dörtlüsü,,,,,
Anorexia,1hLFppCfgvSTH9C6ftWOoU,Anorexia Nervosa,43131.0,17.0,"black metal, symphonic metal"
Anıl Bilgen,1JVqnPlxNKLWHIY4cV0VPS,Anil Bilgen,26.0,0.0,
Apoplexy,2fLHGIM8ZXONMD7i2umolp,Apoplexy,127.0,0.0,
Aradin Azun,,,,,
Arcey,1BuFHkAVu3ggtHK4UCc2Xz,Arcey,2942.0,31.0,"turkish hip hop, budots"
Arda Esen,,,,,
Arda Kavaklıoğlu,24OGdBr3r58ksMLJkMXZZY,KAVAK,33566.0,59.0,turkish hip hop
Arman Aydin,4xklx5DAtVru5uf3vSXTgf,Arman Aydin,30484.0,58.0,"turkish pop, turkish hip hop"
Armağan Arslan,05Nugk9zeWH6WIYgPY1dBL,Armağan Arslan,11823.0,29.0,"oyun havasi, arabesk"
Arsen Gürzap,,,,,
Arslanbek Sultanbekov,1bRd8CO1ap6c8CVQ8fEpAV,Arslanbek Sultanbekov,19236.0,37.0,
Arzum Onan,3Au4jDJrVlVBwBD4Ls4v7z,Arzu,76712.0,41.0,"arabesk, oyun havasi, karadeniz folk"
Aslı Tandoğan,,,,,
Aslıhan Karalar,,,,,
Astral Division,7g6rPQyaKLwHpM6JB4lByD,Astral,16409.0,57.0,turkish hip hop
Atak,5B5IqPyHAnAr3UFZsFzYMb,Atakan Hanoğlu,7115.0,37.0,"karadeniz folk, arabesk"
Atalay Demirci,7yX4ILBPzBPT2MkYXWn8Xq,Atalay Demirci,43.0,0.0,oyun havasi
Atalay Uluışık,,,,,
Atilla Akarsu,,,,,
Atilla Saral,,,,,
Atilla İçli,0qNYh2l5KNSjzHvrCv96K1,Atilla İçli,46.0,0.0,arabesk
Atıf Emir Benderlioğlu,,,,,
Atıl İnaç,,,,,
Autumn,5delTPpDAtBDsjk60f5xnt,Autumn!,647959.0,61.0,underground hip hop
Ave Sanguine,2lvnBaPOZBVqayosjGWjoc,Ave Sanguine,207.0,0.0,black metal
Avni Tuna Dilligil,,,,,
Avni Özgürel,,,,,
Aybüke Pusat,29MIK4JBZdMpNWHNnPrp1H,Aybüke,111.0,21.0,anatolian rock
Aykut Köselerli,2UB2DOfYtkZBkcPEOEAp9U,Aykut Köselerli,43.0,0.0,
Aykut Sözeri,,,,,
Ayla Büyükataman,0yKOwSss54gkXZZqEix5MK,Ayla Büyükataman,202.0,0.0,
Ayten Erten,,,,,
Ayten Gökçer,,,,,
Ayşe Türk,,,,,
Ayşegül Atik,,,,,
Ayşegül Uygurer,,,,,
Ayşin Atav,,,,,
BDG,0D7e2yppBx92XGVYy2H0Tk,BDG,10.0,0.0,
Bade,27sJOP3QjNbw349IrcROwj,Badem,352032.0,44.0,"anatolian rock, turkish pop"
Bahadır Efe,7lHt1pGJDoyjrfJliW3ujY,Bahadır Efe,11.0,2.0,
Bam Bam Bam,21GigkLylCHWsUECsDolnV,Bam Bam Bam,6015.0,8.0,punk
Batu Çetin,4GG6F9pcxCw1uHz0LdZG1x,Batu Çetin of Cenotaph,3.0,0.0,
Bayram Aracı,0EEhBSUuHofvzbopwObLQg,Bayram Aracı,473.0,1.0,traditional music
Başak Angigün,28dzVjpkhc5PZe3coIP7Jd,Başak,251.0,23.0,
Başak Köklükaya,28dzVjpkhc5PZe3coIP7Jd,Başak,251.0,23.0,
Begüm Polat,4DUzOfEnxZrOxrwrl2Po5C,Begüm Polat,8026.0,21.0,"oyun havasi, turkish pop"
Bekir Aksoy,2Cgy2yjSQqc78pCxWlgG8z,Bekir Aksoy,9.0,0.0,
Bekir Kerem Kurt,,,,,
Belgin Doruk,,,,,
Belçim Bilgin,1kZyPCcAZ0Zc7EhXPuJJ7o,Belçim Bilgin,86.0,3.0,
Bengi Ispir,7rOcDvKhURwDWPEMjLkKZX,Bengi Ispir,3.0,0.0,
Benian Dönmez,,,,,
Beren Saat,4oAHkP3sPMsNrXIybByk9x,Beren,937.0,23.0,
Berk Hakman,34eaqKsaJYiIl5NJAboXst,Berk Hakman,80.0,0.0,
Berkan Şal,,,,,
Berrin Dağçınar,,,,,
Betül Çobanoğlu,,,,,
Bilkent Senfoni Orkestrası,3Ncw5zk92T7Si29MrmoStk,Bilkent Senfoni Orkestrası,1178.0,3.0,
Binnur Kaya,,,,,
Birsen Dürülü,,,,,
Bleeding Surface,,,,,
Bora Karakul,,,,,
Bora Sivri,6PgYwA9AM1BSGjqrKz4288,Bora Sivri,6.0,1.0,
Brutal Dissection,6qpmcQfxhmNxNMCJUrpHwe,Dissection,278538.0,45.0,"black metal, melodic death metal, metal, death metal"
